ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,291,510,42,168,27,134,33.98969072164948,150.77319587628867,1.825261743211884,317,0.9669411044071141,19.248706645328987,1,0.5705882352941176,0.5478666299334778,38.58345587912738,35.11409973215888,5.0,2.43641443867791,2.23606797749979,9.186869788587162,9.83877372978489,-16.543075171720083,81.698484809835,0.917981072555205,0.30049692418323787,0.004679200174405345,0.10715037771960562,0.08486844908256229,0.0010065300496161962,0.002595804329289026,0.0397201488473013,0.055875409398347474,0.04085968728552325,0.0007303269597468811,0.001209553639076673,0.0018413608356676401,0.021415509588161873,0.027101363655742044,0.026683519984154438,0.023495127562363514,0.0013989053371657404,0.001260153948324145,0.0011645660860232906,0.0013785536417633307,0.01273367473752229,0.011669266836021121,0.011747236722317646,0.012189631412672782,0.014710219561010757,0.0006916156483780876,0.0010183214810643771,0.0008423206269975659,0.0011411999111149108,0.001069493879192104,33.98969072164948,150.77319587628867,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
2,1,155,220,45,150,34,130,39.29032258064516,139.41935483870967,1.2434310521561005,165,0.8838065010312622,14.048207338801282,1,0.7045454545454546,0.8042263366883168,20.58941536672634,19.4164878389476,5.0,2.314094584852874,2.0,8.97381812634432,9.632811806837347,-15.704403929348176,49.21320343559643,0.9393939393939394,0.5222173598706652,0.06675965853650538,0.1481371240033359,0.10734075319262112,0.03676454761280619,0.03985299993217182,0.030398828980957977,0.027431662760429708,0.03428863476874453,0.0047157014380781095,0.00870611794342582,0.022035044403391518,0.010054295432533606,0.005131791307276978,0.003366515995915245,0.012343995892596488,0.012932824623718916,0.010226284385424753,0.007279223957283697,0.00991618821241356,0.0021433533686885213,0.011245886589874044,0.003360168351298013,0.006740264989542831,0.008195223800326374,0.010926523464251629,0.013115525235976571,0.009332262472502337,0.011521318922236616,0.0031764934067142754,39.29032258064516,139.41935483870967,0,0.0,19.995153825736384,2,1.0,21.05263157894737,0.0,0,1,1,12.530219647365046,12.530219647365046,nan,12.530219647365046,1,2,1.0,1.0,1,5.300631858995679,-11.353841037579002
2,2,181,230,40,171,30,148,34.50828729281768,158.8342541436464,1.300367941969392,192,0.9026955972260104,15.180789096653193,1,0.7869565217391304,0.7690131136926612,23.161602351193807,22.090722034374522,5.0,2.431737623648719,2.0,9.0,9.965968347851684,-8.244004152782004,54.38477631085024,0.9427083333333334,0.472246634420214,0.022858150288709,0.16240562185432034,0.1050887595242288,0.017067683041585763,0.013787460392635552,0.03877114570524958,0.04627832651543431,0.04220536855171953,0.0054300348616640425,0.00886963993029804,0.006790329361953941,0.001104683167744006,0.002834330923781819,0.010963350844963636,0.018567593999078143,0.003559883000495673,0.0041543642135635096,0.004105330468088931,0.002067263310904131,0.00863191435348032,0.014355649158674133,0.005123717547739636,0.004128535339915367,0.008269252002445973,0.006685188340926753,0.004493729115866482,0.006939475170669971,0.0023601570012111075,0.002924617435751216,34.50828729281768,158.8342541436464,0,0.0,19.995153825736384,1,1.0,19.672131147540984,0.0,0,2,2,8.077722624190802,8.077722624190802,nan,8.077722624190802,1,2,1.0,1.0,1,0.5185965711681959,8.061058267357737
3,1,167,231,46,149,35,128,40.08383233532934,138.39520958083833,1.2785456713692083,178,0.9017184582349393,14.581872443920643,1,0.7229437229437229,0.782138661444209,22.198706391935296,20.8806130178211,5.0,2.3332724273467167,2.0,8.97381812634432,9.597027922275942,-15.73335643622964,51.798989873223334,0.9382022471910112,0.48768578892378933,0.018871720990615296,0.15911475583246643,0.11246067219041173,0.007018383897316671,0.008731262039033962,0.040349237434872,0.043624391230957335,0.04600307667177243,0.0016066726955452613,0.007348454106974488,0.003430440865659402,0.004928006800671007,0.004847956196836435,0.005804096277629267,0.021253236612768196,0.0033282235637120115,0.0014651297782934608,0.005835731329154349,0.002203787145034334,0.007442451571223671,0.016550324446997985,0.006029860074754801,0.007091384522804717,0.009790477018581215,0.0025907320090894866,0.0005091575521373485,0.004807074627580119,0.002586811394879083,0.0035535993410258614,40.08383233532934,138.39520958083833,0,0.0,21.74766098786931,2,1.0,18.333333333333332,0.0,0,1,1,13.796851334197271,1.295581429320172,nan,13.825801076685218,1,3,0.9979061074054677,2.0,1,0.7935097546841803,-1.0241452578713393
3,2,200,264,41,172,30,148,35.255,159.6,1.3292315390362752,214,0.91125630312253,15.957691216057308,1,0.7575757575757576,0.7523143791224093,24.92931480209365,23.194827009486403,5.0,2.4787519050584597,2.23606797749979,9.497111242436802,10.266881878063788,-7.0211322309841595,57.798989873223334,0.9345794392523364,0.4662234020684518,0.030556859487798703,0.15659257512155145,0.10466539271834283,0.02143773860043324,0.02111604094046645,0.03332699745905604,0.05003842752396383,0.03807056663222209,0.007619379398420785,0.00848867237099683,0.013993649895717492,0.0030810409943512447,0.004288565015520822,0.010275370596945232,0.014633340921916793,0.003405012028214032,0.0045275275581618075,0.0013530125123159572,0.008412329308087522,0.005368226857883569,0.008519869028790341,0.008020862712082431,0.0025411585578357324,0.00520916968148776,0.007072247470940996,0.008331599431318273,0.006809001164642025,0.0048385482227276035,0.004272633384401224,35.255,159.6,0,0.0,21.74766098786931,1,1.0,18.181818181818183,0.0,0,2,2,8.917033060847492,1.069554385522424,nan,9.147277009713227,1,3,0.9748292362173743,2.0,2,0.7467127071823256,0.7657458563535897
4,1,182,276,50,149,38,126,43.543956043956044,136.96153846153845,1.3446627946941556,194,0.9136555391930554,15.222667215103916,1,0.6594202898550725,0.7436808722200502,23.901196483135518,22.561028345356956,5.0,2.3625628481064824,2.0,9.1706052144883,9.71558076539836,-18.02594541880106,55.45584412271571,0.9381443298969072,0.4494590823014621,0.02015482437715107,0.16106162569959123,0.10082758022868855,0.013114435895684355,0.014228043477004522,0.0365236002826779,0.05385878314558336,0.039189057644809976,0.005273105405169846,0.007032398398315608,0.010008530562672957,0.006411806836752768,0.004030117625461217,0.015695832735009966,0.01716894202623887,0.002882763355362822,0.00026374697884427677,0.0024303683213384654,0.007178011349492115,0.007943843591270316,0.008294505491868913,0.007947632852007443,0.003037578583243538,0.007492555514320282,0.0036174093305419933,0.007050630867775921,0.0017706777770220684,0.005144959628660232,0.005486089118050776,43.543956043956044,136.96153846153845,0,0.0,23.32037661279126,2,1.0,16.923076923076923,0.0,0,1,1,16.794221220153506,3.745379681329406,nan,17.571180758014624,1,4,0.9557821669151786,3.0,1,3.4601237086267034,-1.4336711192998735
4,2,214,260,44,173,34,147,38.350467289719624,159.69626168224298,1.3559113193692849,223,0.9235764421740303,16.50676414605009,1,0.823076923076923,0.7375113591242527,26.68702703010487,25.079872407968907,5.0,2.5254307968541734,2.23606797749979,9.0,10.232188832463281,-5.026832535119547,60.384776310850235,0.9596412556053812,0.4324928486017356,0.029799138944165793,0.14799147485365577,0.10224425280131658,0.02597051561892304,0.01942737511296059,0.04307750966428177,0.04715461218685915,0.04336072185514202,0.011643003262851585,0.012535044326799302,0.013017155574614149,0.005560824036960127,0.010856925824654612,0.013321976280991566,0.021119981354571975,0.004662905962324817,0.005846853288493106,0.0035808524540255006,0.008470592647525874,0.0005825764419203992,0.009535944252073634,0.0037733697598415924,0.0038419769049240233,0.011023065323616353,0.00831066146382534,0.008388491896111681,0.004750503703359034,0.00421477466057148,0.005299993125965176,38.350467289719624,159.69626168224298,0,0.0,23.32037661279126,1,1.0,17.91044776119403,0.0,0,2,2,9.931640129103585,3.096963682898524,nan,12.24424069261175,1,4,0.8111274825801487,3.0,2,3.095467289719622,0.09626168224298226
5,1,192,299,53,147,40,124,46.265625,135.3125,1.3962658507571617,203,0.926586921466752,15.635280380893438,1,0.6421404682274248,0.716195987646424,25.568724367028576,23.769728648009426,5.0,2.3471771707389553,2.0,8.854377448471462,9.615903216005549,-20.65234801741909,58.04163056034261,0.9458128078817734,0.4325221158208205,0.014492996767485345,0.14602512647043261,0.1077879740562486,0.005430551095587982,0.004121347850229178,0.04685219622413841,0.05034706178413609,0.0473670904312915,0.001927376752944669,0.0048478141669051735,0.0013379096956486363,0.006997759682560607,0.014517076588505866,0.013389566365962956,0.024184647110071542,0.0027307902370240396,0.0022373393945514177,0.004820179476280661,0.0019212051428874237,0.0007488961735383793,0.008857963648058503,0.002631402084418842,0.002778748868892941,0.012755889868019881,0.0029405075562957783,0.0027611292791849835,0.0023531908808399568,0.003962059676206693,0.002390859414219065,46.265625,135.3125,0,0.0,24.838327701596388,2,1.0,16.176470588235293,0.0,0,1,1,19.74162301801629,3.182264878027363,nan,20.753445636041988,1,5,0.9512455600978138,4.0,1,2.721668956043956,-1.6490384615384528
5,2,234,280,46,174,36,146,40.401709401709404,159.44871794871796,1.4355143409133315,245,0.9345797138055926,17.26088217525478,1,0.8357142857142857,0.6966144269682183,28.98309380491401,27.16615541441225,5.0,2.5493284423849842,2.23606797749979,9.0,10.310845444362625,-4.266999103930132,64.97056274847714,0.9551020408163265,0.4037100995501736,0.02684350617383134,0.1413027427860624,0.098617694436935,0.023661155735639188,0.017321085458381978,0.04552052167823208,0.04933787022191462,0.04330629133484919,0.012635407562981123,0.012471341025147435,0.011966069643062724,0.01041416688447694,0.014125646261271807,0.016364155715484163,0.021962253533218155,0.0019344968674795404,0.004110999636738496,0.004285795857656098,0.008314256915358509,0.002832701743569278,0.007020997503179731,0.004332817932975039,0.0016291011779789632,0.012033789328146992,0.005233624540061542,0.004101108896752796,0.0023778750552466447,0.0009499522531432329,0.005653802874315139,40.401709401709404,159.44871794871796,0,0.0,24.838327701596388,1,1.0,15.277777777777779,0.0,0,2,2,10.7878944554832,2.066124899905085,nan,14.310365592516835,1,5,0.7538517716922897,4.0,2,2.0512421119897795,-0.24754373352502057
6,1,208,270,56,153,46,126,50.36538461538461,139.40865384615384,1.461132341962297,218,0.9421486369547287,16.273715780512877,1,0.7703703703703704,0.6844007016209104,28.186295908190598,26.30589287593181,5.0,2.3668261424633013,2.0,8.909545442950499,9.447916298539173,7.245117786115942,61.798989873223334,0.9541284403669725,0.38270784003600267,0.021962441870196695,0.13581533785181618,0.09671554857990355,0.019967660891931163,0.012940642523800948,0.04751990681283988,0.05084488136501592,0.04450480970081607,0.013674317149384612,0.008834123599362174,0.00919951051013799,0.012802595775691938,0.017714133966344883,0.019887490411803523,0.023741701159392392,0.005292897649833882,0.0025319032147283417,0.004417124917080047,0.006225476183042505,0.003791527765600218,0.00397075371586632,0.007053289621752211,0.00481147581007073,0.013784375224605778,0.001809137701775418,0.003894981491081849,0.0006909315895781123,0.0016780028452322176,0.004304969990615781,50.36538461538461,139.40865384615384,0,0.0,17.30643916266196,2,1.0,27.142857142857142,0.0,0,1,1,19.932791225917537,5.795386547530672,nan,26.54883218357266,1,6,0.750797288863468,5.0,1,4.099759615384613,4.09615384615384
