ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,33.98969072164948,150.77319587628867,0,1
2,1,1,39.29032258064516,139.41935483870967,0,1
2,2,1,34.50828729281768,158.8342541436464,0,2
3,1,1,40.08383233532934,138.39520958083833,0,1
3,2,1,35.255,159.6,0,2
4,1,1,43.543956043956044,136.96153846153845,0,1
4,2,1,38.350467289719624,159.69626168224298,0,2
5,1,1,46.265625,135.3125,0,1
5,2,1,40.401709401709404,159.44871794871796,0,2
6,1,1,50.36538461538461,139.40865384615384,0,1
6,2,1,43.44491525423729,155.27118644067798,0,2
7,1,1,47.788,140.876,0,1
7,2,1,40.16447368421053,150.8125,0,2
8,1,1,48.39622641509434,140.9433962264151,0,1
8,2,1,40.63963963963964,149.0870870870871,0,2
9,1,1,52.070234113712374,141.90635451505017,0,1
9,2,1,43.548850574712645,148.99425287356323,0,2
10,1,1,54.753246753246756,133.0909090909091,0,1
10,2,1,45.5374677002584,147.28165374677002,0,2
10,3,1,53.09316770186335,154.14906832298138,0,3
11,1,1,46.95641646489104,146.21549636803874,0,1
11,2,1,56.10625,133.35,0,2
11,3,1,53.8448275862069,156.35632183908046,0,3
12,1,1,49.1219512195122,124.58885017421603,0,1
12,2,1,55.617924528301884,128.52358490566039,0,2
12,3,1,43.71161048689139,160.0749063670412,0,3
12,4,1,52.12775330396476,157.31277533039648,0,4
13,1,1,49.803225806451614,121.49677419354839,0,1
13,2,1,56.40692640692641,124.73160173160173,0,2
13,3,1,51.86770428015564,156.0466926070039,0,3
13,4,1,43.23389830508474,160.19322033898305,0,4
14,1,1,52.38040345821326,120.42074927953891,0,1
14,2,1,59.65098039215686,122.58431372549019,0,2
14,3,1,45.848214285714285,160.01488095238096,0,3
14,4,1,55.025830258302584,155.05535055350555,0,4
15,1,1,53.40700808625337,121.57951482479784,0,1
15,2,1,63.670175438596495,118.40350877192982,0,2
15,3,1,47.788300835654596,158.8217270194986,0,3
15,4,1,59.47761194029851,143.7089552238806,0,4
15,5,1,54.807453416149066,162.09316770186336,0,5
16,1,1,66.18495297805643,113.59561128526646,0,1
16,2,1,59.325,110.035,0,2
16,3,1,47.29468599033817,134.8840579710145,0,3
16,4,1,61.17218543046358,140.3112582781457,0,4
16,5,1,51.28108108108108,145.54054054054055,0,5
