CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,26.54099398331863,51.70159196512303,0.177,13.0,1.072,-0.5648463800451436
2.0,2.0,31.853368098747232,36.9913046140044,0.199,5.0,0.395,-0.5740607052234549
3.0,3.0,24.064195545704376,41.02000096438333,0.09,11.0,0.74,-1.589399513813072
4.0,2.0,21.63818071686272,37.504097388125,0.269,9.0,0.742,-0.546290948549918
5.0,2.0,20.66837112822113,32.285194065453204,-0.054,8.0,0.636,-0.5252371489115196
6.0,3.0,41.74230295396436,43.64827806667608,-0.059,2.0,0.381,-0.8825318368668605
7.0,3.0,45.97353940712991,53.061806396716094,0.053,4.0,0.766,-2.585326640475955
8,1,52.615558300898925,,,1,NaN,-0.5684782507128511
9.0,3.0,26.955130377747867,35.25560392834315,0.122,5.0,0.784,-0.556948327326336
10,1,52.934497013599824,,,1,NaN,-0.5767047677733749
11.0,3.0,22.61800590982593,32.418075141814434,-0.109,6.0,0.738,-0.6180166270244265
12.0,2.0,23.022273529295354,34.230135696604115,0.2,11.0,0.512,-0.16338151315506058
13.0,2.0,23.657946915734534,24.928267986103283,0.024,3.0,0.166,-0.44532474906108677
14.0,1.0,29.91883069025408,77.21756733469233,-0.782,4.0,3.553,-0.5148625166685951
15.0,2.0,28.72291928898449,42.02153269462189,0.204,7.0,0.661,-0.6492584622190182
16,1,19.23538009432225,,,1,NaN,-0.509484508509747
17,1,23.748650150735077,,,1,NaN,-0.646485004350922
18.0,2.0,30.23712382883149,36.2527416407919,-0.127,3.0,0.965,-0.27345316696839145
19.0,1.0,19.658403412025425,27.91115221203737,-0.316,13.0,0.092,-1.5411211915138467
20.0,3.0,31.187464165222853,46.79402529838776,0.5,5.0,1.105,-2.8803994849143315
21.0,3.0,34.626406985445065,49.06146353734439,0.117,5.0,1.071,-3.008595995854542
22.0,2.0,18.50808589882094,25.90844801867434,0.425,8.0,0.497,-1.4813633059633815
23.0,2.0,32.925862006557594,36.49734289920916,0.397,5.0,0.316,-1.2733589181878808
24.0,2.0,25.329016685119733,28.56041024796258,0.519,9.0,0.249,-1.407207794796121
25.0,2.0,23.487414669632187,31.173511307592904,0.256,9.0,0.047,-0.5423204495203997
26.0,1.0,23.021458962875425,28.701873189572616,0.368,9.0,0.782,-0.5033536672096568
27.0,1.0,80.74842939846882,80.38286029961473,0.46,9.0,-0.362,-0.41310006521830656
28.0,3.0,25.778994172904984,33.90486710929757,0.244,5.0,0.759,-0.2619876005113956
29.0,3.0,23.50060213075408,38.78785987012591,0.177,8.0,0.817,-0.6364627374885539
30.0,3.0,24.366549510927488,35.648082362796394,0.229,6.0,0.768,-2.060326892762083
31.0,3.0,23.668483772080577,36.444959225459606,-0.158,7.0,0.75,-0.9846556551445639
32.0,3.0,29.24769447557108,47.19664588250751,0.277,6.0,1.069,-2.7847288291038734
33.0,3.0,31.859893093192223,43.71118909825787,0.803,4.0,1.075,-0.7853244127496242
34.0,3.0,31.923594124118605,43.04659792556747,-0.454,4.0,0.928,-2.7986246532488033
35.0,3.0,33.79738232797268,45.43978712979424,0.166,4.0,1.004,-0.8107175206592432
36.0,2.0,32.440873116329804,35.62008810627065,0.326,3.0,0.442,-0.5083405477074613
37.0,2.0,34.456908932090144,42.55913301014153,0.247,6.0,0.443,-0.5460570879989443
38.0,2.0,23.676805602214817,23.81646770320961,-0.012,6.0,0.032,-1.0674466965484786
39.0,2.0,22.221496938410056,21.251870174027324,-0.011,3.0,-0.164,-0.07938731299926582
40.0,3.0,23.705589603204835,25.75159458981609,0.716,3.0,0.216,-0.5225219125474946
41.0,3.0,24.173347927947155,41.00622510972851,0.151,4.0,2.953,-0.3525736610965269
42.0,2.0,42.281030735257296,43.503981983629075,0.262,2.0,0.245,-0.5328882814701104
43.0,2.0,17.360835145072873,18.53938305167119,-0.205,3.0,0.207,-0.40467113626228174
44.0,2.0,27.80735891440793,37.705117060344655,-0.673,3.0,2.014,-2.9198116401124854
45.0,2.0,23.763977317708537,26.71574519971047,0.511,3.0,0.452,-2.0590106910996075
46.0,2.0,25.76206056034105,28.389512143541143,0.809,3.0,0.431,-1.9945142048549593
47.0,2.0,19.81978303801492,22.698723268024725,0.341,3.0,0.463,-2.0562653071735215
48.0,2.0,21.68250759645949,24.946120511682995,-0.243,3.0,0.581,-0.09076456824942787
49.0,3.0,22.41697746806536,21.822647112058874,-0.336,3.0,-0.002,-2.0589274903632524
50.0,3.0,27.41677414886816,33.480521038825394,0.156,3.0,0.986,-2.7489802646346475
51.0,3.0,31.513771961814022,32.88895416296817,0.453,2.0,0.275,-0.3150153801659986
52.0,3.0,25.883090426095805,32.55735190386857,0.056,3.0,1.073,-2.0094807295156563
53.0,3.0,30.340531463764705,35.22566152283483,0.07,3.0,0.818,-0.309414437159336
54.0,3.0,27.734725901465644,33.903323617690255,0.797,3.0,1.026,-2.762355439208316
55.0,3.0,27.708104530960977,29.15142805016601,0.611,2.0,0.289,-0.08509571550171603
56.0,3.0,26.404358197713957,30.59949162813885,-0.322,2.0,0.839,-2.736362449643452
57.0,3.0,23.675728878998743,27.215332210145633,-0.307,2.0,0.708,-0.10632886656838858
58,3,35.322670226998945,,,1,NaN,-0.679171939516714
59,3,21.15545408337065,,,1,NaN,-0.7102431610174469
60,3,41.99877854991541,,,1,NaN,-0.38421696046222825
61,3,40.26699473477457,,,1,NaN,-0.3541909971506965
62,3,35.08593691993436,,,1,NaN,-0.3551545258387564
63,3,33.69206563450197,,,1,NaN,-0.3985798129018303
64,3,30.098933749258805,,,1,NaN,-1.5529060808691721
65,3,43.41300499440436,,,1,NaN,-2.609747773827226
66,3,47.29370543741689,,,1,NaN,-0.292702646653421
67,3,22.50101027531778,,,1,NaN,-2.653373296790487
68,3,43.19093791320869,,,1,NaN,-0.31189019375247035
69,3,39.39136938397145,,,1,NaN,-2.908008955924427
