dataset,mode,Number_of_incorrect_tracking
E.coli_chamber,1. Raw Images,3380
E.coli_mono_agarose,1. Raw Images,700
E.coli_mono_agarose,2. Ilastik Output,374
E.coli_mono_agarose_skipTimeSteps2,2. Ilastik Output,408
E.coli_mono_agarose_skipTimeSteps,2. Ilastik Output,399
E.coli_mono_agarose_noisy,1. Raw Images,746
Pseudomonas_agarose,1. Raw Images,438
Pseudomonas_agarose,2. Ilastik Output,340
Pseudomonas_chamber,1. Raw Images,308
Pseudomonas_chamber,2. Ilastik Output,340
SuperSegger sample images set,1. Raw Images,22
SuperSegger sample images set,2. Ilastik Output,3
Xanthomonase_agarose,1. Raw Images,1037
Xanthomonase_agarose,2. Ilastik Output,2040
Xanthomonase_chamber,1. Raw Images,433
Xanthomonase_chamber,2. Ilastik Output,828
