CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,20.48525357700525,26.50021448759184,-0.141,20.0,0.018
2.0,1.0,15.039790757943988,24.24753516197094,0.06,20.0,0.033
3.0,1.0,22.977198002425343,25.86913876360813,0.524,7.0,0.021
4.0,1.0,13.881654793032236,14.695090163283774,-0.297,5.0,0.015
5.0,1.0,18.543907612008077,30.663086204391767,-0.295,11.0,0.045
6.0,1.0,14.398309319041507,14.443407740954413,-0.059,2.0,0.002
7,1.0,27.844684800066588,NaN,NaN,1,NaN
8.0,1.0,11.82419689214704,17.46279030310113,-0.896,2.0,0.223
9.0,1.0,20.677709441802747,29.491404860151928,-0.372,8.0,0.066
10.0,1.0,16.617749119398525,27.88016823924105,0.191,14.0,0.043
11.0,1.0,13.257466656575875,20.227375440969524,0.209,2.0,0.24
12,1.0,15.89276239990299,NaN,NaN,1,NaN
13.0,1.0,15.72026674948507,15.90627773929976,0.1,23.0,-0.005
14.0,1.0,13.623158398263037,13.569721293893522,-0.497,3.0,0.02
15.0,1.0,14.00480749478148,14.98000478231078,0.139,5.0,0.03
16.0,1.0,16.521240573120416,22.009256762650928,0.173,7.0,0.054
17.0,1.0,18.432681030478147,21.569151355286703,0.386,8.0,0.038
18,1.0,11.991526868196242,NaN,NaN,1,NaN
19.0,1.0,23.31153481386947,29.891974664870677,0.077,2.0,0.149
20,1.0,23.199786488601926,NaN,NaN,1,NaN
21.0,1.0,11.908210366628722,21.898302658629742,0.463,14.0,0.047
22,1.0,12.936334879235575,NaN,NaN,1,NaN
23.0,1.0,25.64169254994269,32.58483930655137,-0.129,2.0,0.144
24.0,1.0,11.380994280650288,20.78621000787756,0.196,15.0,0.026
25.0,1.0,12.973972471839062,14.014117579715897,0.301,4.0,0.055
26,1.0,13.603543722641884,NaN,NaN,1,NaN
27.0,1.0,28.56536249024137,34.50882016458959,0.03,2.0,0.116
28.0,1.0,11.917517550706952,18.06040885506939,0.335,7.0,0.095
29.0,1.0,33.135580487281416,34.43977011912658,-0.236,2.0,0.025
30.0,1.0,17.593361514715443,20.07969008506761,0.217,4.0,0.031
31,1.0,24.723820705778117,NaN,NaN,1,NaN
32.0,1.0,14.023359187880963,21.433930763501998,0.186,2.0,0.24
33,1.0,12.756920084064234,NaN,NaN,1,NaN
34.0,1.0,13.755095927525588,19.21767223508122,0.301,12.0,0.027
35.0,1.0,19.557075953680236,23.590978138793258,0.423,10.0,0.043
36.0,1.0,12.76414040256548,13.19430788408463,0.373,4.0,0.021
37.0,1.0,21.320225563610144,31.414266863290973,1.003,8.0,0.093
38,1.0,12.276324199471777,NaN,NaN,1,NaN
39.0,1.0,18.531621364119136,22.585267982901712,0.699,6.0,0.05
40.0,3.0,19.33969700220118,19.102796277527275,0.682,4.0,0.026
41.0,1.0,20.28338019873457,20.50736607830173,0.001,2.0,0.007
42,1.0,14.170384361042938,NaN,NaN,1,NaN
43,1.0,23.267288465166192,NaN,NaN,1,NaN
44.0,1.0,20.15279093970032,26.863147994752417,0.206,2.0,0.17
45,1.0,12.954810241752083,NaN,NaN,1,NaN
46,1.0,16.492120261507864,NaN,NaN,1,NaN
47.0,1.0,32.9107664743919,36.2346255472928,-0.408,3.0,0.041
48.0,1.0,27.215662426809445,31.56265911301779,-0.469,2.0,0.092
49.0,1.0,17.93179284084941,15.91106097877055,-0.774,3.0,-0.035
50.0,1.0,27.30238219174765,41.94541468419491,1.831,4.0,0.182
51.0,5.0,26.169882112542613,28.920103477645096,-0.341,12.0,0.01
52,1.0,42.235014248789504,NaN,NaN,1,NaN
53.0,1.0,15.079424515014235,20.70575191072189,-0.357,10.0,0.043
54,1.0,22.71200276774333,NaN,NaN,1,NaN
55.0,1.0,14.830250297493548,16.188021904732206,0.938,4.0,0.031
56.0,1.0,25.191175242660243,25.293485091773448,-0.32,4.0,0.0
57.0,1.0,14.663370412564788,23.143219629443934,-1.04,4.0,0.202
58,1.0,16.139505026058938,NaN,NaN,1,NaN
59,1.0,19.495428234975183,NaN,NaN,1,NaN
60.0,1.0,16.264328513840816,24.573936166973038,-0.685,12.0,0.044
61,1.0,12.547881157360225,NaN,NaN,1,NaN
62.0,1.0,12.229378098054488,21.07793442529781,-0.257,3.0,0.168
63.0,1.0,17.75096806384001,21.368811299073215,-0.61,4.0,0.094
64.0,1.0,15.598343168401987,16.432878913785306,0.212,3.0,0.023
65.0,1.0,27.84816143295036,29.773991019479798,-0.273,3.0,0.028
66.0,1.0,22.269366914817656,25.32758837481118,-0.251,3.0,0.028
67.0,1.0,11.329592426564377,11.516727827117577,0.129,2.0,0.011
68.0,1.0,19.332257004845157,27.743417343256013,-0.313,8.0,0.031
69,1.0,28.45661571814279,NaN,NaN,1,NaN
70.0,1.0,59.887782688180245,61.625126671374254,0.516,2.0,0.019
