TimeStep,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,3
29,3
30,3
31,3
32,3
33,2
34,2
35,2
36,2
37,2
38,2
39,3
40,4
41,5
42,5
43,6
44,6
45,5
46,5
47,5
48,6
49,5
50,7
51,7
52,8
53,7
54,8
55,8
56,11
57,10
58,12
59,10
60,9
61,10
62,8
63,7
64,12
65,8
66,13
67,13
68,14
69,15
70,11
71,13
72,16
73,12
74,16
75,17
76,23
77,19
78,23
79,26
80,28
81,27
82,31
83,33
84,31
85,29
86,30
87,30
88,32
89,34
90,36
91,26
92,39
93,30
94,35
95,39
96,34
97,38
98,48
99,41
100,48
101,48
102,52
103,56
104,52
105,54
106,60
107,57
108,55
109,58
110,67
111,75
112,73
113,84
114,85
115,82
116,88
117,84
118,94
119,92
120,102
121,107
122,102
123,104
124,106
125,118
126,126
127,139
128,147
129,150
130,150
131,174
132,165
133,124
134,181
135,204
136,216
137,216
138,223
139,225
140,242
141,242
142,255
143,270
144,281
145,318
146,298
147,305
148,319
149,340
150,364
151,364
152,382
153,391
154,391
155,386
156,401
157,414
158,439
159,442
160,432
161,466
162,476
163,495
164,437
165,517
166,507
167,500
168,508
169,548
170,565
171,518
172,494
173,536
174,415
175,618
176,623
177,674
178,635
179,637
180,613
181,554
182,739
183,683
184,744
185,545
186,735
187,793
188,653
189,791
190,794
191,844
192,788
193,833
194,827
195,692
196,829
197,828
198,804
199,731
200,667
201,802
202,841
203,694
204,563
205,519
206,783
207,836
208,859
209,984
210,914
211,1029
212,1018
213,1076
214,1005
215,1083
216,1000
217,1073
218,1003
219,968
220,1007
221,1024
222,854
223,672
224,1006
225,994
226,946
227,1103
228,1026
229,1011
230,1121
231,1027
232,1055
233,1063
234,1069
235,1038
236,793
237,1035
238,1033
239,915
240,899
241,1042
242,805
243,1048
244,1062
245,1084
246,1096
247,1073
248,1084
249,1087
250,681
251,949
252,955
253,873
254,978
255,850
256,1025
257,839
258,736
259,971
260,837
261,752
262,932
263,984
264,742
265,761
266,929
267,917
268,927
269,943
270,757
271,728
272,894
273,866
274,745
275,867
276,971
277,894
278,868
279,922
280,756
281,983
282,950
283,962
284,815
285,947
286,959
287,922
288,965
289,907
290,900
291,920
292,925
293,905
294,634
295,846
296,883
297,908
298,913
299,899
300,943
301,846
302,820
303,941
304,841
305,729
306,785
307,903
308,895
309,769
310,907
311,946
312,949
313,832
314,836
