lable,NumberOfDivision
1.0,3072.0
3.0,NaN
5.0,40.0
8.0,43.0
10.0,2.0
14.0,10.0
17.0,24.0
18.0,1487.0
19.0,15.0
20.0,NaN
21.0,NaN
22.0,2.0
23.0,2.0
25.0,3.0
26.0,3.0
27.0,NaN
30.0,3.0
33.0,NaN
34.0,NaN
36.0,NaN
38.0,53.0
39.0,NaN
40.0,NaN
41.0,NaN
42.0,48.0
43.0,10.0
44.0,4.0
45.0,31.0
46.0,NaN
48.0,52.0
49.0,6.0
50.0,NaN
54.0,NaN
55.0,4.0
56.0,NaN
57.0,2.0
58.0,NaN
59.0,3.0
62.0,NaN
67.0,2.0
68.0,19.0
69.0,NaN
70.0,131.0
71.0,NaN
73.0,NaN
74.0,2.0
75.0,NaN
76.0,NaN
77.0,NaN
78.0,14.0
81.0,2.0
82.0,8.0
84.0,NaN
85.0,48.0
86.0,NaN
87.0,214.0
88.0,NaN
89.0,2.0
94.0,NaN
95.0,69.0
96.0,11.0
102.0,38.0
103.0,NaN
105.0,32.0
106.0,NaN
109.0,2.0
110.0,2.0
112.0,2.0
115.0,2.0
116.0,8.0
119.0,34.0
121.0,2.0
122.0,4.0
123.0,NaN
124.0,2.0
126.0,42.0
127.0,NaN
128.0,17.0
129.0,12.0
131.0,11.0
132.0,NaN
133.0,16.0
134.0,34.0
135.0,5.0
136.0,3.0
138.0,NaN
141.0,NaN
142.0,3.0
143.0,3.0
145.0,5.0
146.0,4.0
148.0,7.0
149.0,NaN
152.0,22.0
154.0,14.0
156.0,461.0
157.0,18.0
161.0,19.0
162.0,NaN
164.0,9.0
165.0,NaN
166.0,444.0
168.0,2.0
169.0,NaN
170.0,26.0
171.0,NaN
172.0,5.0
174.0,NaN
175.0,NaN
177.0,NaN
180.0,NaN
181.0,3.0
182.0,NaN
183.0,36.0
186.0,NaN
189.0,NaN
190.0,2.0
195.0,NaN
196.0,NaN
197.0,NaN
198.0,NaN
199.0,262.0
200.0,NaN
202.0,NaN
203.0,3.0
205.0,NaN
206.0,4.0
209.0,NaN
210.0,NaN
211.0,NaN
212.0,NaN
215.0,3.0
216.0,2.0
218.0,5.0
219.0,NaN
221.0,144.0
223.0,6.0
224.0,4.0
227.0,NaN
228.0,5.0
231.0,NaN
232.0,3.0
233.0,NaN
234.0,NaN
238.0,NaN
239.0,NaN
242.0,NaN
243.0,156.0
244.0,NaN
245.0,NaN
247.0,NaN
248.0,12.0
251.0,2.0
253.0,75.0
256.0,37.0
258.0,NaN
259.0,2.0
260.0,NaN
261.0,2.0
262.0,60.0
266.0,NaN
269.0,NaN
270.0,3.0
271.0,9.0
272.0,5.0
273.0,NaN
274.0,8.0
275.0,NaN
279.0,9.0
280.0,NaN
281.0,4.0
282.0,7.0
283.0,39.0
287.0,NaN
290.0,5.0
291.0,3.0
292.0,4.0
293.0,NaN
295.0,23.0
297.0,NaN
299.0,NaN
300.0,3.0
301.0,NaN
303.0,NaN
306.0,NaN
307.0,2.0
308.0,6.0
309.0,3.0
310.0,NaN
313.0,6.0
314.0,111.0
315.0,2.0
321.0,NaN
322.0,5.0
323.0,32.0
324.0,NaN
326.0,NaN
328.0,NaN
329.0,NaN
330.0,NaN
332.0,NaN
333.0,NaN
335.0,NaN
337.0,NaN
338.0,3.0
340.0,2.0
341.0,NaN
342.0,3.0
343.0,6.0
344.0,NaN
346.0,3.0
348.0,5.0
349.0,NaN
351.0,NaN
352.0,14.0
353.0,NaN
354.0,NaN
356.0,NaN
357.0,6.0
360.0,NaN
362.0,NaN
363.0,NaN
364.0,NaN
366.0,35.0
367.0,NaN
368.0,14.0
369.0,NaN
370.0,74.0
371.0,22.0
374.0,97.0
375.0,13.0
377.0,18.0
378.0,NaN
381.0,NaN
382.0,NaN
383.0,3.0
384.0,NaN
385.0,NaN
386.0,15.0
389.0,NaN
390.0,7.0
391.0,3.0
394.0,NaN
396.0,4.0
398.0,NaN
400.0,NaN
401.0,3.0
402.0,NaN
404.0,154.0
406.0,NaN
407.0,NaN
409.0,NaN
410.0,4.0
411.0,NaN
412.0,6.0
413.0,3.0
414.0,2.0
416.0,242.0
419.0,2.0
421.0,NaN
422.0,6.0
423.0,NaN
424.0,5.0
426.0,54.0
431.0,NaN
432.0,57.0
433.0,2.0
436.0,NaN
438.0,12.0
443.0,NaN
444.0,2.0
445.0,NaN
446.0,NaN
447.0,NaN
449.0,2.0
450.0,12.0
451.0,NaN
452.0,118.0
454.0,4.0
455.0,21.0
458.0,497.0
459.0,281.0
461.0,7.0
463.0,13.0
464.0,NaN
465.0,NaN
466.0,NaN
469.0,11.0
471.0,87.0
473.0,9.0
474.0,4.0
475.0,NaN
476.0,2.0
477.0,NaN
478.0,3.0
479.0,2.0
481.0,NaN
482.0,NaN
483.0,NaN
484.0,NaN
485.0,NaN
486.0,3.0
487.0,22.0
490.0,6.0
491.0,37.0
492.0,117.0
494.0,2.0
495.0,5.0
496.0,NaN
497.0,NaN
498.0,26.0
499.0,6.0
500.0,457.0
502.0,2.0
505.0,3.0
506.0,NaN
507.0,NaN
510.0,NaN
511.0,398.0
513.0,NaN
514.0,NaN
515.0,NaN
518.0,NaN
520.0,NaN
521.0,2.0
522.0,NaN
523.0,NaN
525.0,168.0
526.0,NaN
531.0,NaN
532.0,NaN
533.0,NaN
534.0,NaN
536.0,6.0
537.0,4.0
542.0,NaN
544.0,NaN
551.0,4.0
552.0,NaN
555.0,NaN
557.0,NaN
558.0,7.0
561.0,5.0
562.0,5.0
564.0,2.0
565.0,NaN
566.0,NaN
567.0,NaN
568.0,NaN
569.0,5.0
570.0,2.0
572.0,127.0
573.0,12.0
574.0,NaN
575.0,NaN
576.0,51.0
578.0,NaN
579.0,NaN
580.0,NaN
581.0,NaN
582.0,6.0
583.0,NaN
585.0,9.0
587.0,NaN
588.0,8.0
589.0,NaN
593.0,6.0
594.0,2.0
596.0,NaN
602.0,5.0
606.0,13.0
607.0,3.0
608.0,NaN
612.0,20.0
613.0,NaN
616.0,NaN
617.0,NaN
618.0,NaN
619.0,NaN
620.0,NaN
625.0,NaN
626.0,NaN
627.0,54.0
628.0,6.0
629.0,8.0
630.0,NaN
631.0,9.0
633.0,NaN
634.0,7.0
635.0,6.0
636.0,NaN
637.0,NaN
639.0,NaN
640.0,2.0
641.0,30.0
643.0,5.0
644.0,NaN
648.0,NaN
650.0,NaN
651.0,6.0
653.0,20.0
654.0,5.0
655.0,NaN
656.0,149.0
657.0,NaN
658.0,2.0
659.0,22.0
661.0,22.0
664.0,NaN
669.0,NaN
670.0,NaN
671.0,NaN
672.0,34.0
673.0,NaN
674.0,3.0
675.0,27.0
678.0,4.0
680.0,NaN
682.0,3.0
683.0,3.0
684.0,37.0
692.0,44.0
695.0,7.0
696.0,2.0
698.0,129.0
701.0,NaN
703.0,2.0
704.0,15.0
707.0,NaN
709.0,14.0
711.0,NaN
713.0,NaN
714.0,NaN
715.0,2.0
718.0,43.0
719.0,9.0
721.0,NaN
723.0,6.0
724.0,2.0
725.0,NaN
726.0,720.0
727.0,NaN
728.0,NaN
730.0,NaN
732.0,53.0
736.0,5.0
739.0,NaN
744.0,2.0
745.0,NaN
748.0,2.0
749.0,NaN
750.0,NaN
752.0,16.0
753.0,NaN
754.0,NaN
755.0,NaN
756.0,NaN
757.0,NaN
760.0,8.0
761.0,NaN
767.0,NaN
768.0,NaN
769.0,3.0
770.0,NaN
775.0,14.0
778.0,NaN
779.0,NaN
780.0,2.0
781.0,2.0
782.0,2.0
783.0,NaN
784.0,NaN
785.0,4.0
786.0,NaN
789.0,NaN
793.0,NaN
794.0,NaN
797.0,28.0
798.0,NaN
801.0,2.0
802.0,4.0
803.0,NaN
805.0,27.0
810.0,NaN
811.0,NaN
812.0,NaN
815.0,NaN
816.0,4.0
820.0,NaN
822.0,NaN
824.0,NaN
825.0,2.0
827.0,6.0
828.0,23.0
830.0,NaN
831.0,NaN
833.0,5.0
834.0,224.0
838.0,NaN
841.0,NaN
843.0,3.0
845.0,NaN
848.0,2.0
851.0,NaN
853.0,NaN
854.0,6.0
856.0,3.0
859.0,2.0
860.0,3.0
861.0,NaN
862.0,NaN
863.0,NaN
864.0,22.0
866.0,NaN
868.0,4.0
870.0,NaN
872.0,NaN
873.0,25.0
875.0,NaN
877.0,21.0
879.0,3.0
880.0,NaN
882.0,NaN
883.0,2.0
884.0,2.0
891.0,NaN
892.0,NaN
893.0,3.0
894.0,11.0
896.0,NaN
897.0,21.0
898.0,5.0
899.0,NaN
904.0,NaN
905.0,2.0
910.0,5.0
913.0,3.0
915.0,NaN
919.0,NaN
922.0,NaN
927.0,NaN
928.0,NaN
929.0,3.0
930.0,NaN
931.0,2.0
932.0,18.0
936.0,NaN
938.0,11.0
939.0,NaN
940.0,NaN
941.0,11.0
943.0,NaN
946.0,NaN
949.0,NaN
950.0,NaN
952.0,NaN
953.0,7.0
954.0,NaN
956.0,NaN
960.0,NaN
963.0,2.0
968.0,2.0
970.0,NaN
971.0,NaN
972.0,NaN
973.0,NaN
974.0,NaN
977.0,8.0
978.0,29.0
979.0,NaN
980.0,25.0
982.0,4.0
983.0,2.0
984.0,42.0
987.0,19.0
992.0,12.0
997.0,3.0
999.0,69.0
1004.0,19.0
1005.0,331.0
1014.0,NaN
1015.0,2.0
1016.0,NaN
1018.0,NaN
1019.0,NaN
1025.0,NaN
1028.0,64.0
1030.0,21.0
1031.0,2.0
1033.0,NaN
1034.0,3.0
1035.0,4.0
1036.0,NaN
1039.0,2.0
1040.0,10.0
1044.0,NaN
1045.0,9.0
1046.0,2.0
1047.0,NaN
1048.0,100.0
1049.0,19.0
1052.0,2.0
1058.0,47.0
1060.0,NaN
1061.0,11.0
1062.0,25.0
1063.0,143.0
1065.0,40.0
1066.0,7.0
1067.0,2.0
1068.0,161.0
1069.0,8.0
1070.0,5.0
1071.0,NaN
1072.0,103.0
1075.0,54.0
1076.0,19.0
1077.0,NaN
1078.0,NaN
1081.0,5.0
1087.0,2.0
1089.0,2.0
1090.0,NaN
1091.0,5.0
1093.0,NaN
1096.0,NaN
1101.0,7.0
1104.0,NaN
1105.0,4.0
1106.0,NaN
1108.0,2.0
1111.0,2.0
1114.0,4.0
1117.0,4.0
1118.0,NaN
1119.0,NaN
1120.0,37.0
1121.0,3.0
1123.0,18.0
1124.0,37.0
1125.0,NaN
1126.0,15.0
1127.0,34.0
1129.0,NaN
1132.0,5.0
1133.0,3.0
1134.0,2.0
1138.0,NaN
1139.0,3.0
1142.0,NaN
1143.0,46.0
1144.0,NaN
1145.0,NaN
1147.0,4.0
1149.0,NaN
1150.0,2.0
1154.0,7.0
1159.0,5.0
1160.0,18.0
1162.0,NaN
1163.0,94.0
1165.0,4.0
1167.0,3.0
1168.0,5.0
1169.0,222.0
1171.0,8.0
1174.0,NaN
1175.0,NaN
1181.0,NaN
1182.0,2.0
1185.0,11.0
1191.0,6.0
1192.0,13.0
1193.0,3.0
1194.0,2.0
1196.0,8.0
1198.0,7.0
1199.0,17.0
1201.0,119.0
1202.0,NaN
1203.0,16.0
1205.0,NaN
1206.0,11.0
1208.0,NaN
1210.0,NaN
1211.0,NaN
1212.0,6.0
1213.0,50.0
1214.0,2.0
1216.0,7.0
1217.0,55.0
1218.0,22.0
1220.0,NaN
1223.0,NaN
1226.0,2.0
1230.0,NaN
1231.0,8.0
1232.0,2.0
1234.0,NaN
1236.0,33.0
1239.0,NaN
1241.0,5.0
1242.0,NaN
1244.0,NaN
1247.0,5.0
1248.0,NaN
1251.0,7.0
1252.0,5.0
1255.0,22.0
1257.0,NaN
1258.0,NaN
1262.0,NaN
1265.0,NaN
1266.0,NaN
1267.0,NaN
1268.0,108.0
1270.0,27.0
1275.0,15.0
1281.0,NaN
1283.0,NaN
1284.0,6.0
1288.0,NaN
1289.0,119.0
1293.0,NaN
1296.0,4.0
1298.0,2.0
1300.0,3.0
1301.0,48.0
1303.0,3.0
1309.0,2.0
1310.0,NaN
1312.0,11.0
1313.0,7.0
1314.0,NaN
1317.0,12.0
1318.0,5.0
1322.0,NaN
1323.0,NaN
1324.0,2.0
1326.0,2.0
1327.0,NaN
1330.0,NaN
1332.0,6.0
1333.0,NaN
1335.0,NaN
1337.0,NaN
1339.0,7.0
1340.0,11.0
1342.0,NaN
1345.0,2.0
1349.0,NaN
1351.0,NaN
1352.0,2.0
1353.0,NaN
1355.0,3.0
1358.0,26.0
1361.0,NaN
1365.0,NaN
1366.0,114.0
1371.0,9.0
1372.0,NaN
1373.0,21.0
1374.0,NaN
1377.0,NaN
1379.0,2.0
1380.0,24.0
1381.0,2.0
1382.0,2.0
1385.0,115.0
1387.0,2.0
1388.0,10.0
1390.0,NaN
1393.0,2.0
1395.0,22.0
1397.0,NaN
1398.0,3.0
1399.0,NaN
1401.0,3.0
1402.0,NaN
1403.0,402.0
1408.0,NaN
1411.0,6.0
1414.0,NaN
1415.0,13.0
1416.0,NaN
1418.0,47.0
1421.0,NaN
1422.0,52.0
1424.0,131.0
1425.0,13.0
1428.0,NaN
1431.0,22.0
1434.0,302.0
1436.0,NaN
1439.0,10.0
1445.0,NaN
1446.0,NaN
1447.0,NaN
1448.0,82.0
1450.0,NaN
1458.0,NaN
1459.0,NaN
1460.0,NaN
1463.0,9.0
1466.0,NaN
1467.0,2.0
1470.0,NaN
1472.0,NaN
1474.0,19.0
1476.0,43.0
1490.0,NaN
1492.0,NaN
1493.0,3.0
1494.0,20.0
1498.0,8.0
1499.0,NaN
1501.0,156.0
1504.0,9.0
1505.0,NaN
1506.0,5.0
1507.0,NaN
1511.0,NaN
1514.0,2.0
1515.0,13.0
1516.0,135.0
1517.0,3.0
1519.0,NaN
1520.0,2.0
1527.0,3.0
1528.0,NaN
1530.0,NaN
1531.0,NaN
1532.0,NaN
1533.0,3.0
1536.0,16.0
1537.0,NaN
1538.0,6.0
1539.0,NaN
1540.0,37.0
1541.0,2.0
1542.0,11.0
1543.0,NaN
1544.0,NaN
1546.0,NaN
1548.0,NaN
1549.0,21.0
1550.0,NaN
1553.0,8.0
1555.0,24.0
1556.0,106.0
1560.0,2.0
1561.0,NaN
1562.0,NaN
1567.0,10.0
1586.0,2.0
1587.0,12.0
1588.0,4.0
1589.0,NaN
1592.0,48.0
1596.0,NaN
1597.0,NaN
1600.0,12.0
1601.0,NaN
1602.0,9.0
1603.0,NaN
1605.0,NaN
1606.0,NaN
1607.0,99.0
1615.0,9.0
1617.0,23.0
1619.0,7.0
1620.0,NaN
1621.0,99.0
1623.0,6.0
1624.0,NaN
1625.0,42.0
1627.0,3.0
1633.0,31.0
1634.0,4.0
1635.0,NaN
1643.0,NaN
1648.0,NaN
1649.0,11.0
1650.0,2.0
1652.0,NaN
1653.0,2.0
1657.0,77.0
1658.0,4.0
1660.0,3.0
1663.0,55.0
1664.0,6.0
1666.0,NaN
1668.0,NaN
1669.0,NaN
1671.0,125.0
1678.0,NaN
1680.0,NaN
1681.0,NaN
1682.0,8.0
1683.0,4.0
1688.0,NaN
1690.0,NaN
1691.0,13.0
1694.0,NaN
1696.0,3.0
1698.0,5.0
1700.0,NaN
1705.0,NaN
1707.0,NaN
1711.0,2.0
1712.0,77.0
1713.0,2.0
1715.0,10.0
1719.0,14.0
1720.0,9.0
1721.0,84.0
1723.0,3.0
1724.0,81.0
1726.0,5.0
1727.0,15.0
1728.0,2.0
1730.0,28.0
1732.0,NaN
1737.0,3.0
1738.0,2.0
1739.0,NaN
1742.0,9.0
1749.0,NaN
1756.0,NaN
1761.0,NaN
1762.0,3.0
1766.0,6.0
1771.0,39.0
1773.0,62.0
1774.0,2.0
1776.0,NaN
1779.0,2.0
1781.0,NaN
1785.0,NaN
1787.0,NaN
1790.0,NaN
1793.0,NaN
1798.0,3.0
1799.0,2.0
1802.0,NaN
1804.0,2.0
1805.0,NaN
1807.0,6.0
1808.0,6.0
1809.0,NaN
1812.0,NaN
1814.0,NaN
1815.0,6.0
1816.0,NaN
1819.0,2.0
1821.0,5.0
1825.0,NaN
1826.0,NaN
1828.0,NaN
1830.0,NaN
