CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,14.12690299,13.494125035,-0.062,2.0,-0.031
2.0,4.0,10.91441152,12.128087326000003,-0.164,5.0,0.018
3,6,13.90983113,13.90983113,0.0,1,NaN
4.0,10.0,10.92601716,11.1790908925,0.552,4.0,0.006
5.0,11.0,19.85979369,18.74648612904762,0.145,21.0,0.001
6.0,12.0,20.30228948,21.032891791818184,0.057,22.0,-0.015
7.0,14.0,15.95319516,17.235134567441857,-0.196,43.0,0.008
8.0,16.0,16.11928056,13.906827149411766,0.236,17.0,-0.011
9.0,17.0,22.61618695,22.379035967619046,0.086,84.0,-0.003
10.0,23.0,23.28448077,17.823542050322576,0.081,31.0,-0.009
11.0,24.0,10.55003526,11.162426597500001,0.44,4.0,0.019
12.0,28.0,20.69835011,21.68997390023256,0.234,43.0,0.002
13.0,30.0,25.43394549,19.142141526470585,0.232,34.0,-0.011
14.0,33.0,15.33826875,17.229344521428573,0.357,7.0,0.004
15.0,36.0,19.20707642,24.092413383333334,-1.14,3.0,0.134
16.0,37.0,15.42939436,17.811076015999998,1.066,5.0,0.037
17.0,39.0,21.60676233,32.954438575,-0.852,2.0,0.239
18,40,47.58727543,47.58727543,0.0,1,NaN
19.0,42.0,14.76995103,18.76015107804878,0.302,41.0,0.005
20.0,43.0,40.27492004,42.541277230000006,0.545,5.0,0.013
21.0,44.0,21.38162254,21.623881926279072,0.117,43.0,0.001
22.0,45.0,20.86488258,21.414169884375,0.171,16.0,-0.0
23.0,46.0,22.79773029,24.380832925,0.221,16.0,-0.002
24.0,47.0,23.57479098,25.79242919923077,0.198,13.0,0.012
25.0,48.0,18.94452829,18.03334628,0.513,7.0,0.007
26.0,49.0,16.35313899,17.924581333076926,0.173,13.0,0.007
27.0,51.0,13.23854024,23.006499145,-0.136,4.0,0.113
28.0,52.0,23.68149789,18.7914732195,-0.108,20.0,-0.021
29.0,53.0,25.55588501,19.63188174864865,0.049,37.0,-0.009
30,54,30.98646445,30.98646445,0.0,1,NaN
31.0,55.0,13.06841915,12.81763057,0.503,5.0,-0.017
32.0,56.0,24.73848194,18.15007652083333,0.359,12.0,-0.048
33.0,58.0,21.31071698,18.572087206874997,0.272,16.0,-0.022
34.0,60.0,40.69149328,43.736047096250005,0.409,8.0,0.013
35.0,61.0,17.33783527,31.79561059,1.105,7.0,0.08
36.0,63.0,34.53426968,40.51435307571429,0.214,14.0,0.015
37.0,69.0,36.12128198,35.753764410833334,0.259,12.0,-0.001
38.0,71.0,18.55161269,20.628041891764706,0.03,17.0,-0.004
39.0,72.0,19.56819978,21.070077937058826,0.105,34.0,-0.013
40.0,73.0,25.02686338,20.24618533083333,0.247,12.0,-0.013
41.0,74.0,27.89199788,20.875496132000002,0.36,5.0,-0.047
42.0,75.0,16.2337364,16.968502483333335,0.28,12.0,0.002
43.0,77.0,18.1296897,19.94560737352941,-0.123,17.0,-0.003
44.0,78.0,23.07579119,17.315894512,0.392,10.0,-0.019
45,81,40.21425371,40.21425371,0.0,1,NaN
46.0,82.0,17.04640087,20.188046608,0.072,25.0,0.013
47,83,18.06011104,18.06011104,0.0,1,NaN
48.0,85.0,17.46216669,18.219011381999998,0.043,25.0,0.002
49.0,86.0,17.07890351,22.604460576585367,0.066,41.0,-0.007
50.0,87.0,17.89050578,21.955690416744183,0.132,43.0,-0.0
51.0,92.0,24.90128615,21.9276923153125,0.292,32.0,-0.012
52.0,93.0,18.81482922,18.7980733705,0.225,40.0,-0.004
53.0,96.0,27.72961753,19.701792836153842,0.116,13.0,-0.035
54.0,101.0,17.56916292,29.303730959999996,0.711,3.0,0.157
55.0,102.0,35.85739536,38.379351212857145,0.557,7.0,0.013
56,103,38.79491556,38.79491556,0.0,1,NaN
57.0,104.0,20.81779847,19.679237324186047,0.005,43.0,-0.003
58.0,105.0,20.68840069,22.43419823714286,0.073,21.0,-0.0
59.0,106.0,32.6990229,36.95532750368421,0.103,19.0,0.009
60.0,107.0,20.58591369,15.618191271428572,0.012,14.0,-0.022
61.0,108.0,24.12218149,32.12285736413793,0.108,29.0,0.014
62,110,42.97674433,42.97674433,0.0,1,NaN
63.0,114.0,17.9128661,20.43915474809524,-0.133,21.0,0.01
64.0,115.0,35.14832917,35.99109003,0.288,3.0,0.01
65.0,117.0,19.62293307,23.510037576933335,-0.003,75.0,0.006
66.0,118.0,20.06477595,23.804787763199997,-0.172,25.0,0.015
67.0,119.0,18.61414697,25.045293202727272,0.001,22.0,0.02
68.0,120.0,24.08823865,17.289811999444442,0.105,36.0,-0.014
69.0,121.0,24.91056403,23.002600939199997,0.017,25.0,-0.015
70,122,13.79732056,13.79732056,0.0,1,NaN
71.0,126.0,26.43463733,49.8067355975,2.252,4.0,0.133
72.0,128.0,24.40873091,27.967957289444445,0.101,18.0,0.014
73.0,129.0,22.74011621,19.5308738137931,0.278,29.0,0.004
74.0,132.0,20.04283817,17.80663592794118,0.071,34.0,-0.009
75.0,133.0,20.26569511,22.65759112608696,0.069,23.0,-0.018
76.0,134.0,23.71396069,26.998623591428572,0.025,21.0,0.009
77.0,135.0,16.89747429,20.61331451666667,-0.091,18.0,0.001
78.0,136.0,21.68943474,22.90981353333333,0.21,12.0,0.012
79.0,137.0,20.77421681,27.35002362534884,0.087,43.0,0.007
80,138,52.01918753,52.01918753,0.0,1,NaN
81.0,139.0,18.04474507,18.04239697139535,0.081,43.0,0.001
82.0,140.0,17.78145619,25.269078706000005,0.084,30.0,0.017
83.0,141.0,22.40247656,23.963073995333332,-0.015,60.0,-0.004
84.0,142.0,17.59465311,24.105191122962967,0.114,27.0,0.016
85.0,144.0,44.63786192,45.40446436,0.159,2.0,0.011
86.0,40.0,19.4544751,21.321437194999998,0.134,20.0,-0.003
87.0,40.0,21.61227893,20.312481674375,-0.071,16.0,-0.028
88.0,45.0,21.29117482,21.450789038,0.13,15.0,-0.001
89,54,13.57351396,13.57351396,0.0,1,NaN
90.0,54.0,15.59733405,25.76628918,0.044,3.0,0.151
91.0,81.0,16.0032153,17.58044451875,-0.098,16.0,0.015
92.0,81.0,19.8198477,18.447259610000003,0.079,35.0,-0.004
93.0,87.0,22.69950637,22.052480527142855,0.099,42.0,-0.004
94.0,103.0,20.61446693,30.59848813,0.072,2.0,0.226
95,103,12.78616236,12.78616236,0.0,1,NaN
96.0,105.0,20.72643284,22.5214881145,0.051,20.0,-0.0
97.0,110.0,20.76951986,22.622150494736843,0.016,19.0,-0.0
98.0,110.0,19.77024739,20.62001172181818,0.109,11.0,0.012
99.0,112.0,16.93841913,16.313409465,0.496,2.0,-0.026
100.0,138.0,31.29276464,41.619463775,3.392,2.0,0.169
101,138,29.60526061,29.60526061,0.0,1,NaN
102.0,6.0,13.617116,13.009287935,0.523,2.0,-0.031
103.0,39.0,20.10972099,19.988764500000002,0.75,2.0,-0.004
104.0,39.0,20.99737206,32.164869343157896,-0.018,19.0,0.03
105,83,19.71146981,19.71146981,0.0,1,NaN
106,91,12.82933983,12.82933983,0.0,1,NaN
107.0,105.0,22.29387281,22.615964707894737,-0.001,19.0,-0.003
108.0,109.0,11.11724436,10.813038345,1.069,2.0,-0.019
109.0,110.0,21.30610562,22.72507441888889,-0.007,18.0,-0.001
110,122,14.44442137,14.44442137,0.0,1,NaN
111,125,21.0699208,21.0699208,0.0,1,NaN
112,144,20.85340227,20.85340227,0.0,1,NaN
113.0,144.0,21.31332494,38.53246887666666,-0.061,6.0,0.006
114.0,182.0,21.06173623,20.751421338333333,0.461,12.0,0.017
115,36,17.21657242,17.21657242,0.0,1,NaN
116.0,36.0,17.33905616,30.306022586666668,-1.283,3.0,0.17
117.0,101.0,15.5132162,15.69612415,0.126,2.0,0.008
118.0,101.0,15.64007577,22.151141746666667,0.698,3.0,0.186
119.0,103.0,19.9902163,21.63946404136363,-0.04,22.0,0.001
120.0,103.0,12.74083745,17.28006221904762,-0.086,21.0,0.011
121,115,17.53983743,17.53983743,0.0,1,NaN
122.0,115.0,18.22284266,27.624659585000003,-2.147,2.0,0.236
123.0,138.0,32.79106451,37.62776767166667,-0.028,12.0,0.016
124.0,138.0,30.31094296,33.521759329999995,-0.16,14.0,0.008
125.0,51.0,12.93925405,21.72574653,1.305,3.0,0.158
126,51,11.82951709,11.82951709,0.0,1,NaN
127.0,54.0,14.6473811,25.541638763333335,1.03,3.0,0.164
128,54,13.59373544,13.59373544,0.0,1,NaN
129,65,16.88345406,16.88345406,0.0,1,NaN
130,83,19.96905061,19.96905061,0.0,1,NaN
131,126,27.05377054,27.05377054,0.0,1,NaN
132.0,126.0,26.12059966,30.00409795923077,0.012,39.0,-0.001
133.0,24.0,11.95873395,12.3855826125,0.325,4.0,0.026
134.0,43.0,16.39460896,19.75660803470588,-0.054,17.0,0.005
135.0,43.0,17.65171117,21.153143615624998,0.084,16.0,0.017
136,246,10.61917926,10.61917926,0.0,1,NaN
137,115,15.86232567,15.86232567,0.0,1,NaN
138.0,115.0,22.29091263,41.115666334444455,-0.701,9.0,0.057
139,126,10.33787081,10.33787081,0.0,1,NaN
140,220,10.28036337,10.28036337,0.0,1,NaN
141.0,126.0,17.43839829,27.165887082083334,-0.295,24.0,0.006
142.0,254.0,21.42265318,24.508400963333333,-0.199,15.0,-0.003
143,6,10.99817953,10.99817953,0.0,1,NaN
144.0,10.0,11.33451977,14.0056426275,0.471,16.0,0.017
145.0,36.0,20.70379987,35.2920645275,1.163,4.0,0.113
146,36,15.69257573,15.69257573,0.0,1,NaN
147,55,11.0244627,11.0244627,0.0,1,NaN
148,74,21.8440909,21.8440909,0.0,1,NaN
149,83,21.01942142,21.01942142,0.0,1,NaN
150.0,101.0,13.8873252,12.854611264999999,0.401,2.0,-0.054
151.0,101.0,15.13259082,21.454892006666665,0.748,3.0,0.188
152.0,109.0,10.9300796,11.340754406666667,0.181,3.0,0.033
153.0,113.0,10.18068514,10.80263563,0.235,3.0,0.01
154.0,39.0,19.85337909,20.539588716666668,0.022,3.0,0.006
155.0,51.0,13.55738485,20.14229438,1.828,2.0,0.226
156,51,12.13384187,12.13384187,0.0,1,NaN
157.0,54.0,13.61000363,18.945681649999997,0.523,4.0,0.138
158.0,54.0,15.65580169,14.085784140000001,0.303,3.0,-0.047
159.0,61.0,19.92067443,36.9791152675,0.986,4.0,0.131
160,61,20.98294409,20.98294409,0.0,1,NaN
161.0,102.0,16.87298542,17.47093509933334,-0.165,15.0,0.001
162.0,102.0,18.31461471,16.94808099357143,-0.21,14.0,-0.01
163,48,10.22410048,10.22410048,0.0,1,NaN
164.0,60.0,22.0936348,23.533814289444443,-0.296,18.0,-0.0
165.0,60.0,23.47656404,21.650610429999997,0.009,28.0,-0.02
166,65,17.57291467,17.57291467,0.0,1,NaN
167.0,74.0,18.71357048,15.539006225000001,-0.349,2.0,-0.138
168,91,14.84882126,14.84882126,0.0,1,NaN
169.0,304.0,19.54131898,21.777543808333334,-0.134,12.0,0.009
170.0,220.0,11.10199588,10.999559045,0.199,2.0,-0.006
171.0,33.0,18.77606859,18.605553815,-0.093,2.0,-0.006
172.0,51.0,13.86858597,20.3400551,1.297,2.0,0.22
173,51,11.87344064,11.87344064,0.0,1,NaN
174.0,60.0,21.72776895,23.618530730000003,-0.299,17.0,0.001
175,101,12.64192793,12.64192793,0.0,1,NaN
