CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,15.79392234,22.548953,-0.86,4.0,0.159
2.0,2.0,16.97741854,14.540556506969697,0.567,33.0,-0.01
3.0,4.0,31.46087293,24.191795067500003,-0.005,32.0,-0.022
4.0,7.0,19.85757477,17.88921658107143,0.084,84.0,-0.003
5.0,8.0,19.27533456,23.323467187333332,0.101,15.0,0.022
6.0,10.0,47.11152224,46.154762552499996,0.274,4.0,-0.007
7.0,11.0,14.66715637,12.703684824285714,0.259,14.0,-0.017
8.0,12.0,17.30566444,13.753974705952382,0.209,42.0,0.004
9.0,13.0,12.45081255,14.543298636999998,0.283,10.0,0.02
10.0,14.0,14.80145016,14.556190693333333,-0.007,3.0,-0.001
11.0,15.0,13.66040746,21.240439438,-0.44,5.0,0.113
12.0,16.0,17.00433875,22.221639061860465,0.21,43.0,0.001
13.0,17.0,30.88202433,17.692132355510203,0.365,98.0,-0.006
14.0,19.0,16.48592308,25.653916749333334,-0.033,30.0,0.02
15.0,20.0,16.31561337,17.013451724,0.162,10.0,0.007
16.0,21.0,37.68635372,38.843548330000004,0.28,3.0,0.014
17.0,22.0,17.13381932,16.599678694186046,0.116,43.0,-0.001
18.0,24.0,18.50759298,27.58570436,-1.803,4.0,0.092
19.0,25.0,18.96821574,22.6639785695,0.139,20.0,0.012
20.0,26.0,17.86693909,20.153678878636363,-0.003,22.0,0.017
21.0,27.0,22.0421775,18.492313396666667,-0.705,3.0,-0.14
22.0,28.0,46.51480145,29.16562272375,0.054,16.0,-0.021
23.0,29.0,17.26177704,18.000777733333333,0.273,3.0,0.025
24.0,31.0,12.78673983,19.84938899,-0.949,2.0,0.248
25.0,32.0,15.19836947,16.06467205631579,0.085,19.0,0.001
26.0,33.0,16.99281272,16.48355058114286,0.288,35.0,-0.007
27.0,34.0,14.807513,29.447054363333336,1.156,6.0,0.093
28.0,35.0,16.35013753,15.975306167,0.568,10.0,-0.004
29.0,37.0,29.65977956,30.88990232,0.608,4.0,0.011
30.0,38.0,10.57719969,12.286472237,-0.31,20.0,-0.0
31.0,40.0,13.68951255,12.641924836666668,0.326,3.0,-0.038
32.0,41.0,11.87115757,11.486363448999999,0.513,10.0,0.001
33.0,43.0,13.68907155,13.922084353333332,0.354,3.0,-0.004
34.0,44.0,18.60404497,29.681399829473687,0.448,19.0,0.02
35.0,45.0,26.76953901,27.204384645,0.526,8.0,0.001
36.0,48.0,13.70036706,15.30164934526316,0.024,19.0,-0.005
37.0,50.0,11.32937866,11.38460195,0.145,11.0,0.008
38.0,51.0,14.58907535,20.475993843333335,-0.124,15.0,0.034
39.0,52.0,12.3280955,18.49376400511628,0.163,43.0,-0.001
40.0,54.0,11.76138817,12.723991105555555,0.676,9.0,0.017
41.0,55.0,11.77053319,16.923786778139533,0.055,43.0,0.001
42.0,56.0,17.79349529,24.77115742111111,1.258,9.0,0.069
43.0,57.0,12.80880632,11.846360292307692,0.171,13.0,-0.007
44.0,58.0,19.10950704,20.315619237142858,0.501,7.0,0.016
45.0,59.0,13.58240956,19.10043355909091,-0.175,11.0,0.061
46.0,60.0,17.32035856,16.721565256666665,0.297,3.0,-0.01
47.0,62.0,14.39643321,12.430716937692306,0.156,13.0,-0.01
48,63,32.81143194,32.81143194,0.0,1,NaN
49.0,64.0,34.01525512,36.648645523333336,0.618,6.0,0.015
50.0,65.0,14.36155533,15.61832896888889,0.463,9.0,0.016
51.0,66.0,16.37487783,21.696408762999997,-0.104,30.0,-0.01
52.0,67.0,27.74222607,28.37703766,0.363,3.0,0.008
53.0,69.0,21.07172395,19.857446287674417,0.069,43.0,-0.002
54.0,70.0,16.66446552,16.356167009012346,0.12,81.0,-0.003
55.0,71.0,16.51121938,13.178022163142856,0.155,35.0,-0.008
56.0,72.0,14.55475416,14.5424570225,0.896,4.0,-0.004
57.0,73.0,15.00160991,14.668670703684208,-0.334,19.0,-0.002
58.0,74.0,32.24578798,33.9840071275,0.481,8.0,0.009
59.0,75.0,16.47530762,16.788216669534883,0.092,43.0,-0.005
60.0,76.0,14.91679253,17.278035652222222,-0.294,36.0,-0.004
61.0,77.0,16.69957066,18.262337057857142,0.269,14.0,-0.018
62.0,78.0,18.79961519,19.91066942,0.659,6.0,0.019
63.0,79.0,20.42197299,29.016957574000003,0.754,10.0,0.047
64.0,81.0,12.40163976,11.391486726666665,0.178,3.0,-0.048
65.0,82.0,53.18953642,53.5757184,0.062,2.0,0.005
66.0,83.0,20.68560102,26.403452319999996,1.936,6.0,0.092
67.0,84.0,19.33807062,21.233915432,0.348,10.0,0.021
68.0,85.0,14.95456016,14.841342216666666,0.557,9.0,-0.006
69.0,86.0,15.67171367,27.984842875588235,0.034,34.0,0.017
70.0,87.0,20.16104676,21.658310347999997,0.485,5.0,0.019
71.0,88.0,17.24488032,18.279348484285713,0.551,7.0,0.015
72.0,89.0,24.74272298,26.725927506250002,-0.069,24.0,0.011
73.0,90.0,19.2279117,22.241604438604654,0.153,43.0,-0.002
74,91,31.18088381,31.18088381,0.0,1,NaN
75.0,92.0,15.17259934,15.17877028744186,0.082,43.0,-0.001
76.0,93.0,19.52290925,18.733103616,0.787,5.0,-0.015
77.0,94.0,34.57535028,27.983787046000003,0.049,35.0,0.001
78.0,95.0,21.59527443,22.259954745555557,-0.097,18.0,-0.014
79.0,98.0,20.19986539,29.830013166666664,-0.144,3.0,0.187
80.0,38.0,10.83546958,12.376433950000001,-0.335,19.0,-0.001
81.0,63.0,12.07213262,14.523357874666665,0.045,15.0,0.043
82.0,63.0,13.38328432,12.080973515,0.133,14.0,-0.008
83,91,14.54852591,14.54852591,0.0,1,NaN
84.0,91.0,15.71588567,32.170482922000005,0.839,5.0,0.152
85.0,3.0,11.3924836,11.35026383,0.703,2.0,-0.002
86,31,13.52762097,13.52762097,0.0,1,NaN
87.0,31.0,11.80325159,21.673145669999997,-0.115,3.0,0.181
88.0,82.0,22.17780231,21.549087497692305,0.009,13.0,-0.012
89.0,82.0,22.87644772,31.870182139473687,-0.325,19.0,0.021
90.0,21.0,14.60860101,16.442199507142856,-0.054,14.0,0.015
91.0,21.0,14.38700184,26.341129225357143,0.059,28.0,0.023
92.0,27.0,21.31832531,21.008725844999997,-0.131,14.0,0.002
93.0,104.0,16.80950633,18.520960169999995,0.097,7.0,-0.017
94,107,10.78354353,10.78354353,0.0,1,NaN
95.0,109.0,13.26893428,14.060076846666666,-0.129,21.0,0.001
96.0,111.0,10.85805674,12.727602262857143,0.235,7.0,-0.002
97,67,12.43263336,12.43263336,0.0,1,NaN
98.0,67.0,15.57428352,29.51079684555556,-0.265,9.0,0.057
99.0,98.0,18.98814678,23.251533027368417,-0.065,19.0,0.037
100,98,20.87270748,20.87270748,0.0,1,NaN
101,1,17.82796587,17.82796587,0.0,1,NaN
102.0,1.0,17.12545838,25.49512148625,-0.062,8.0,0.017
103.0,10.0,15.78736838,28.70152620777778,0.3,18.0,0.036
104.0,10.0,17.56422193,14.684422835000001,0.258,12.0,-0.024
105,24,11.38928875,11.38928875,0.0,1,NaN
106.0,24.0,18.92701704,27.81253600647059,0.063,17.0,0.009
107,37,14.0000139,14.0000139,0.0,1,NaN
108.0,37.0,16.6014079,32.66035043833333,-0.431,6.0,0.095
109.0,3.0,11.60034278,11.663651827777777,-0.155,9.0,-0.01
110.0,15.0,18.73654536,16.759753875,-0.307,2.0,-0.079
111.0,15.0,13.34089577,29.516471196666668,-0.722,6.0,0.119
112.0,103.0,13.72202087,15.674587517272727,-0.565,11.0,0.004
113.0,31.0,13.84506984,20.213311985,1.09,2.0,0.217
114,31,10.92052389,10.92052389,0.0,1,NaN
115,107,12.21526524,12.21526524,0.0,1,NaN
116.0,113.0,18.14844491,16.50632820181818,-0.209,11.0,0.0
117,68,10.24987206,10.24987206,0.0,1,NaN
118.0,81.0,22.44246115,19.660280567647057,-0.524,17.0,-0.004
119.0,34.0,14.47760964,20.539753689999998,1.377,4.0,0.162
120.0,34.0,17.72101583,18.366554373333333,0.549,3.0,0.002
121.0,64.0,13.50657386,16.538728064210524,-0.12,19.0,0.016
122.0,64.0,14.35856532,20.624411024583335,0.028,24.0,0.027
123.0,113.0,15.73020252,16.342116531000002,-0.187,10.0,0.01
124.0,83.0,28.74620582,37.621684725,2.677,2.0,0.16
125,83,17.98878619,17.98878619,0.0,1,NaN
126.0,91.0,31.05854592,33.55421816,0.119,10.0,0.026
127.0,91.0,19.02635584,16.851648318888888,-0.057,9.0,-0.014
128,31,11.71045466,11.71045466,0.0,1,NaN
129.0,31.0,13.93832488,20.269046445,-0.947,2.0,0.215
130.0,107.0,13.02437107,11.32017255,0.16,3.0,-0.042
131,68,10.20081333,10.20081333,0.0,1,NaN
132,74,14.16440555,14.16440555,0.0,1,NaN
133.0,74.0,19.02763165,17.670058895333337,0.032,30.0,-0.013
134,83,12.65758494,12.65758494,0.0,1,NaN
135,83,35.02748186,35.02748186,0.0,1,NaN
136.0,31.0,13.72364187,12.895000593333334,-0.573,3.0,-0.026
137.0,31.0,10.8201411,20.74896554625,-0.742,8.0,0.073
138.0,56.0,32.06417547,34.867381997500004,0.207,4.0,0.035
139,56,11.95203734,11.95203734,0.0,1,NaN
140.0,83.0,33.66122174,31.870257225000003,-0.85,2.0,-0.038
141.0,83.0,12.27983762,13.363708212727271,-0.361,11.0,-0.006
142.0,117.0,11.10052175,11.020919083333334,-0.288,9.0,0.002
143.0,34.0,14.45418752,19.159088256470593,-0.014,34.0,0.011
144.0,120.0,15.92766333,15.874109800625,0.046,16.0,-0.014
145.0,34.0,16.30374056,16.165585760588236,0.176,17.0,-0.015
146.0,37.0,14.04168669,14.228721174375,-0.088,16.0,-0.01
147.0,37.0,14.35190457,14.929406093846154,-0.4,13.0,-0.002
148.0,124.0,11.30653529,11.54713144,-0.318,4.0,-0.02
149.0,79.0,23.81873172,19.54886932758064,-0.09,62.0,0.002
150.0,79.0,11.82582847,10.982136435,-0.248,2.0,-0.051
151,15,14.04124141,14.04124141,0.0,1,NaN
152.0,15.0,23.93673532,32.65174545,-2.102,2.0,0.182
153.0,107.0,10.45314797,10.42756679,-0.253,2.0,-0.002
154,121,10.1122082,10.1122082,0.0,1,NaN
155.0,59.0,20.82789159,22.697629994347825,0.084,23.0,0.009
156.0,59.0,14.76013745,13.375831853333336,-0.147,6.0,-0.022
157.0,111.0,11.12878654,11.27987194,-0.295,2.0,0.009
