lable,NumberOfDivision
2.0,20.0
3.0,NaN
4.0,13.0
6.0,NaN
7.0,4.0
8.0,5.0
11.0,3.0
12.0,10.0
13.0,20.0
14.0,21.0
17.0,NaN
18.0,5.0
19.0,8.0
20.0,6.0
21.0,24.0
22.0,6.0
23.0,6.0
26.0,10.0
27.0,16.0
28.0,14.0
30.0,10.0
32.0,NaN
33.0,8.0
35.0,NaN
36.0,NaN
37.0,10.0
38.0,14.0
39.0,11.0
40.0,5.0
42.0,10.0
43.0,6.0
44.0,6.0
45.0,20.0
48.0,20.0
50.0,28.0
51.0,14.0
52.0,5.0
53.0,NaN
54.0,10.0
56.0,NaN
57.0,11.0
58.0,26.0
59.0,20.0
60.0,21.0
61.0,11.0
62.0,13.0
63.0,NaN
67.0,14.0
69.0,8.0
76.0,3.0
79.0,6.0
81.0,4.0
83.0,10.0
84.0,8.0
85.0,2.0
86.0,4.0
87.0,4.0
91.0,4.0
93.0,9.0
94.0,NaN
95.0,5.0
96.0,5.0
98.0,NaN
99.0,NaN
100.0,NaN
101.0,2.0
102.0,7.0
104.0,9.0
105.0,NaN
107.0,6.0
108.0,5.0
109.0,3.0
112.0,NaN
113.0,NaN
115.0,4.0
116.0,2.0
117.0,5.0
118.0,3.0
119.0,NaN
120.0,NaN
121.0,NaN
122.0,NaN
123.0,NaN
125.0,NaN
126.0,3.0
127.0,NaN
129.0,NaN
131.0,NaN
132.0,NaN
133.0,NaN
136.0,NaN
137.0,NaN
140.0,NaN
141.0,NaN
142.0,NaN
143.0,NaN
144.0,NaN
145.0,NaN
146.0,NaN
147.0,3.0
148.0,NaN
149.0,NaN
150.0,NaN
152.0,NaN
153.0,NaN
157.0,NaN
159.0,NaN
160.0,NaN
161.0,NaN
162.0,NaN
164.0,NaN
166.0,NaN
167.0,NaN
168.0,NaN
169.0,NaN
170.0,NaN
171.0,NaN
172.0,NaN
