CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,2.0,18.67058599628874,24.399407414212675,0.054,2.0,0.008
2.0,3.0,26.698250758874376,27.35357876015631,0.066,6.0,0.0
3,6.0,26.217297949737866,NaN,NaN,1,NaN
4.0,7.0,30.78301597637151,30.766068348259047,0.086,4.0,-0.0
5.0,8.0,22.81078688244573,28.739327989389533,0.175,5.0,0.002
6.0,10.0,22.001273311246653,21.68582727425217,0.096,2.0,-0.0
7.0,11.0,39.88430709322952,37.81766353654121,0.015,3.0,0.002
8,12.0,35.5099206394054,NaN,NaN,1,NaN
9,13.0,34.27393447994727,NaN,NaN,1,NaN
10,14.0,34.6699464679761,NaN,NaN,1,NaN
11.0,15.0,20.69387161011659,27.953636141984497,-0.095,2.0,0.009
12.0,17.0,20.96175058041769,20.763380079886403,0.018,6.0,0.001
13.0,19.0,19.458746230677185,24.255613394081642,0.139,2.0,0.007
14.0,20.0,22.58965547015986,32.152266815449906,0.075,3.0,0.007
15.0,21.0,26.04832201684616,33.67916051565984,0.024,3.0,0.003
16,23.0,18.63143912066894,NaN,NaN,1,NaN
17.0,25.0,22.97855596764134,30.02388364092341,-0.05,2.0,0.008
18,26.0,39.37324831334129,NaN,NaN,1,NaN
19.0,27.0,40.49741502753387,64.68614120887501,0.044,3.0,0.01
20.0,28.0,29.679934712831923,49.73089704876335,0.132,4.0,0.008
21,30.0,52.43204022341805,NaN,NaN,1,NaN
22.0,32.0,27.08194594186804,39.47558849694206,-0.036,2.0,0.011
23,33.0,19.91272733911624,NaN,NaN,1,NaN
24.0,37.0,34.19023114032462,30.257296742498873,0.025,5.0,-0.0
25,38.0,35.35381745494522,NaN,NaN,1,NaN
26,39.0,36.79844761578904,NaN,NaN,1,NaN
27,40.0,47.42720024689884,NaN,NaN,1,NaN
28.0,42.0,33.275250287002045,37.62411364907746,0.123,2.0,0.004
29.0,43.0,20.476672765506887,25.88796193067423,-0.057,4.0,0.002
30.0,44.0,25.035946710115837,30.594559990915062,0.023,2.0,0.006
31.0,45.0,34.59752985554553,35.40136952243441,0.018,2.0,0.001
32.0,48.0,19.85378850450891,23.31588443698838,-0.004,2.0,0.005
33.0,49.0,44.08885784641766,36.81701257890808,0.083,3.0,-0.001
34,50.0,34.163972853951584,NaN,NaN,1,NaN
35.0,51.0,21.055654898615156,27.195580576125984,-0.025,2.0,0.008
36.0,52.0,19.953598364317475,46.945426084199276,0.025,4.0,0.012
37.0,53.0,24.41822224466916,37.892972044654485,0.041,4.0,0.007
38.0,54.0,26.272331961365712,36.26647312416732,0.034,5.0,0.004
39,56.0,29.581564598420982,NaN,NaN,1,NaN
40.0,57.0,27.437594475507364,32.21675385578771,-0.142,2.0,0.005
41.0,58.0,25.8154319784673,31.18878551613639,-0.08,2.0,0.006
42.0,59.0,24.628775958982764,30.927187514071523,0.139,2.0,0.007
43,60.0,24.3143033437812,NaN,NaN,1,NaN
44.0,61.0,25.65598524782833,39.89564160885283,-0.079,3.0,0.009
45,62.0,44.89809666559056,NaN,NaN,1,NaN
46,63.0,23.51923683474725,NaN,NaN,1,NaN
47.0,3.0,28.18616923809733,27.484644360412698,0.041,5.0,-0.0
48,64.0,45.0846787174048,NaN,NaN,1,NaN
49,6.0,5.327693424801688,NaN,NaN,1,NaN
50.0,6.0,41.62287909987687,34.61556518549442,-0.107,2.0,-0.007
51.0,7.0,30.55776917160232,30.76041913888822,0.051,3.0,-0.0
52,10.0,21.37038123725769,NaN,NaN,1,NaN
53.0,12.0,22.74642125447107,29.215574289253972,0.081,2.0,0.008
54.0,65.0,28.617281720117965,38.19329363025723,-0.096,2.0,0.009
55.0,12.0,25.594697531307386,33.00545620157785,-0.041,2.0,0.008
56.0,13.0,24.247134636418203,32.77736947247121,0.181,2.0,0.009
57.0,13.0,25.68367408207409,40.18822647345907,-0.154,4.0,0.009
58.0,14.0,54.34241553178504,50.10828286944892,0.312,3.0,-0.001
59,14.0,34.305281467291955,NaN,NaN,1,NaN
60,23.0,30.100422199739697,NaN,NaN,1,NaN
61,23.0,26.982973579739195,NaN,NaN,1,NaN
62.0,66.0,20.27252375850725,25.921566979821662,-0.095,2.0,0.007
63.0,26.0,27.64190105357065,22.844659198544385,-0.044,5.0,-0.004
64,26.0,31.425282920061584,NaN,NaN,1,NaN
65.0,33.0,25.83055219566497,33.55353681141361,0.219,2.0,0.008
66,30.0,31.28294170343016,NaN,NaN,1,NaN
67.0,33.0,27.652359534787912,36.82493720950153,0.006,2.0,0.008
68.0,30.0,35.614131007244566,41.54365145351743,-0.122,2.0,0.005
69.0,37.0,33.661523794033364,29.274063143042437,0.004,4.0,-0.0
70,38.0,25.37300688504644,NaN,NaN,1,NaN
71.0,38.0,24.14678768908368,33.47071519685835,-0.078,2.0,0.01
72,39.0,25.925852536663825,NaN,NaN,1,NaN
73,39.0,25.93100062979041,NaN,NaN,1,NaN
74.0,40.0,32.81945697395449,30.240759089239937,0.04,2.0,-0.003
75.0,68.0,6.163345376791007,25.956315967494188,0.047,3.0,0.023
76.0,40.0,36.08423740312891,40.44836348158713,-0.067,3.0,0.005
77.0,69.0,26.70320831044602,37.99875005649797,0.072,2.0,0.01
78.0,70.0,22.401080887570654,30.019713998436067,0.085,2.0,0.009
79,50.0,27.1667688822898,NaN,NaN,1,NaN
80.0,50.0,24.18124895206364,32.12238534136368,-0.02,2.0,0.008
81,56.0,48.93952410262331,NaN,NaN,1,NaN
82.0,60.0,18.81759129258348,39.60688244961409,0.079,3.0,0.014
83,56.0,17.6113907013311,NaN,NaN,1,NaN
84,62.0,29.337333724149847,NaN,NaN,1,NaN
85.0,62.0,30.197377031962336,38.20377771900965,0.099,2.0,0.007
86.0,63.0,17.98474248553815,23.460852492594384,-0.076,2.0,0.008
87,60.0,21.621742480981915,NaN,NaN,1,NaN
88.0,63.0,17.286814015863783,17.39410197153315,0.019,2.0,0.0
89.0,2.0,26.371228890924517,24.5257885213566,0.0,2.0,-0.003
90.0,2.0,26.605468021531596,25.027255408692877,-0.026,4.0,-0.002
91,2.0,30.056805122276742,NaN,NaN,1,NaN
92.0,3.0,27.15355311535088,27.30926314099154,0.029,4.0,0.0
93,71.0,25.89769413226659,NaN,NaN,1,NaN
94.0,64.0,66.53888577754206,77.49578065616538,-0.005,2.0,0.005
95,64.0,36.87676242731103,NaN,NaN,1,NaN
96.0,7.0,31.45785510798472,30.86174412253117,0.031,2.0,-0.001
97.0,10.0,22.337462668708543,34.33107553567884,-0.139,3.0,0.006
98.0,10.0,22.62090026112316,29.168957657445805,0.03,2.0,0.008
99.0,73.0,32.539949310839475,31.70947540373148,0.072,2.0,-0.001
100,15.0,42.582698267541474,NaN,NaN,1,NaN
101,74.0,23.65618493335608,NaN,NaN,1,NaN
102.0,15.0,26.494374737409945,25.78300224436721,-0.124,2.0,-0.001
103.0,15.0,26.55675065764269,40.34936390851377,0.148,2.0,0.012
104.0,14.0,20.089546980067077,35.867329948781816,-0.013,2.0,0.016
105,19.0,50.2668606965063,NaN,NaN,1,NaN
106.0,19.0,36.94862694489796,37.16010330716843,0.019,2.0,0.0
107,14.0,8.70507058433865,NaN,NaN,1,NaN
108,23.0,52.18125053759249,NaN,NaN,1,NaN
109.0,23.0,18.73885347955531,23.253135182519785,0.075,3.0,-0.002
110,25.0,35.65486630200689,NaN,NaN,1,NaN
111.0,25.0,29.336826235270618,28.394347684640742,0.012,2.0,-0.001
112.0,23.0,21.735841814666045,37.39830491958646,-0.051,3.0,0.01
113.0,26.0,23.087149792063567,24.12369757886281,0.046,4.0,0.001
114,25.0,30.201052346489902,NaN,NaN,1,NaN
115.0,75.0,36.47534888496356,31.609068904086367,-0.079,3.0,-0.003
116,26.0,63.16249424620079,NaN,NaN,1,NaN
117,32.0,35.429260824751694,NaN,NaN,1,NaN
118.0,32.0,51.63595789353227,56.543948332516464,-0.023,2.0,0.003
119.0,76.0,19.490362383907392,19.49947892453033,-0.027,3.0,0.001
120.0,77.0,54.4808719228866,47.378915113489235,-0.185,2.0,-0.005
121.0,78.0,16.547254535434337,20.852839517788475,0.073,4.0,0.006
122.0,37.0,24.865574469447527,27.811576259378793,-0.18,3.0,0.003
123.0,79.0,34.87748177377105,38.83159837460164,0.002,3.0,0.005
124.0,80.0,34.00911690199746,33.272773677083194,0.014,2.0,-0.001
125,81.0,43.62255441732885,NaN,NaN,1,NaN
126.0,39.0,48.41411756268224,46.78783063474408,-0.121,4.0,0.001
127.0,39.0,23.465840628247363,34.241948019970096,-0.244,2.0,0.011
128.0,42.0,25.89215747364902,32.831306391471244,0.03,2.0,0.007
129.0,42.0,26.30544062976045,32.257764902521714,-0.056,2.0,0.006
130.0,45.0,28.36480970995924,25.373959612919993,-0.017,3.0,-0.002
131.0,44.0,27.366112694013797,38.28650531116971,-0.029,2.0,0.01
132.0,44.0,27.653687057150755,37.00625982145341,-0.081,2.0,0.009
133,45.0,23.83943873977091,NaN,NaN,1,NaN
134.0,48.0,15.534535494154008,24.398398791296085,0.05,2.0,0.013
135,48.0,35.458184927458255,NaN,NaN,1,NaN
136,50.0,41.15156529000595,NaN,NaN,1,NaN
137,50.0,39.869077264131775,NaN,NaN,1,NaN
138,82.0,45.83924666766759,NaN,NaN,1,NaN
139.0,45.0,31.14036312610426,23.386274240165147,0.022,4.0,-0.005
140.0,51.0,25.80616370947033,38.00825664729539,0.03,2.0,0.011
141,51.0,28.21741485292787,NaN,NaN,1,NaN
142.0,57.0,31.722291752815472,43.97588241646247,-0.104,2.0,0.01
143,56.0,41.449957664576935,NaN,NaN,1,NaN
144.0,56.0,41.64995433705391,37.203827961687615,-0.04,4.0,-0.001
145.0,83.0,29.612136924569587,43.04829154999048,0.04,2.0,0.011
146.0,58.0,25.454940964283303,49.30461401090774,-0.299,2.0,0.018
147,57.0,31.228331507865768,NaN,NaN,1,NaN
148,60.0,39.02063218618683,NaN,NaN,1,NaN
149.0,84.0,32.36497928018675,30.73590169771195,0.125,2.0,-0.002
150.0,59.0,31.679654674914502,38.033629341515535,-0.02,3.0,0.006
151.0,58.0,30.793875095927007,21.48951478783235,-0.112,4.0,-0.015
152.0,60.0,34.196984446854145,30.55377320006916,0.03,3.0,-0.003
153,59.0,29.39312404547656,NaN,NaN,1,NaN
154,60.0,37.246091629794776,NaN,NaN,1,NaN
155,63.0,17.501389927202517,NaN,NaN,1,NaN
156.0,87.0,11.1237707938317,30.653314450605734,0.129,3.0,0.018
157,90.0,23.95342629963801,NaN,NaN,1,NaN
