lable,NumberOfDivision
2.0,5.0
3.0,NaN
6.0,2.0
7.0,2.0
8.0,NaN
10.0,4.0
11.0,4.0
12.0,5.0
13.0,3.0
14.0,6.0
15.0,9.0
17.0,NaN
19.0,8.0
20.0,5.0
21.0,NaN
23.0,4.0
25.0,12.0
26.0,6.0
27.0,5.0
28.0,NaN
30.0,4.0
32.0,5.0
33.0,7.0
37.0,NaN
38.0,6.0
39.0,2.0
40.0,6.0
42.0,4.0
43.0,2.0
44.0,5.0
45.0,4.0
48.0,5.0
49.0,3.0
50.0,8.0
51.0,6.0
52.0,NaN
53.0,3.0
54.0,NaN
56.0,3.0
57.0,4.0
58.0,4.0
59.0,4.0
60.0,12.0
61.0,5.0
62.0,5.0
63.0,2.0
64.0,7.0
65.0,4.0
66.0,4.0
68.0,2.0
69.0,5.0
70.0,NaN
71.0,NaN
73.0,NaN
74.0,3.0
75.0,NaN
76.0,NaN
77.0,2.0
78.0,NaN
79.0,NaN
80.0,3.0
81.0,NaN
82.0,2.0
83.0,2.0
84.0,2.0
87.0,NaN
90.0,NaN
91.0,3.0
92.0,NaN
93.0,NaN
95.0,2.0
96.0,NaN
97.0,3.0
98.0,NaN
100.0,NaN
101.0,2.0
102.0,NaN
103.0,NaN
104.0,NaN
105.0,2.0
106.0,NaN
