CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,2.0,14.716406348711368,19.016606785807248,-0.043,45.0,0.007
2.0,3.0,18.119146241658317,19.292496274776187,-0.192,33.0,0.003
3.0,4.0,19.501994900974186,18.30215383494956,-0.073,135.0,-0.0
4.0,5.0,16.953211248194666,19.551633788497096,-0.099,26.0,0.008
5.0,6.0,22.402035823965523,22.177167353218024,-0.234,2.0,-0.007
6.0,7.0,16.315953304986095,20.381152144837664,-0.087,34.0,0.009
7.0,8.0,24.936908240328314,25.215047519575826,-0.142,20.0,0.007
8.0,9.0,15.802142235393802,18.30157530968551,-0.098,20.0,0.007
9.0,10.0,17.608364751814616,20.485162733969236,0.527,7.0,0.065
10.0,11.0,17.005832294694365,16.766417679130118,-0.186,6.0,-0.001
11.0,12.0,19.69435429039361,24.142254816734688,0.166,30.0,0.009
12.0,13.0,19.223313389029183,22.916484981919414,0.158,35.0,0.007
13.0,14.0,24.745589247540373,25.662004666710693,0.073,8.0,0.006
14.0,15.0,17.967931007463513,18.012076980409898,-0.294,3.0,0.002
15,16.0,31.03479932756386,NaN,NaN,1,NaN
16.0,17.0,22.67516581904608,24.917157115352058,0.261,14.0,0.024
17.0,18.0,17.16489492204587,18.818054261317325,0.162,12.0,0.01
18.0,19.0,13.332774280090751,13.504640006841772,0.002,81.0,0.0
19.0,20.0,16.25321276180082,16.5013638873791,0.003,81.0,0.0
20.0,21.0,18.17156907258376,19.796632931086663,0.003,103.0,0.0
21.0,22.0,18.347676388716984,19.622691007400697,0.306,12.0,0.01
22.0,23.0,16.40350199246275,25.150989440280313,0.174,54.0,0.014
23.0,24.0,18.83646897111231,24.801017101294896,0.109,49.0,0.009
24.0,25.0,18.4360048803634,21.41318766867699,0.076,28.0,0.009
25.0,26.0,18.698106660452822,22.702173028586756,-0.015,30.0,0.009
26.0,27.0,20.423393124253376,22.22089716873633,0.454,2.0,0.054
27.0,28.0,22.26554445888233,21.74564073653099,0.111,4.0,0.0
28.0,29.0,17.490540032861194,22.86901642557531,0.153,52.0,0.008
29.0,30.0,18.848518927512245,24.475715807840185,0.387,25.0,0.013
30.0,31.0,18.49554249776372,19.303104666805993,0.423,19.0,-0.003
31.0,32.0,16.628972844790255,21.831398675602877,0.14,53.0,0.008
32.0,33.0,20.02346338042443,22.95622859916813,-0.033,22.0,0.009
33,34.0,31.50670556522209,NaN,NaN,1,NaN
34.0,35.0,19.917039226468557,21.009797956825096,0.29,11.0,0.015
35.0,36.0,18.39695771147637,18.460891400425155,0.458,30.0,0.015
36.0,37.0,13.4334030843585,13.941329693249253,0.023,9.0,0.006
37.0,38.0,15.625978451267692,16.545632750318614,-0.753,11.0,-0.006
38.0,39.0,16.629898306502533,16.908598386343417,0.266,29.0,0.001
39.0,40.0,15.381593953177822,21.785355321133316,0.046,64.0,0.008
40.0,41.0,12.969111333996004,20.869284420594866,0.062,58.0,0.011
41.0,42.0,13.84840549357001,14.293128099144143,0.038,9.0,0.004
42.0,43.0,18.07757193682614,21.24643629487119,0.194,33.0,0.007
43.0,44.0,15.91709604155106,21.922258488330836,0.218,63.0,0.007
44.0,45.0,13.289561904335365,15.760071565690774,0.287,10.0,0.056
45.0,46.0,13.697382270788276,23.07260911529939,0.056,74.0,0.009
46.0,47.0,39.30545571220932,38.402387295578116,0.114,2.0,-0.016
