lable,NumberOfDivision
2.0,NaN
3.0,32.0
4.0,NaN
5.0,6.0
6.0,20.0
7.0,15.0
8.0,NaN
9.0,NaN
10.0,22.0
11.0,NaN
12.0,72.0
13.0,15.0
14.0,24.0
15.0,NaN
16.0,NaN
17.0,105.0
18.0,NaN
19.0,NaN
20.0,NaN
21.0,NaN
22.0,NaN
23.0,2.0
24.0,NaN
25.0,NaN
26.0,134.0
27.0,3.0
28.0,51.0
29.0,29.0
30.0,52.0
31.0,4.0
32.0,14.0
33.0,45.0
34.0,50.0
35.0,NaN
36.0,14.0
37.0,NaN
38.0,NaN
39.0,NaN
40.0,NaN
41.0,69.0
42.0,NaN
43.0,97.0
44.0,17.0
45.0,44.0
46.0,NaN
47.0,91.0
48.0,6.0
49.0,61.0
50.0,70.0
51.0,31.0
52.0,11.0
53.0,37.0
54.0,3.0
55.0,NaN
56.0,NaN
57.0,35.0
58.0,45.0
59.0,3.0
60.0,NaN
61.0,47.0
63.0,NaN
64.0,13.0
65.0,43.0
66.0,NaN
67.0,NaN
68.0,NaN
70.0,60.0
71.0,NaN
72.0,2.0
75.0,35.0
76.0,NaN
77.0,NaN
78.0,3.0
79.0,4.0
82.0,4.0
83.0,32.0
84.0,NaN
85.0,4.0
86.0,NaN
87.0,11.0
90.0,NaN
91.0,8.0
92.0,6.0
93.0,20.0
94.0,33.0
95.0,46.0
101.0,11.0
102.0,NaN
103.0,NaN
104.0,NaN
105.0,45.0
106.0,12.0
108.0,NaN
109.0,11.0
111.0,NaN
112.0,NaN
115.0,NaN
119.0,22.0
121.0,26.0
123.0,28.0
125.0,NaN
133.0,NaN
134.0,2.0
135.0,NaN
136.0,36.0
139.0,NaN
141.0,2.0
142.0,10.0
144.0,35.0
145.0,2.0
146.0,12.0
148.0,NaN
149.0,NaN
150.0,2.0
151.0,5.0
152.0,NaN
153.0,NaN
154.0,NaN
156.0,NaN
161.0,48.0
162.0,NaN
165.0,NaN
166.0,NaN
167.0,NaN
168.0,NaN
169.0,NaN
171.0,NaN
172.0,NaN
176.0,NaN
177.0,NaN
178.0,NaN
179.0,NaN
180.0,NaN
181.0,NaN
184.0,NaN
185.0,2.0
186.0,NaN
187.0,NaN
190.0,NaN
192.0,NaN
194.0,NaN
197.0,7.0
198.0,NaN
199.0,33.0
200.0,NaN
204.0,NaN
207.0,NaN
208.0,NaN
209.0,9.0
211.0,6.0
212.0,NaN
213.0,NaN
214.0,6.0
216.0,NaN
219.0,14.0
220.0,NaN
222.0,NaN
225.0,NaN
227.0,9.0
228.0,8.0
229.0,NaN
230.0,NaN
231.0,NaN
233.0,NaN
234.0,7.0
235.0,NaN
236.0,2.0
237.0,NaN
238.0,11.0
240.0,NaN
242.0,3.0
245.0,NaN
246.0,13.0
249.0,NaN
252.0,NaN
254.0,10.0
255.0,NaN
257.0,3.0
258.0,NaN
259.0,NaN
260.0,NaN
261.0,NaN
262.0,2.0
263.0,17.0
265.0,NaN
266.0,NaN
267.0,14.0
268.0,NaN
269.0,NaN
272.0,NaN
273.0,NaN
274.0,NaN
275.0,NaN
276.0,NaN
277.0,NaN
279.0,NaN
280.0,3.0
281.0,NaN
282.0,NaN
283.0,NaN
284.0,NaN
285.0,2.0
286.0,NaN
290.0,NaN
291.0,NaN
295.0,4.0
302.0,NaN
303.0,5.0
304.0,NaN
305.0,NaN
306.0,NaN
310.0,NaN
313.0,NaN
319.0,NaN
320.0,9.0
322.0,NaN
324.0,2.0
326.0,21.0
327.0,NaN
328.0,NaN
330.0,NaN
331.0,NaN
