Channel_img,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06RescaleIntensity,ExecutionTime_07CorrectIlluminationCalculate,ExecutionTime_08CorrectIlluminationApply,ExecutionTime_09EnhanceEdges,ExecutionTime_10Watershed,ExecutionTime_11IdentifySecondaryObjects,ExecutionTime_12TrackObjects,ExecutionTime_13MeasureObjectSizeShape,ExecutionTime_14MeasureObjectNeighbors,ExecutionTime_15SaveImages,FileName_img,Frame_img,Group_Index,Group_Number,Height_img,ImageNumber,ImageSet_ImageSet,MD5Digest_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05ColorToGray,ModuleError_06RescaleIntensity,ModuleError_07CorrectIlluminationCalculate,ModuleError_08CorrectIlluminationApply,ModuleError_09EnhanceEdges,ModuleError_10Watershed,ModuleError_11IdentifySecondaryObjects,ModuleError_12TrackObjects,ModuleError_13MeasureObjectSizeShape,ModuleError_14MeasureObjectNeighbors,ModuleError_15SaveImages,PathName_img,ProcessingStatus,Scaling_img,Series_img,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_img,Width_img
-2,1.0,1.0,1.0,0.0,0.0,1.265625,0.0,0.140625,0.09375,0.046875,0.015625,0.015625,0.15625,0.265625,0.34375,0.078125,0.03125,0.046875,TestSchnitz-01-p-001.tif,0,1,1,538,1,b'eLtreVRJG03JQzklGxjqlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAI7AJdM=',643c17527d53d5424c2b2d48426dd2ae,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-001.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.07198072969913483,0.07198073,-12.008067517014958,0.9661990530670598,0,0,1,0,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-001.tif,472
-2,4.0,4.0,4.0,0.0,0.0,0.515625,0.0,0.09375,0.078125,0.0625,0.0,0.03125,0.25,0.28125,0.25,0.0625,0.125,0.03125,TestSchnitz-01-p-002.tif,0,2,1,538,2,b'eLtreVRJG03JQzklGxjplWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJB4JdQ=',f9b6e3a51986da5faa99172fd4c5a302,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-002.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.06436607241630554,0.06436607,-12.068728610876983,0.966039291874469,1,0,4,0,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-002.tif,472
-2,3.0,3.0,3.0,0.0,0.0,0.265625,0.0,0.0625,0.0625,0.0625,0.0,0.03125,0.28125,0.203125,0.1875,0.078125,0.109375,0.03125,TestSchnitz-01-p-003.tif,0,3,1,538,3,b'eLtreVRJG03JQzklGxjrlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJIwJdU=',f35162a3046a88c2f46b571d6529ab68,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-003.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.07239070534706116,0.072390705,-12.003240159586682,0.9637804067911415,0,2,0,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-003.tif,472
-2,9.0,9.0,9.0,0.0,0.0,0.25,0.0,0.109375,0.125,0.09375,0.03125,0.03125,0.28125,0.21875,0.21875,0.0625,0.125,0.03125,TestSchnitz-01-p-004.tif,0,4,1,538,4,b'eLtreVRJG03JQzklG5jolWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJPoJdY=',f86bcd77a012c1af020b4af5b37dd93a,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-004.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.06317505240440369,0.06317505,-12.166720376837539,0.9714769986606292,0,0,0,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-004.tif,472
-2,2.0,2.0,2.0,0.0,0.0,0.265625,0.0,0.03125,0.0625,0.09375,0.03125,0.03125,0.25,0.21875,0.171875,0.046875,0.09375,0.03125,TestSchnitz-01-p-005.tif,0,5,1,538,5,b'eLtreVRJG03JQzklG5jqlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJWgJdc=',e91c7585c6fbaabb08829d363bc73c98,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-005.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.056646138429641724,0.05664614,-12.195531399059437,0.9672684035188316,0,2,0,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-005.tif,472
-2,9.0,9.0,9.0,0.0,0.0,0.203125,0.0,0.015625,0.03125,0.046875,0.015625,0.015625,0.125,0.21875,0.203125,0.0625,0.140625,0.03125,TestSchnitz-01-p-006.tif,0,6,1,538,6,b'eLtreVRJG03JQzklG5jplWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJdYJdg=',6f74c0755ceb67d30298438c1fe77104,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-006.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.0468410924077034,0.046841092,-12.2175020007855,0.9736551381248557,0,0,0,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-006.tif,472
-2,12.0,12.0,12.0,0.0,0.0,0.203125,0.0,0.015625,0.03125,0.03125,0.0,0.015625,0.140625,0.21875,0.1875,0.078125,0.125,0.03125,TestSchnitz-01-p-007.tif,0,7,1,538,7,b'eLtreVRJG03JQzklG5jrlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJkQJdk=',9377253d32c2ceb6b84a6dd01eeb5091,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-007.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.038753531873226166,0.038753532,-12.276264783946639,0.9577958507802629,0,1,1,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-007.tif,472
-2,35.0,35.0,35.0,0.0,0.0,0.25,0.0,0.03125,0.03125,0.046875,0.0,0.03125,0.140625,0.21875,0.21875,0.140625,0.109375,0.03125,TestSchnitz-01-p-008.tif,0,8,1,538,8,b'eLtreVRJG03JQzklG1jolWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJrIJdo=',6d5fe57dfcc946e89e49e63155f8cab3,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-008.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.033642083406448364,0.033642083,-12.418326756176924,0.9698760350326994,1,2,11,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-008.tif,472
-2,68.0,68.0,68.0,0.0,0.0,0.171875,0.0,0.015625,0.03125,0.046875,0.0,0.03125,0.140625,0.21875,0.265625,0.15625,0.125,0.03125,TestSchnitz-01-p-009.tif,0,9,1,538,9,b'eLtreVRJG03JQzklG1jqlWSmgWs7mN+BgQvyE2Y1CmKAPW9ng6iKglLTqFQbgtwAthlEgyMPyAB7BWclSJNaWQEUc8UFicmp5JoGDCDkKh1qto0+sqANpKLXNbLRh1b5+qi+AQrg8DUoa9gBAJyAJds=',8d8d5928ce4e52f07f220c8d1e2cba6a,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-009.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.029822729527950287,0.02982273,-12.311545334203121,0.9705173456304939,30,0,55,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-009.tif,472
-2,54.0,54.0,54.0,0.0,0.0,0.1875,0.0,0.03125,0.03125,0.046875,0.0,0.015625,0.140625,0.25,0.25,0.140625,0.140625,0.03125,TestSchnitz-01-p-010.tif,0,10,1,538,10,b'eLtreVRJG03JQzolG+iVZKaBazuY34GBC/ITZjUKYoA9b2eDqIqCUtOoVBuC3AC2GUSDIw/IAHsFZyVIk1pZARRzxQWJyankmgYMIOQqHWq2jT6yoA2kotc1stGHVvn6qL4BCuDwNShr2AEAjsEl0w==',ddc680c229acda27de301e94a8909d7d,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-010.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Schnitzcells sample images set\1. Raw Images\1. raw images,Done,65535,0,0.02785644866526127,0.027856449,-12.311377302438254,0.9693668520845725,65,1,51,1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Schnitzcells%20sample%20images%20set/1.%20Raw%20Images/1.%20raw%20images/TestSchnitz-01-p-010.tif,472
