CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,37.45122514225248,41.298853325386936,-1.695,4.0,0.083
2,2.0,47.16961493557374,47.16961493557374,0.0,1,NaN
3.0,3.0,31.008258299471212,40.55844632712189,2.86,3.0,0.136
4,4.0,42.58771627390798,42.58771627390798,0.0,1,NaN
5.0,6.0,39.87843703756968,48.93429013846013,3.449,4.0,0.101
6.0,7.0,19.60132038938082,26.791940709668516,-0.126,2.0,0.275
7.0,8.0,46.33753353007555,64.53460695456572,3.133,6.0,0.107
8,9.0,41.25261625010856,41.25261625010856,0.0,1,NaN
9.0,2.0,30.79789036165452,32.84611273611335,-2.011,3.0,0.013
10.0,2.0,22.923443201254173,34.116876620554656,3.063,6.0,0.109
11,4.0,13.177568919304871,13.177568919304871,0.0,1,NaN
12.0,4.0,33.06956139188562,54.06868867963347,0.858,4.0,0.187
13,9.0,13.863150486842017,13.863150486842017,0.0,1,NaN
14.0,9.0,45.40780613762584,57.86650097760236,-0.942,5.0,0.094
15,7.0,31.210646870119746,31.210646870119746,0.0,1,NaN
16,7.0,21.53792554668087,21.53792554668087,0.0,1,NaN
17.0,3.0,45.42691744262972,43.66591130553548,0.544,2.0,-0.04
18,7.0,19.048975068253014,19.048975068253014,0.0,1,NaN
19.0,7.0,39.64956591311351,38.1190666463822,1.855,4.0,0.012
20,3.0,3.582070095417669,3.582070095417669,0.0,1,NaN
21,1.0,27.508585768975028,27.508585768975028,0.0,1,NaN
22.0,2.0,18.921495977589693,18.29474942522107,0.761,3.0,-0.116
23.0,1.0,29.99315142150044,48.651304093654325,-2.051,2.0,0.404
24.0,2.0,22.53378712457091,27.031737953836778,1.495,3.0,0.154
25,10.0,68.52233770140573,68.52233770140573,0.0,1,NaN
26.0,6.0,9.727696587343871,33.133485510061945,-1.582,3.0,0.664
27.0,6.0,33.95864209479774,39.17641364475537,5.342,3.0,0.092
28,10.0,19.47058481783404,19.47058481783404,0.0,1,NaN
29.0,10.0,57.66860200682233,52.19663318676662,-1.043,2.0,-0.105
30,3.0,15.10697611137828,15.10697611137828,0.0,1,NaN
31.0,4.0,36.94533762234393,39.57833558369776,1.422,3.0,0.039
32,3.0,25.883668576212592,25.883668576212592,0.0,1,NaN
33,4.0,36.35021068399474,36.35021068399474,0.0,1,NaN
34,1.0,44.966839993415554,44.966839993415554,0.0,1,NaN
35,10.0,24.848906968753347,24.848906968753347,0.0,1,NaN
36,1.0,31.163467641548376,31.163467641548376,0.0,1,NaN
37,10.0,11.174400928237612,11.174400928237612,0.0,1,NaN
38,9.0,55.82963689894093,55.82963689894093,0.0,1,NaN
39.0,8.0,40.36909670884649,51.814925931122474,2.62,3.0,0.136
40,8.0,49.928562251759736,49.928562251759736,0.0,1,NaN
41,9.0,22.96961072287033,22.96961072287033,0.0,1,NaN
42.0,24.0,62.81454527915637,58.23643812401309,-2.308,4.0,0.003
43.0,26.0,17.67194148700549,37.40610668597612,-0.269,3.0,0.34
44.0,29.0,40.79123861039287,50.24250519094262,1.693,2.0,0.19
45,31.0,36.98453448495346,36.98453448495346,0.0,1,NaN
46.0,32.0,55.74076216244319,55.11975637778276,-1.931,5.0,0.037
47.0,33.0,15.13514512544564,41.984928555827274,-0.722,5.0,0.265
48,35.0,48.0992397866047,48.0992397866047,0.0,1,NaN
49,4.0,14.327284414736468,14.327284414736468,0.0,1,NaN
50,4.0,19.58200348151458,19.58200348151458,0.0,1,NaN
51,39.0,56.851487050250284,56.851487050250284,0.0,1,NaN
52.0,41.0,41.14875421196899,45.98961861574713,-4.113,6.0,0.049
53.0,31.0,27.74236497111965,37.21439150269529,-1.257,4.0,0.115
54.0,31.0,60.74611304157468,74.12251374660568,0.343,4.0,0.097
55.0,42.0,18.417024933523223,24.878595383698055,-2.04,4.0,0.146
56.0,35.0,18.78633748089588,41.79667343287248,3.875,2.0,0.619
57.0,43.0,32.41404878785582,34.108815420976704,-1.475,6.0,0.032
58,35.0,37.93930274930897,37.93930274930897,0.0,1,NaN
59.0,8.0,56.87304802939818,51.929435830545046,1.34,8.0,0.006
60.0,44.0,65.25558960888047,69.39901568027035,-2.387,2.0,0.06
61,8.0,60.36000396770748,60.36000396770748,0.0,1,NaN
62,39.0,14.368322171045277,14.368322171045277,0.0,1,NaN
63.0,39.0,36.6426412270658,58.962620975700275,-2.273,4.0,0.184
64.0,29.0,66.0179118343231,70.58301120903955,-1.881,2.0,0.065
65.0,29.0,19.35735961531973,46.85703936904791,2.545,4.0,0.339
66.0,8.0,53.80260313761542,60.59315836701058,4.21,3.0,0.085
67,8.0,69.22628175308219,69.22628175308219,0.0,1,NaN
68.0,26.0,19.18085803933368,27.60011682597938,-7.282,4.0,0.14
69.0,26.0,31.622888484110305,31.039061816940798,-2.648,6.0,0.01
70.0,35.0,34.41410426754016,41.078382255071396,-3.961,4.0,0.081
71.0,35.0,34.13239888584778,48.95534867223188,-1.18,8.0,0.096
72.0,44.0,36.068793323113,48.76214618211886,1.988,8.0,0.074
73.0,8.0,35.25789066266646,43.56480315869513,-2.003,5.0,0.08
74,44.0,37.272198044450526,37.272198044450526,0.0,1,NaN
75.0,8.0,38.79855488615734,36.91433887167955,-0.124,7.0,-0.156
76.0,24.0,16.884649274715112,26.06939170827951,-4.552,3.0,0.291
77.0,24.0,33.286666831074214,38.40585606759188,-2.07,4.0,0.074
78.0,29.0,35.71680905893434,46.192569842643145,-1.118,7.0,0.071
79.0,29.0,38.98865591324958,52.09777728768046,-0.329,7.0,0.08
80.0,44.0,39.93615327518026,45.0946556505103,4.092,3.0,0.077
81.0,44.0,42.91324188339556,52.660941743837554,2.658,5.0,0.085
82.0,31.0,22.997982461072223,47.9691118597194,1.808,3.0,0.349
83.0,33.0,22.4018036077161,37.31474016572246,-2.112,6.0,0.131
84.0,32.0,31.659008855267373,41.64446106096774,-2.61,6.0,0.091
85,31.0,25.27177623351706,25.27177623351706,0.0,1,NaN
86.0,33.0,40.59212708543847,38.15383852060576,1.432,5.0,0.008
87,42.0,13.96194099662842,13.96194099662842,0.0,1,NaN
88.0,32.0,35.433392248756924,46.1187326877872,0.362,6.0,0.082
