ImageNumber,ObjectNumber,Orientation,lable,divideFlag
1,1,-0.3544741941304964,1.0,False
1,2,3.512348582156156,2.0,True
1,3,4.932814150028721,3.0,False
1,4,0.3666490925887948,4.0,True
1,6,-16.400223882747955,6.0,False
1,7,-8.855927772800765,7.0,False
1,8,-9.523853160164638,8.0,False
1,9,27.021024968198297,9.0,True
2,1,3.435704080745892,2.0,False
2,2,-0.0434532415693753,1.0,False
2,3,1.011300780880635,2.0,False
2,4,5.199711433008559,3.0,False
2,5,11.36496753943472,4.0,False
2,6,-4.240775162594653,7.0,True
2,7,0.1778348302580483,4.0,False
2,8,-12.215040880730337,6.0,False
2,9,-3.629643151283417,9.0,False
2,10,-14.893559940393883,8.0,False
2,11,26.186879700601384,9.0,False
3,1,2.2351533937808505,2.0,False
3,2,-0.2349691624016982,1.0,False
3,3,2.784891122965776,2.0,False
3,4,5.78300955354635,3.0,True
3,5,-14.735009274696305,4.0,False
3,6,-4.423101352252566,7.0,True
3,7,-1.875850426073177,6.0,False
3,8,-9.615467757400644,7.0,False
3,9,-22.91311070570932,8.0,False
3,10,19.41938398342607,9.0,False
4,1,2.277404796713156,1.0,True
4,2,6.264412566628134,2.0,True
4,3,8.616127180768729,2.0,False
4,4,9.013901396280572,3.0,False
4,5,-9.464871855424416,7.0,False
4,6,-19.405314032976005,4.0,False
4,7,-15.046741152426112,7.0,False
4,8,30.47269795046144,3.0,False
4,9,2.6117050516144897,6.0,True
4,10,-29.86188830985961,8.0,False
4,11,20.086611078939463,9.0,False
5,1,-7.6617032387460515,1.0,False
5,2,4.0978712705844,2.0,False
5,3,-5.418452845892369,1.0,False
5,4,-3.375481812430886,2.0,False
5,5,6.873271783630579,2.0,False
5,6,-15.423651551732082,10.0,True
5,7,12.487405495250425,3.0,True
5,8,-25.16448249124004,4.0,True
5,9,5.160541220463296,7.0,False
5,10,23.69512358431408,6.0,False
5,11,14.061683762708856,9.0,False
5,12,-31.66469005081929,8.0,False
5,13,14.05652052623198,6.0,False
6,1,-10.59704269186744,1.0,True
6,2,-5.465104476250441,2.0,False
6,3,-14.028505663313464,2.0,False
6,4,-3.4751026614226888,10.0,True
6,5,15.05294904172513,2.0,False
6,6,-21.420756306913265,10.0,False
6,7,18.15907745277828,3.0,False
6,8,-27.97936055139975,4.0,False
6,9,12.360816646962965,3.0,False
6,10,9.7744974014503,7.0,False
6,11,12.750909943750122,6.0,False
6,12,-23.7178924484004,4.0,False
6,13,-28.357430880313885,8.0,True
6,14,14.925502384746869,9.0,True
6,15,16.842835817423595,6.0,False
7,1,-4.417129990161358,1.0,False
7,2,14.976275154804757,2.0,False
7,3,-1.430176404061193,2.0,False
7,4,-8.84560898401445,10.0,False
7,5,7.355059656620283,1.0,False
7,6,-10.419984184701402,10.0,False
7,7,-0.5740367103940904,2.0,False
7,8,-34.17581281499401,10.0,False
7,9,19.246045219666417,6.0,False
7,10,-0.7171287804696509,4.0,False
7,11,18.107789915011,7.0,False
7,13,18.527264931485195,9.0,False
7,14,-29.29656933981752,8.0,False
7,15,11.157558761136311,6.0,False
7,16,-36.109835888213055,8.0,True
7,17,11.960233348779893,9.0,False
8,3,-12.851204784472502,4.0,True
9,2,-1.2297616749556852,24.0,False
9,4,-8.870123809889565,26.0,False
9,7,19.136055056307725,29.0,False
9,9,-1.1716017277980302,31.0,True
9,10,-2.331599105055343,32.0,False
9,11,26.133921432388995,33.0,False
9,14,25.593390358274508,35.0,True
9,15,-7.595881673736848,4.0,False
9,18,0.6753357511481284,4.0,False
9,20,-39.16359626932798,8.0,True
9,21,9.597360232107146,39.0,True
10,1,12.219615253685758,41.0,False
10,2,-0.8643783937754252,24.0,False
10,3,-14.277159238591892,26.0,False
10,4,0.3185155099047483,31.0,False
10,5,6.476531086637575,33.0,False
10,6,4.29333762942192,32.0,False
10,8,-34.99448204162158,29.0,True
10,9,-2.018940745208498,31.0,False
10,10,1.6781309509371638,42.0,False
10,11,16.39797979164358,35.0,False
10,12,2.466972688489809,43.0,False
10,14,17.131690201524844,35.0,False
10,16,-34.367735057457274,8.0,False
10,17,-37.98474932350167,44.0,False
10,18,8.92562957615854,8.0,True
10,19,14.427543120229313,39.0,False
10,20,9.2859971463818,39.0,False
11,1,15.34288365775165,41.0,False
11,2,10.298558186494446,24.0,False
11,3,-2.149485240211044,26.0,True
11,4,4.292532265368999,31.0,False
11,6,-2.3295072590096884,33.0,False
11,7,-39.221965710825685,29.0,False
11,8,0.0895161852063587,32.0,False
11,9,-5.284876276933891,31.0,False
11,10,5.562747472813621,42.0,False
11,12,9.803315151989048,35.0,True
11,13,5.930402566166345,43.0,False
11,14,9.84132503567769,29.0,False
11,15,22.322090999744223,8.0,False
11,16,-32.69457781916933,8.0,False
11,18,-35.308336447009644,44.0,True
11,19,15.186048065975983,8.0,True
11,20,17.510130388746237,39.0,False
12,1,22.869613045012,41.0,False
12,2,18.238517188539905,24.0,True
12,3,19.22580278415793,26.0,False
12,4,16.351342452419672,26.0,False
12,5,5.814873374359291,31.0,False
12,7,-33.95343855905465,29.0,True
12,8,-1.9496673369640936,33.0,False
12,9,-2.455641372648334,32.0,False
12,10,-6.570053519772999,31.0,False
12,11,-2.016409197429189,42.0,False
12,12,1.0643827132640926,35.0,False
12,14,2.744887809219782,29.0,False
12,15,1.9383694682573904,43.0,False
12,16,3.207138068583113,35.0,False
12,17,22.18013715752464,8.0,False
12,18,-24.69093771618123,8.0,False
12,20,-23.845992273070923,44.0,False
12,21,24.36348065132041,8.0,False
12,22,21.53910332653862,39.0,False
12,23,-25.90862720599641,44.0,True
12,24,9.026342534068126,8.0,False
13,1,32.07325458169454,41.0,False
13,2,43.47703045957977,24.0,False
13,3,31.682269934777736,26.0,False
13,5,25.502642450332367,24.0,False
13,6,19.85380921169573,26.0,False
13,7,12.334373606631642,31.0,True
13,9,-19.65857690940931,29.0,False
13,10,-13.574511982718043,33.0,True
13,11,-14.571718360646363,35.0,False
13,12,-14.083694073264176,32.0,True
13,13,3.755832348458776,42.0,True
13,14,-28.381346073674504,29.0,False
13,15,-3.508307679056493,31.0,True
13,17,-10.86807289135115,29.0,False
13,18,-7.239226374038655,43.0,False
13,19,-12.02849549123814,35.0,False
13,20,21.994897508752764,8.0,True
13,21,-10.525183896204055,8.0,False
13,22,-13.052441857327498,44.0,False
13,23,21.477864713663298,8.0,False
13,24,23.71569956568584,39.0,True
13,25,-21.846589629932367,44.0,False
13,26,-33.05794420793574,44.0,False
13,27,18.595108445463225,8.0,False
14,2,45.70612495975111,41.0,False
14,3,46.021953979974974,26.0,False
14,4,43.15202406276183,24.0,False
14,5,31.554944744844477,26.0,False
14,6,49.28659253521628,24.0,False
14,7,-3.894052071241152,31.0,False
14,9,-16.1320357778315,29.0,False
14,10,-7.456257964240792,33.0,False
14,11,-17.86715700652029,35.0,False
14,12,-11.550826627132077,32.0,False
14,14,-7.707811842297756,31.0,False
14,15,-18.539100379311247,33.0,False
14,16,-1.270448074531825,42.0,False
14,18,-23.338911765272996,29.0,False
14,19,-8.923739613847786,32.0,False
14,20,-7.580223446121164,31.0,False
14,21,-1.883570261435313,42.0,False
14,22,-12.342386612945088,29.0,True
14,23,-17.975838590542637,35.0,False
14,24,-15.14107921295146,43.0,False
14,25,19.42679590216192,8.0,False
14,26,15.502879183238088,31.0,True
14,27,15.553206159679457,8.0,False
14,28,15.23783958671616,8.0,False
14,29,10.740848442833585,44.0,False
14,30,14.095431654376508,39.0,False
14,31,12.3086875111988,8.0,False
14,32,-36.51711989496585,44.0,False
14,33,-40.58290630346138,44.0,False
14,34,22.285306174071383,39.0,False
14,35,18.85292097573201,8.0,False
15,1,53.43754400501154,24.0,True
15,2,60.18792700990315,41.0,True
15,3,56.90035923549624,26.0,True
15,4,54.094768351458,24.0,False
15,5,39.54384832921448,26.0,False
15,6,-10.830596858959048,31.0,False
15,8,-3.945041696260117,33.0,False
15,9,-8.50166239789045,29.0,False
15,10,-4.303513044104109,32.0,False
15,11,-9.18145682612655,35.0,True
15,12,-10.254757398932345,33.0,False
15,13,8.677502160427625,42.0,False
15,15,-5.442244900014534,32.0,False
15,16,-31.846098477068445,29.0,False
15,17,-5.560559396220869,31.0,False
15,18,-30.056723187965865,29.0,False
15,20,-38.7842607221909,35.0,False
15,21,-19.47260832646918,43.0,True
15,22,12.672171282828414,8.0,False
