CellId,lable,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,1.0,39.84741516520157,40.42031113970396,0.025,3.0,0.007
2.0,2.0,35.25594720875169,38.15847488924956,0.111,11.0,0.009
3.0,3.0,29.586620446996346,40.02107978245188,-0.05,55.0,0.008
4.0,4.0,47.504803513893584,48.38118231979455,0.047,4.0,0.006
5.0,5.0,28.905004295465773,34.21245081852511,-0.059,20.0,0.011
6.0,6.0,27.217530153054337,29.513446343904928,0.076,9.0,0.01
7.0,7.0,27.980917357806,38.18937055459074,-0.036,52.0,0.008
8.0,8.0,27.24090299358579,30.828910074730597,0.062,24.0,0.007
9.0,9.0,27.326791257046743,31.12875774560584,0.033,21.0,0.009
10.0,10.0,21.73739384030501,36.89052121851349,2.024,3.0,0.162
11.0,12.0,48.34608096925334,54.988450582962955,0.087,13.0,0.013
12.0,13.0,40.73552903272178,44.29242039381112,0.022,12.0,0.009
13.0,1.0,27.762027761436165,35.388630358295444,1.865,2.0,0.146
14,1.0,15.40252458691438,15.40252458691438,0.0,1,NaN
15.0,10.0,22.62353201673108,45.1694819960219,0.921,7.0,0.079
16,10.0,24.82377415665382,24.82377415665382,0.0,1,NaN
17.0,4.0,25.75780832070236,52.93823560651283,0.123,16.0,0.038
18.0,4.0,23.760653651654952,24.085419487702104,0.055,2.0,0.009
19.0,1.0,30.80514841198564,46.79280214879586,0.635,9.0,0.04
20,1.0,14.420095124966403,14.420095124966403,0.0,1,NaN
21.0,6.0,20.620984477440476,28.53237066201453,0.972,3.0,0.1
22,6.0,12.000376555065005,12.000376555065005,0.0,1,NaN
23.0,10.0,23.01782204948252,24.100226995696357,-0.065,10.0,0.009
24.0,10.0,27.43988362469233,33.9715882607403,-0.628,13.0,0.033
25.0,2.0,20.771596521422307,39.41647672327559,0.826,7.0,0.071
26,2.0,19.713853502753597,19.713853502753597,0.0,1,NaN
27.0,6.0,20.76299406120405,32.064887250532195,0.551,7.0,0.054
28.0,6.0,14.015701625040728,11.970437291943146,0.838,2.0,-0.115
29.0,13.0,20.444016209543083,25.06087399624163,0.177,48.0,0.007
30.0,13.0,23.596445209704022,32.62927438576244,0.066,48.0,0.008
31.0,12.0,31.024021141970067,43.19399282365608,0.064,42.0,0.01
32.0,12.0,26.584458619652462,30.384557307341723,0.018,32.0,0.006
33.0,1.0,27.526792050888464,51.142430880711046,1.643,5.0,0.103
34,1.0,24.342189130857346,24.342189130857346,0.0,1,NaN
35.0,2.0,24.3558671293504,30.24374721949016,1.474,4.0,0.111
36.0,2.0,20.507759088269392,21.002152625273016,-0.065,3.0,0.016
37.0,1.0,29.758883229936544,40.119254537341476,3.605,3.0,0.157
38.0,1.0,26.950675584661244,27.183509677015586,0.764,2.0,0.006
39.0,6.0,29.085900520646728,36.7240152773173,0.377,6.0,0.041
40.0,6.0,10.20391237900878,10.018025285135241,0.266,2.0,-0.012
41.0,4.0,26.919902767725272,34.31793051172381,0.008,40.0,0.008
42.0,4.0,30.83409112578792,39.84764167022241,0.022,40.0,0.009
43.0,5.0,31.33056750261637,43.44517473066531,0.429,8.0,0.037
44,5.0,12.479455199776016,12.479455199776016,0.0,1,NaN
45.0,9.0,30.86930442462862,37.52935979170898,0.059,15.0,0.02
46.0,9.0,8.47802611255531,9.610748094588132,-0.171,8.0,0.039
47.0,1.0,30.97352824310808,37.07934861159109,1.339,6.0,0.082
48.0,1.0,26.21616743989721,27.146070871338992,0.096,5.0,0.009
49.0,2.0,23.36995526581658,35.779259558449795,3.329,2.0,0.241
50,2.0,22.84101913701864,22.84101913701864,0.0,1,NaN
51.0,10.0,44.437332148934416,54.04163039336299,0.086,17.0,0.009
52,10.0,10.207731566050272,10.207731566050272,0.0,1,NaN
53.0,2.0,23.24759163433085,23.42869356890421,0.037,3.0,0.005
54.0,2.0,24.411421644377658,31.052881001956877,-1.717,4.0,0.125
55.0,8.0,18.291062085064205,18.11381258727784,0.037,4.0,-0.002
56.0,8.0,17.836426459642794,29.165811389301812,-0.41,9.0,0.057
57.0,6.0,35.65539311365224,46.393122619657795,0.284,10.0,0.026
58,6.0,9.669889744827248,9.669889744827248,0.0,1,NaN
59.0,1.0,33.29660881797333,34.20321486288977,0.139,5.0,0.007
60.0,1.0,29.00813147480372,71.5033632003387,2.559,6.0,0.112
61,2.0,24.126418342556747,24.126418342556747,0.0,1,NaN
62,2.0,24.563565212375508,24.563565212375508,0.0,1,NaN
63.0,5.0,31.49446084222061,48.71212243475888,1.641,5.0,0.074
64,5.0,19.42373499697019,19.42373499697019,0.0,1,NaN
65.0,1.0,31.052887526289844,42.95254949100284,0.191,20.0,0.017
66,1.0,8.824759952628364,8.824759952628364,0.0,1,NaN
67.0,5.0,25.94145567745492,33.17354287028174,1.262,8.0,0.078
68.0,5.0,29.739871146087356,30.246903070951355,0.511,7.0,0.003
69,8.0,17.988276318446,17.988276318446,0.0,1,NaN
70.0,8.0,20.640611704557983,38.032342031125395,-0.624,6.0,0.081
71.0,1.0,31.372106135845552,36.66277290468035,-0.001,19.0,0.011
72.0,1.0,57.37312119465085,57.701211101481384,-0.204,3.0,0.004
73.0,6.0,30.418679377010857,57.16802599931386,0.46,12.0,0.043
74,6.0,23.4643038990937,23.4643038990937,0.0,1,NaN
75.0,9.0,23.02948071803899,36.4169211419092,3.094,2.0,0.257
76,9.0,24.260314575855503,24.260314575855503,0.0,1,NaN
77.0,1.0,26.456260762774978,29.892115099088254,-0.053,23.0,0.007
78.0,1.0,26.583188647683897,31.390108407533504,-0.115,23.0,0.01
79.0,9.0,23.06440987232447,44.863624396213346,0.663,7.0,0.045
80,9.0,24.886307143663583,24.886307143663583,0.0,1,NaN
81.0,8.0,19.41512574585362,19.322334473275895,-0.011,3.0,-0.0
82.0,8.0,21.175886460065502,27.58276865915778,-1.309,4.0,0.125
83.0,8.0,19.16346522919828,19.275938836987034,-0.056,2.0,0.004
84.0,10.0,33.73177525713542,38.671061254150445,0.033,20.0,0.009
85.0,10.0,26.26194574091331,38.69274613214649,0.107,14.0,0.025
86.0,5.0,31.508242655297614,32.29336056459205,-0.135,5.0,0.008
