ImageNumber,ObjectNumber,Orientation,lable,divideFlag
1,1,61.70854675661048,1.0,False
1,2,86.03881246650087,2.0,False
1,3,-61.39500439430895,3.0,False
1,4,-11.215239402472978,4.0,False
1,5,6.217426220790993,5.0,False
1,6,13.75040487534255,6.0,False
1,7,-35.29949057150252,7.0,False
1,8,58.17058468729429,8.0,False
1,9,80.64099813511139,9.0,False
1,10,65.82089840665147,10.0,False
1,12,-78.01260642922277,12.0,False
1,13,85.24093015350188,13.0,False
2,1,62.87047114673406,1.0,False
2,2,86.35660135609649,2.0,False
2,3,-60.43136089085965,3.0,False
2,4,-11.417134675997602,4.0,False
2,5,8.203019336285127,5.0,False
2,6,13.434451810861145,6.0,False
2,7,-34.75521319934681,7.0,False
2,8,58.006509527779215,8.0,False
2,9,80.40496051792823,9.0,False
2,10,57.81097869497012,10.0,False
2,11,-78.16194866347949,12.0,False
2,12,85.50545887837188,13.0,False
3,1,62.58430662992639,1.0,True
3,2,86.4867149637578,2.0,False
3,3,-60.61064162248208,3.0,False
3,4,-11.855183604958734,4.0,False
3,5,8.968612834707734,5.0,False
3,6,13.442454401515109,6.0,False
3,7,-34.232077528693395,7.0,False
3,8,57.99846850721231,8.0,False
3,9,80.58829798113233,9.0,False
3,10,57.48232840647159,10.0,True
3,11,-78.27443330370252,12.0,False
3,12,86.19810475830567,13.0,False
4,1,60.25427603904421,1.0,False
4,2,54.02901342825662,1.0,False
4,3,85.53020343904372,2.0,False
4,4,-60.55600489388951,3.0,False
4,5,-11.60771306067464,4.0,True
4,6,11.14418519809135,5.0,False
4,7,15.019872325845796,6.0,False
4,8,-32.75801902968229,7.0,False
4,9,58.87322873462755,8.0,False
4,10,79.76144412869169,9.0,False
4,11,64.99441366035812,10.0,False
4,12,44.29616747130593,10.0,False
4,13,-78.12207734916257,12.0,False
4,14,86.56954518568715,13.0,False
5,1,63.16957218882392,1.0,True
5,2,85.28935349316455,2.0,False
5,3,-60.22192128290859,3.0,False
5,4,-12.55256062242776,4.0,False
