Channel_OrigGray,Count_FilteredNuclei,Count_IdentifyPrimaryObjects,Count_IdentifySecondaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07ImageMath,ExecutionTime_08EnhanceOrSuppressFeatures,ExecutionTime_09IdentifyPrimaryObjects,ExecutionTime_10IdentifySecondaryObjects,ExecutionTime_11TrackObjects,ExecutionTime_12Tile,ExecutionTime_13MeasureObjectSizeShape,ExecutionTime_14SaveImages,FileName_OrigGray,Frame_OrigGray,Group_Index,Group_Number,Height_OrigGray,ImageNumber,ImageSet_ImageSet,MD5Digest_OrigGray,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07ImageMath,ModuleError_08EnhanceOrSuppressFeatures,ModuleError_09IdentifyPrimaryObjects,ModuleError_10IdentifySecondaryObjects,ModuleError_11TrackObjects,ModuleError_12Tile,ModuleError_13MeasureObjectSizeShape,ModuleError_14SaveImages,PathName_OrigGray,ProcessingStatus,Scaling_OrigGray,Series_OrigGray,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_OrigGray,Width_OrigGray
-1,42.0,42.0,42.0,0.0,0.0,2.203125,0.0,0.578125,0.015625,0.015625,10.375,1.671875,1.421875,1.40625,0.09375,0.21875,3.046875,xanthomonase_t001xy1c1.tif,0,1,1,1104,1,b'eLt2mfNVG02Xgz5dGhgYVlQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOMEoYQ=',9031f719f747be90a26754b5994045a2,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t001xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.10288143157958984,0.564791202545166,0.12860179,0.5647912,-11.335149115729548,-10.271936650609774,0.5896619317588877,0.0011172213668236015,0,0,42,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t001xy1c1.tif,1376
-1,42.0,42.0,42.0,0.0,0.0,1.046875,0.0,0.84375,0.015625,0.0,10.3125,1.515625,1.390625,1.28125,0.078125,0.25,3.34375,xanthomonase_t002xy1c1.tif,0,2,1,1104,2,b'eLt2mfNVG02Xgz5dGhgYVVQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAONWoYU=',4846f82d388197e538c76516e7b51e26,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t002xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.09531314373016359,0.5651239156723022,0.11914143,0.5651239,-11.435325734331986,-10.45163414684325,0.5828882631822073,0.0010001368283999027,1,0,0,1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t002xy1c1.tif,1376
-1,43.0,43.0,43.0,0.0,0.0,0.40625,0.0,1.25,0.015625,0.015625,10.296875,1.484375,1.3125,1.296875,0.078125,0.21875,3.03125,xanthomonase_t003xy1c1.tif,0,3,1,1104,3,b'eLt2mfNVG02Xgz5dGhgYV1QaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOOooYY=',1b469e451dc374b5bf8bc16cd55232fc,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t003xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.09994363188743592,0.5678273439407349,0.12492954,0.56782734,-11.41387387469138,-10.295519806422762,0.5842092793322269,0.001064390143905046,0,1,1,1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t003xy1c1.tif,1376
-1,45.0,45.0,45.0,0.0,0.0,0.40625,0.0,0.71875,0.015625,0.0,10.328125,1.59375,1.34375,1.34375,0.09375,0.21875,3.0,xanthomonase_t004xy1c1.tif,0,4,1,1104,4,b'eLt2mfNVG02Xgz5dGhiYVFQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOP6oYc=',1e5a633d179da6b87ed2bf3ef691c150,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t004xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.10889983177185059,0.5670424103736877,0.13612479,0.5670424,-11.170522789836006,-9.863330414853337,0.5839885792713898,0.001181695368775798,0,3,1,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t004xy1c1.tif,1376
-1,45.0,45.0,45.0,0.0,0.0,0.234375,0.0,0.46875,0.015625,0.0,10.640625,1.59375,1.359375,1.28125,0.078125,0.203125,3.046875,xanthomonase_t005xy1c1.tif,0,5,1,1104,5,b'eLt2mfNVG02Xgz5dGhiYVlQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAORMoYg=',ced2a2ffecf234673bcf462696f005cb,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t005xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.10558062791824341,0.5646705627441406,0.13197578,0.56467056,-11.292636054299109,-10.125429342981523,0.5852537312063095,0.0011537884234308216,0,0,0,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t005xy1c1.tif,1376
-1,44.0,44.0,44.0,0.0,0.0,0.234375,0.0,0.546875,0.015625,0.015625,10.34375,1.515625,1.328125,1.28125,0.09375,0.203125,3.015625,xanthomonase_t006xy1c1.tif,0,6,1,1104,6,b'eLt2mfNVG02Xgz5dGhiYVVQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOSeoYk=',50d5390310df38b408b67c1c67069e73,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t006xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.10048155784606934,0.5642681121826172,0.12560195,0.5642681,-11.218374394010507,-10.299604055213681,0.5853221138779587,0.0010942674081320662,0,1,0,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t006xy1c1.tif,1376
-1,44.0,44.0,44.0,0.0,0.0,0.234375,0.0,0.484375,0.015625,0.015625,10.296875,1.5,1.328125,1.3125,0.078125,0.21875,3.03125,xanthomonase_t007xy1c1.tif,0,7,1,1104,7,b'eLt2mfNVG02Xgz5dGhiYV1QaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOTwoYo=',7d2c81df04bd19f2bf0e8d05069eca13,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t007xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.1042179584503174,0.5638023614883423,0.13027245,0.56380236,-11.205214002556502,-9.9723803202351,0.5907218742223302,0.0011600230710997696,1,0,0,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t007xy1c1.tif,1376
-1,47.0,47.0,47.0,0.0,0.0,0.3125,0.0,0.53125,0.015625,0.015625,10.875,1.5,1.3125,1.28125,0.078125,0.21875,3.015625,xanthomonase_t008xy1c1.tif,0,8,1,1104,8,b'eLt2mfNVG02Xgz5dGhhYVFQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOVCoYs=',b37582d5c1435e064cb5e51b73639814,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t008xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.10380566120147705,0.5632614493370056,0.12975708,0.56326145,-11.232703450128467,-10.06463630229004,0.5928592468444415,0.0011708358396812495,0,0,1,5,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t008xy1c1.tif,1376
-1,44.0,44.0,44.0,0.0,0.0,0.1875,0.0,0.46875,0.015625,0.015625,10.3125,1.5,1.359375,1.296875,0.078125,0.25,3.03125,xanthomonase_t009xy1c1.tif,0,9,1,1104,9,b'eLt2mfNVG02Xgz5dGhhYVlQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOWUoYw=',11ee090690a88f97a07e7dd956347cc5,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t009xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.102131986618042,0.5596703886985779,0.12766498,0.5596704,-11.11619042172756,-10.183089354813895,0.5817069902825478,0.0011275273266373943,1,2,0,4,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t009xy1c1.tif,1376
-1,45.0,45.0,45.0,0.0,0.0,0.21875,0.0,0.46875,0.015625,0.015625,10.296875,1.5625,1.453125,1.40625,0.078125,0.25,3.15625,xanthomonase_t010xy1c1.tif,0,10,1,1104,10,b'eLt2mfNVG02Xgz5dGhgaVFQaJhvqlWSmgQt9mDeBQQhyPqhWcEapHkAMRBUBDkQgA2wdqL7wdbUDAOMFoYQ=',0e3f36356ca28ffc4b680961e1040575,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t010xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Xanthomonase_agarose\1. Raw Images\1. raw images,Done,255,0,0.09171788692474366,0.5570443868637085,0.11464736,0.5570444,-11.282049988317109,-10.505684288129299,0.5884711669769263,0.0010013234934885826,0,1,0,5,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Xanthomonase_agarose/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t010xy1c1.tif,1376
