TimeStep,NumberOfCells
1,37
2,37
3,37
4,36
5,38
6,38
7,39
8,39
9,39
10,37
11,39
12,38
13,39
14,39
15,39
16,41
17,41
18,39
19,39
20,41
21,40
22,38
23,40
24,39
25,39
26,27
27,36
28,42
29,40
30,41
31,45
32,41
33,40
34,40
35,39
36,40
37,40
38,40
39,40
40,40
41,43
42,38
43,39
44,39
45,42
46,41
47,44
48,43
49,45
50,40
51,48
52,46
53,46
54,48
55,43
56,44
57,49
58,45
59,46
60,46
61,47
62,48
63,44
64,47
65,50
66,46
67,45
68,49
69,43
70,43
71,44
72,42
73,45
74,43
75,44
76,41
77,48
78,48
79,47
80,47
81,46
82,47
83,50
84,46
85,52
86,48
87,49
88,49
89,45
90,46
91,46
92,47
93,47
94,46
95,50
96,50
97,47
98,49
99,51
100,52
101,51
102,52
103,56
104,53
105,59
106,57
107,55
108,54
109,57
110,57
111,56
112,52
113,56
114,60
115,59
116,55
117,52
118,54
119,56
120,56
121,52
122,52
123,54
124,48
125,60
126,64
127,59
128,62
129,62
130,66
131,63
132,60
133,58
134,61
135,60
136,61
137,63
138,63
139,83
140,67
141,64
142,70
143,69
144,67
145,81
146,76
147,71
148,82
149,93
150,89
151,70
152,79
153,80
154,72
155,79
156,84
157,88
158,97
159,99
160,108
161,116
162,98
163,109
164,118
165,112
166,109
167,106
168,121
169,127
170,110
171,107
172,129
173,121
174,120
175,117
176,118
177,112
178,106
179,113
180,118
181,117
182,135
183,139
184,140
185,150
186,232
187,232
188,257
189,266
190,282
191,294
192,289
193,299
194,307
195,294
196,279
197,276
198,264
199,324
200,318
201,306
202,305
203,292
204,307
205,307
206,333
207,346
208,339
209,331
210,395
211,408
212,416
213,413
214,432
215,444
216,463
217,473
218,486
219,503
220,454
221,502
222,491
223,504
224,515
225,521
226,502
227,511
228,519
229,516
230,644
231,612
232,664
233,692
234,709
235,739
236,751
237,782
238,775
239,779
240,794
241,809
242,781
243,835
244,860
245,855
246,877
247,897
248,889
249,847
250,898
251,822
252,903
253,815
254,822
255,920
256,888
257,878
258,949
259,943
260,933
261,935
262,937
263,974
264,966
265,1044
266,1122
267,1102
268,1159
269,1173
270,1183
271,1163
272,1158
273,1172
274,1197
275,1090
276,1115
277,1088
278,1071
279,1014
