TimeStep,NumberOfCells
1,10
2,10
3,10
4,10
5,10
6,11
7,13
8,13
9,14
10,13
11,10
12,12
13,14
14,16
15,15
16,18
17,18
18,19
19,19
20,19
21,21
22,22
23,24
24,21
25,22
26,25
27,23
28,24
29,26
30,28
31,31
32,31
33,32
34,32
35,35
36,34
37,35
38,38
39,39
40,38
41,39
42,42
43,42
44,41
45,48
46,49
47,51
48,55
49,60
50,59
51,63
52,63
53,65
54,68
55,73
56,75
57,75
58,77
59,76
60,79
61,81
62,91
63,94
64,97
65,101
66,112
67,119
68,131
69,133
70,135
71,134
72,146
73,150
74,157
75,161
76,163
77,163
78,168
79,192
80,198
81,176
82,236
83,246
84,256
85,270
86,274
87,276
88,295
89,308
90,309
91,314
92,327
93,345
94,352
95,378
96,393
97,428
98,447
99,473
100,499
101,529
102,541
103,563
104,572
105,591
106,602
107,608
108,643
109,652
110,687
111,621
112,774
113,803
114,822
115,875
116,918
117,947
118,955
119,982
120,986
121,1014
122,1051
123,1096
124,1098
125,1057
126,1179
127,1248
128,1293
129,1324
130,1367
131,1372
132,1406
133,1436
134,1440
135,1471
136,1497
137,1502
138,1544
139,1550
140,1638
141,1704
142,1790
143,1827
144,1884
145,1895
146,1935
147,1895
148,1930
149,1915
150,1944
151,1940
152,1987
153,2045
154,2082
155,2123
156,2157
157,2183
158,2248
159,2272
160,2265
161,2265
162,2236
163,2050
164,2204
165,2142
166,2141
167,2133
168,2146
169,2172
170,2163
171,2177
172,2194
173,2182
174,2289
175,2273
176,2173
177,2112
178,2184
179,2174
180,2135
181,2105
182,2104
183,2123
184,2121
185,2181
186,2181
187,2172
188,2189
189,2095
190,2188
191,2205
192,2209
193,2213
194,2215
195,2185
196,2128
197,2134
198,2147
199,2146
200,2008
201,2036
202,2080
203,2058
204,2097
205,2080
206,2135
207,2108
208,2151
209,2167
210,2201
