lable,NumberOfDivision
1.0,NaN
2.0,5695.0
3.0,3056.0
4.0,1413.0
5.0,NaN
6.0,NaN
7.0,357.0
8.0,7.0
9.0,270.0
10.0,50.0
11.0,212.0
12.0,1354.0
13.0,549.0
14.0,9.0
16.0,NaN
20.0,NaN
21.0,NaN
23.0,2.0
24.0,NaN
25.0,NaN
26.0,32.0
27.0,3.0
32.0,NaN
33.0,7.0
34.0,NaN
35.0,NaN
36.0,NaN
37.0,18.0
39.0,255.0
42.0,97.0
44.0,NaN
45.0,NaN
46.0,36.0
47.0,574.0
48.0,NaN
49.0,NaN
50.0,2.0
51.0,NaN
52.0,NaN
54.0,4.0
55.0,NaN
56.0,4.0
57.0,6.0
58.0,4.0
59.0,2.0
60.0,4.0
61.0,NaN
70.0,7.0
71.0,NaN
72.0,NaN
73.0,2.0
74.0,66.0
75.0,188.0
76.0,NaN
78.0,NaN
79.0,6.0
81.0,8.0
82.0,3.0
83.0,NaN
84.0,NaN
85.0,NaN
87.0,77.0
88.0,27.0
89.0,95.0
90.0,NaN
91.0,13.0
92.0,NaN
94.0,NaN
95.0,NaN
96.0,NaN
97.0,25.0
98.0,NaN
99.0,34.0
101.0,2.0
103.0,NaN
106.0,2.0
107.0,46.0
108.0,51.0
109.0,16.0
112.0,NaN
114.0,16.0
115.0,NaN
116.0,NaN
117.0,2.0
118.0,NaN
119.0,NaN
120.0,NaN
123.0,2.0
124.0,13.0
125.0,6.0
126.0,NaN
127.0,6.0
129.0,3.0
130.0,NaN
131.0,5.0
134.0,NaN
136.0,NaN
137.0,42.0
138.0,26.0
140.0,2.0
141.0,NaN
142.0,3.0
144.0,61.0
148.0,12.0
152.0,49.0
153.0,11.0
154.0,NaN
156.0,NaN
160.0,86.0
161.0,19.0
163.0,24.0
165.0,NaN
167.0,NaN
169.0,NaN
171.0,NaN
172.0,NaN
173.0,NaN
177.0,NaN
178.0,19.0
179.0,14.0
180.0,NaN
181.0,NaN
182.0,283.0
184.0,64.0
185.0,5.0
186.0,11.0
187.0,16.0
188.0,53.0
189.0,327.0
190.0,18.0
191.0,45.0
192.0,4.0
194.0,221.0
196.0,NaN
198.0,NaN
199.0,9.0
200.0,549.0
201.0,7.0
202.0,2.0
204.0,3.0
205.0,56.0
206.0,9.0
207.0,NaN
209.0,69.0
211.0,11.0
213.0,35.0
215.0,NaN
216.0,NaN
217.0,4.0
218.0,NaN
219.0,NaN
220.0,NaN
221.0,NaN
225.0,NaN
226.0,NaN
228.0,20.0
229.0,343.0
230.0,622.0
231.0,27.0
232.0,NaN
233.0,NaN
235.0,161.0
236.0,3.0
237.0,2.0
242.0,128.0
244.0,23.0
245.0,86.0
247.0,6.0
248.0,16.0
249.0,NaN
250.0,9.0
252.0,3.0
253.0,148.0
256.0,NaN
257.0,NaN
258.0,NaN
259.0,NaN
260.0,72.0
261.0,412.0
262.0,58.0
263.0,53.0
264.0,NaN
265.0,NaN
267.0,51.0
268.0,12.0
270.0,NaN
273.0,9.0
274.0,36.0
276.0,NaN
277.0,33.0
278.0,4.0
280.0,NaN
281.0,124.0
282.0,132.0
283.0,59.0
284.0,2.0
285.0,2.0
287.0,NaN
288.0,3.0
289.0,NaN
291.0,NaN
292.0,NaN
294.0,NaN
295.0,22.0
296.0,NaN
297.0,97.0
298.0,43.0
299.0,2.0
300.0,2.0
301.0,NaN
302.0,9.0
303.0,NaN
304.0,4.0
305.0,2.0
309.0,9.0
310.0,NaN
311.0,NaN
312.0,169.0
313.0,9.0
314.0,136.0
315.0,NaN
316.0,NaN
317.0,14.0
320.0,NaN
321.0,NaN
322.0,143.0
323.0,77.0
324.0,277.0
325.0,267.0
330.0,5.0
331.0,4.0
332.0,72.0
333.0,44.0
334.0,88.0
335.0,NaN
337.0,8.0
338.0,95.0
339.0,292.0
340.0,53.0
341.0,NaN
342.0,9.0
343.0,2.0
344.0,NaN
345.0,6.0
346.0,NaN
347.0,6.0
351.0,25.0
352.0,2.0
353.0,NaN
354.0,NaN
356.0,12.0
357.0,NaN
362.0,NaN
363.0,117.0
364.0,5.0
366.0,4.0
368.0,63.0
369.0,5.0
370.0,3.0
372.0,NaN
374.0,NaN
375.0,14.0
376.0,31.0
377.0,18.0
379.0,120.0
380.0,2.0
381.0,33.0
382.0,4.0
385.0,3.0
386.0,5.0
387.0,151.0
388.0,2.0
389.0,29.0
390.0,83.0
391.0,8.0
393.0,NaN
394.0,166.0
395.0,NaN
396.0,8.0
397.0,24.0
398.0,16.0
399.0,66.0
400.0,2.0
401.0,NaN
402.0,54.0
403.0,2.0
404.0,87.0
407.0,3.0
408.0,NaN
409.0,33.0
410.0,20.0
411.0,NaN
412.0,256.0
413.0,57.0
415.0,NaN
416.0,NaN
417.0,104.0
418.0,NaN
422.0,24.0
423.0,2.0
424.0,50.0
426.0,34.0
427.0,31.0
429.0,70.0
430.0,36.0
431.0,138.0
432.0,2.0
433.0,NaN
434.0,NaN
435.0,NaN
438.0,4.0
439.0,4.0
440.0,18.0
442.0,NaN
443.0,8.0
444.0,37.0
445.0,3.0
446.0,NaN
448.0,NaN
452.0,191.0
453.0,3.0
454.0,NaN
455.0,55.0
456.0,NaN
457.0,NaN
459.0,7.0
460.0,27.0
463.0,9.0
464.0,5.0
466.0,7.0
467.0,NaN
468.0,NaN
469.0,11.0
470.0,34.0
471.0,81.0
472.0,58.0
473.0,14.0
474.0,7.0
476.0,101.0
477.0,75.0
478.0,7.0
479.0,4.0
480.0,140.0
481.0,NaN
482.0,NaN
484.0,NaN
485.0,NaN
486.0,NaN
488.0,NaN
489.0,NaN
491.0,3.0
492.0,18.0
493.0,NaN
494.0,58.0
497.0,3.0
498.0,9.0
499.0,43.0
501.0,137.0
502.0,54.0
503.0,2.0
504.0,NaN
505.0,41.0
506.0,NaN
507.0,NaN
508.0,6.0
509.0,4.0
510.0,32.0
511.0,3.0
512.0,NaN
513.0,2.0
517.0,52.0
518.0,49.0
519.0,22.0
520.0,26.0
521.0,19.0
522.0,49.0
523.0,25.0
526.0,64.0
527.0,26.0
530.0,NaN
531.0,8.0
533.0,205.0
535.0,23.0
536.0,NaN
537.0,2.0
538.0,2.0
539.0,NaN
541.0,9.0
543.0,NaN
544.0,2.0
546.0,4.0
547.0,NaN
550.0,NaN
551.0,NaN
552.0,NaN
553.0,2.0
556.0,146.0
558.0,61.0
559.0,7.0
560.0,61.0
561.0,6.0
562.0,7.0
563.0,NaN
564.0,98.0
565.0,3.0
566.0,2.0
567.0,13.0
568.0,3.0
569.0,5.0
570.0,19.0
571.0,3.0
572.0,3.0
573.0,6.0
574.0,NaN
576.0,16.0
577.0,NaN
581.0,41.0
582.0,NaN
586.0,37.0
589.0,5.0
590.0,36.0
591.0,24.0
592.0,36.0
593.0,2.0
594.0,18.0
595.0,NaN
599.0,2.0
600.0,NaN
601.0,NaN
603.0,9.0
604.0,125.0
605.0,8.0
606.0,27.0
608.0,NaN
610.0,19.0
611.0,NaN
612.0,31.0
615.0,NaN
616.0,NaN
617.0,NaN
619.0,NaN
621.0,NaN
622.0,7.0
623.0,2.0
626.0,NaN
627.0,31.0
628.0,NaN
634.0,54.0
635.0,32.0
637.0,NaN
641.0,NaN
642.0,40.0
644.0,60.0
645.0,81.0
646.0,9.0
648.0,18.0
651.0,30.0
656.0,NaN
657.0,NaN
659.0,23.0
663.0,2.0
664.0,NaN
666.0,3.0
671.0,35.0
673.0,NaN
674.0,3.0
676.0,NaN
678.0,9.0
679.0,26.0
680.0,NaN
682.0,NaN
687.0,NaN
688.0,NaN
691.0,56.0
692.0,NaN
693.0,NaN
694.0,NaN
696.0,4.0
697.0,NaN
699.0,13.0
700.0,2.0
703.0,NaN
704.0,NaN
707.0,2.0
711.0,NaN
712.0,3.0
713.0,NaN
714.0,NaN
717.0,4.0
718.0,NaN
719.0,11.0
720.0,4.0
722.0,19.0
724.0,NaN
725.0,3.0
726.0,NaN
728.0,5.0
733.0,NaN
735.0,NaN
737.0,5.0
738.0,9.0
739.0,NaN
740.0,8.0
741.0,2.0
742.0,9.0
744.0,NaN
745.0,27.0
747.0,9.0
748.0,NaN
749.0,2.0
750.0,NaN
752.0,NaN
753.0,NaN
754.0,31.0
756.0,17.0
758.0,2.0
760.0,NaN
762.0,11.0
763.0,16.0
764.0,5.0
765.0,NaN
766.0,7.0
767.0,NaN
768.0,NaN
769.0,17.0
775.0,NaN
776.0,NaN
777.0,NaN
779.0,5.0
783.0,NaN
786.0,5.0
788.0,NaN
789.0,4.0
792.0,NaN
798.0,13.0
801.0,NaN
802.0,NaN
803.0,NaN
806.0,NaN
808.0,NaN
810.0,NaN
812.0,4.0
813.0,NaN
815.0,6.0
816.0,6.0
817.0,NaN
818.0,NaN
819.0,NaN
821.0,5.0
822.0,NaN
824.0,NaN
825.0,NaN
828.0,NaN
829.0,NaN
834.0,NaN
836.0,NaN
837.0,NaN
838.0,8.0
841.0,NaN
842.0,NaN
843.0,NaN
844.0,6.0
845.0,NaN
847.0,8.0
848.0,2.0
849.0,NaN
850.0,NaN
851.0,NaN
853.0,3.0
854.0,3.0
855.0,NaN
856.0,3.0
857.0,NaN
863.0,NaN
864.0,2.0
865.0,3.0
867.0,NaN
870.0,NaN
872.0,3.0
873.0,NaN
874.0,4.0
876.0,NaN
881.0,NaN
882.0,NaN
883.0,3.0
886.0,3.0
887.0,NaN
889.0,3.0
890.0,2.0
895.0,NaN
896.0,2.0
900.0,NaN
901.0,NaN
902.0,NaN
904.0,NaN
905.0,NaN
906.0,NaN
907.0,NaN
909.0,NaN
910.0,NaN
911.0,NaN
912.0,NaN
916.0,NaN
917.0,2.0
919.0,NaN
