TimeStep,NumberOfCells
1,7
2,7
3,8
4,8
5,8
6,7
7,10
8,9
9,9
10,10
11,11
12,11
13,13
14,12
15,15
16,15
17,17
18,16
19,17
20,16
21,19
22,18
23,18
24,20
25,20
26,21
27,23
28,23
29,25
30,26
31,27
32,27
33,30
34,27
35,29
36,31
37,31
38,30
39,31
40,33
41,35
42,38
43,42
44,43
45,45
46,45
47,45
48,49
49,50
50,52
51,50
52,56
53,54
54,54
55,57
56,64
57,70
58,71
59,76
60,81
61,80
62,84
63,85
64,89
65,91
66,96
67,101
68,109
69,114
70,124
71,135
72,141
73,146
74,151
75,154
76,155
77,158
78,161
79,168
80,175
81,187
82,189
83,202
84,215
85,225
86,237
87,261
88,270
89,282
90,292
91,302
92,308
93,313
94,318
95,330
96,345
97,374
98,391
99,407
100,432
101,458
102,488
103,516
104,548
105,557
106,565
107,577
108,588
109,598
110,603
111,640
112,646
113,687
114,717
115,758
116,808
117,840
118,877
119,908
120,921
121,941
122,954
123,958
124,965
125,1015
126,1007
127,1045
128,1084
129,1126
130,1177
131,1233
132,1290
133,1323
134,1360
135,1386
136,1398
137,1397
138,1404
139,1417
140,1437
141,1470
142,1526
143,1569
144,1613
145,1704
146,1776
147,1854
148,1880
149,1901
150,1934
151,1921
152,1927
153,1921
154,1929
155,1929
156,1961
157,2006
158,2025
159,2093
160,2135
161,2198
162,2239
163,2341
164,2280
165,2277
166,2247
167,2212
168,2163
169,2138
170,2124
171,2140
172,2142
173,2182
174,2185
175,2226
176,2304
177,2402
178,2354
179,2352
180,2345
181,2342
182,2305
183,2277
184,2254
185,2224
186,2200
187,2215
188,2178
189,2251
190,2242
191,2263
192,2295
193,2326
194,2352
195,2382
196,2422
197,2421
198,2405
199,2378
200,2360
201,2311
202,2260
203,2220
