CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity,AverageLength
1,0.0172325875610113,39,7,-0.669263541698456,49.6505470275879
2,0.00880411732941866,60.1748275756836,7,-1.14539885520935,59.740478515625
3,0.00476378202438354,37,8,2.62297439575195,39.6364097595215
4,-0.0272136069834232,38.5861892700195,7,-4.05721187591553,43.1539611816406
5,0.0119307721033692,34.8757591247559,7,-0.844264447689056,42.6754455566406
6,-0.00142609444446862,36.2243003845215,19,1.51300048828125,49.013614654541
7,0.00274372100830078,40.7709503173828,19,-0.555758833885193,44.2423400878906
8,-0.00406402349472046,40.5593605041504,16,5.33484268188477,46.6519393920898
9,0.0826120376586914,28.6216678619385,3,5.4200439453125,32.9447326660156
10,0.0533497333526611,36.8506278991699,2,4.77342224121094,38.9253158569336
11,0.0732932090759277,35.4467582702637,2,-2.68061828613281,38.2448387145996
12,-0.00501247821375728,33.9163932800293,14,6.44405889511108,40.423656463623
13,0.0476065464317799,38.93017578125,3,5.35438013076782,42.7456665039063
14,NaN,36.9850082397461,1,0,36.9850082397461
15,NaN,46.1271133422852,1,0,46.1271133422852
16,NaN,42,1,0,42
17,NaN,40.2245864868164,1,0,40.2245864868164
18,NaN,73.9253387451172,1,0,73.9253387451172
19,NaN,42.0816497802734,1,0,42.0816497802734
20,NaN,48.5832328796387,1,0,48.5832328796387
21,NaN,47.3469047546387,1,0,47.3469047546387
22,NaN,40.4455718994141,1,0,40.4455718994141
23,-0.0133373085409403,45.0393447875977,11,3.66091084480286,40.7287139892578
24,0.019068717956543,42.7092514038086,11,-5.05380535125732,42.9494972229004
25,0.00310384132899344,38.6205558776855,11,-4.31655311584473,40.5648002624512
26,-0.0367343872785568,54,11,-5.19956827163696,42.9550094604492
27,0.0205238088965416,38.8950614929199,11,-0.671001076698303,42.4541320800781
28,0.00750125525519252,49.1934967041016,11,-1.42985391616821,43.6175422668457
29,-0.0482670813798904,47.1509056091309,11,-1.57642161846161,42.3305702209473
30,-0.0546725876629353,81.7027740478516,11,-3.25852560997009,45.3089790344238
31,0.0246021747589111,40.1451225280762,11,-0.702997386455536,47.3310699462891
32,-0.0415672622621059,50.8031234741211,11,-1.50255239009857,43.7664985656738
33,-0.0338457487523556,43.7378425598145,11,-1.76206004619598,42.4758605957031
34,0.0314062125980854,43.8629570007324,10,5.51150226593018,48.0296363830566
35,0.0768077075481415,28.9832592010498,9,2.05261564254761,41.7971496582031
36,0.00422009825706482,36.3188591003418,8,-0.380924224853516,41.1686325073242
37,0.0748457610607147,31.6179103851318,8,-0.183849334716797,43.400260925293
38,0.00231087207794189,29.1790180206299,8,-1.40124130249023,39.8123588562012
39,0.0898091197013855,31.1446666717529,8,-1.20968246459961,44.3524856567383
40,0.00577577948570251,31.6783866882324,8,4.13577651977539,38.9278182983398
41,-0.022548845037818,28.9684734344482,7,-1.62241041660309,36.343391418457
42,0.0868365094065666,30.9863510131836,7,1.24870955944061,42.9369201660156
43,0.00655528483912349,36.0375137329102,7,7.0093560218811,42.7742118835449
44,0.0902533903717995,31.0000019073486,7,2.60309720039368,42.6151924133301
45,0.0872456207871437,32.2440719604492,6,0.586837768554688,43.4490661621094
46,0.0756032094359398,31.0260601043701,6,3.64156603813171,39.5233039855957
47,0.0696082934737206,28.4336338043213,6,2.54346203804016,35.8879776000977
48,0.0694753676652908,26.8700542449951,5,-1.89846801757813,31.9864501953125
49,0.0681859999895096,30.8041286468506,5,0.178295895457268,36.4443359375
50,-0.05918288230896,38.4776916503906,5,0.733624279499054,41.9816513061523
51,0.0685737133026123,27.6112728118896,4,-4.16265869140625,31.8080902099609
52,0.0805630683898926,30.7064743041992,4,-0.549514770507813,36.089771270752
53,0.0696202144026756,29.5160942077637,3,-1.73507690429688,33.1665000915527
54,0.0806893482804298,26.3846187591553,3,0.506378173828125,30.0237407684326
55,0.0543674230575562,30,2,-1.67576599121094,31.7230014801025
56,0.0595141649246216,29.2213001251221,2,1.16691589355469,31.0681114196777
57,0.0566098690032959,29.6764602661133,2,2.21037292480469,31.4552383422852
58,0.0569655895233154,28.5670604705811,2,1.38395690917969,30.2907257080078
59,0.0594638586044312,27,2,1.72064208984375,28.7048969268799
60,NaN,28.5279884338379,1,0,28.5279884338379
61,NaN,33.6137237548828,1,0,33.6137237548828
62,NaN,27.4344444274902,1,0,27.4344444274902
63,NaN,25.3734493255615,1,0,25.3734493255615
64,NaN,31.7425651550293,1,0,31.7425651550293
