CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity,AverageLength
1,-9.46442305576056e-05,33,60,-0.238865405321121,29.7459468841553
2,-0.00373150501400232,35.3298759460449,60,-0.0863812789320946,36.8427696228027
3,-0.00528989639133215,28.844409942627,60,0.0366785675287247,32.1181411743164
4,-0.000223859155084938,41.5766220092773,60,-0.028312174603343,33.7506828308105
5,0.00740292062982917,25.646240234375,60,-0.087913766503334,36.4218406677246
6,0.00481310300529003,24.9339637756348,60,-0.357267767190933,34.5452499389648
7,-0.0019630512688309,27.0000038146973,60,-0.212242126464844,30.5501079559326
8,-0.00277450890280306,25.491174697876,60,-0.0153528852388263,25.7437763214111
9,0.00224287109449506,27.2876415252686,60,-0.0991063416004181,29.9907321929932
10,-0.013848539441824,41.3174171447754,60,-0.313338726758957,30.2923698425293
11,-0.00863615237176418,45.1135063171387,60,0.303944408893585,32.1041450500488
12,0.00157285132445395,36.7837142944336,60,0.040006510913372,30.022159576416
13,0.00186188751831651,20.3914642333984,59,-0.0181383043527603,27.387767791748
14,0.0122735034674406,17.7504062652588,56,0.184192657470703,25.1413536071777
15,0.0122169917449355,22.8013725280762,54,-0.116389520466328,31.3219165802002
16,0.0127084711566567,26.2171745300293,47,0.0284962747246027,35.3191337585449
17,0.0151201905682683,21.0190372467041,46,0.278407871723175,30.6770915985107
18,0.014182310551405,19,39,-0.101828940212727,25.3823642730713
19,0.0227717068046331,17.7087516784668,26,-0.295945376157761,25.8210430145264
20,0.0109245469793677,18,23,0.196270480751991,20.8106536865234
21,0.0174438953399658,25.9378261566162,22,0.658185064792633,31.4680061340332
22,0.0165296103805304,26.5822811126709,19,-0.0558535940945148,31.2624092102051
23,0.0130987912416458,19.5961818695068,16,-0.0588712692260742,21.7558479309082
24,0.0150027461349964,24.6841583251953,13,0.375558704137802,26.6877918243408
25,0.00705918902531266,22.8078899383545,13,0.0414898209273815,23.8534927368164
26,0.0155378179624677,18.0426845550537,9,0.169979512691498,19.5924701690674
27,0.0177172422409058,19.3037204742432,2,0.200759887695313,19.6518592834473
28,NaN,26.0000019073486,1,0,26.0000019073486
