CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0,1,25.938386917114258,25.938386917114258,0.0,1,NaN,1.1071487694436986
1,2,26.000001907348633,26.000001907348633,0.0,1,NaN,1.1760051989018607
2.0,3.0,27.28240966796875,27.28240966796875,-0.882,3.0,0.124,1.2036224457220914
3,3,14.310833930969238,14.310833930969238,0.0,1,NaN,1.1071487694436986
4,4,14.758047103881836,14.758047103881836,0.0,1,NaN,1.1071487694436986
5.0,5.0,16.124515533447266,16.124515533447266,0.108,8.0,0.258,1.0516501568021286
6.0,6.0,31.62277603149414,31.62277603149414,0.063,11.0,0.995,2.819842047543543
7.0,3.0,28.284271240234375,28.284271240234375,0.049,6.0,0.709,2.356194490192345
8,7,31.218353271484375,31.218353271484375,0.0,1,NaN,2.3036114397331664
9,8,33.941123962402344,33.941123962402344,0.0,1,NaN,2.356194490192345
10,9,36.21275329589844,36.21275329589844,0.0,1,NaN,2.418613326926486
11,10,39.806739807128906,39.806739807128906,0.0,1,NaN,2.4329663670424404
12.0,11.0,26.690378189086914,26.690378189086914,0.208,2.0,0.196,2.574863451505443
13.0,12.0,21.510196685791016,21.510196685791016,-0.158,13.0,1.355,2.2655345611526223
14.0,6.0,48.126739501953125,48.126739501953125,0.149,4.0,0.763,2.3743742264786345
15.0,13.0,54.44721603393555,54.44721603393555,-0.048,5.0,-0.259,2.356194490192345
16.0,14.0,29.96636962890625,29.96636962890625,0.486,3.0,0.328,2.697173385625076
17,14,18.72658348083496,18.72658348083496,0.0,1,NaN,2.78282197786257
18,6,30.472780227661133,30.472780227661133,0.0,1,NaN,2.2655345611526223
19.0,6.0,37.999996185302734,37.999996185302734,0.276,4.0,0.65,2.49809150807632
20,15,41.10713195800781,41.10713195800781,0.0,1,NaN,2.276364505462511
21,16,20.066070556640625,20.066070556640625,0.0,1,NaN,2.9229236922766946
22,17,33.4138069152832,33.4138069152832,0.0,1,NaN,2.2286848672023867
23,18,45.449039459228516,45.449039459228516,0.0,1,NaN,2.276364438883484
24.0,19.0,51.62107849121094,51.62107849121094,0.08,2.0,0.53,2.6011730862304447
25.0,20.0,22.553356170654297,22.553356170654297,-0.456,4.0,0.727,2.9441971562223026
26.0,21.0,36.086368560791016,36.086368560791016,-0.104,5.0,1.084,2.2513176085683706
27.0,22.0,50.32415771484375,50.32415771484375,0.102,2.0,0.557,2.299651119455137
28.0,6.0,17.441329956054688,17.441329956054688,1.06,6.0,0.526,2.677945096238595
29.0,19.0,34.94792938232422,34.94792938232422,-0.189,3.0,0.86,2.6476513059438074
30.0,22.0,27.577163696289062,27.577163696289062,0.167,4.0,0.771,2.356194490192345
31.0,6.0,25.992860794067383,25.992860794067383,0.181,5.0,0.84,2.723368238107095
32.0,23.0,36.87791442871094,36.87791442871094,0.113,3.0,0.54,2.429235012039131
33.0,24.0,31.304948806762695,31.304948806762695,0.201,4.0,0.404,2.677945096238595
34.0,20.0,19.887920379638672,19.887920379638672,0.31,3.0,0.427,2.896614057551693
35.0,19.0,23.241243362426758,23.241243362426758,0.088,3.0,0.285,2.736700821472359
36.0,21.0,36.18792724609375,36.18792724609375,0.128,2.0,0.32,2.50508443646665
37.0,25.0,27.761341094970703,27.761341094970703,0.251,2.0,0.276,2.654693502814304
38,22,26.399417877197266,26.399417877197266,0.0,1,NaN,2.701750161116432
39,22,21.63330841064453,21.63330841064453,0.0,1,NaN,2.553589987559836
40,12,25.920394897460938,25.920394897460938,0.0,1,NaN,2.701750161116432
41,23,24.12946128845215,24.12946128845215,0.0,1,NaN,2.55359012071789
42.0,3.0,14.0,27.254009246826172,0.136,15.0,0.448,1.2220252883287024
43,3,27.798931121826172,29.143245697021484,0.0,1,NaN,1.2120256510676728
44.0,6.0,43.54863739013672,33.09380340576172,0.536,4.0,0.623,2.677945096238595
45.0,6.0,36.671512603759766,34.94611358642578,0.172,3.0,0.365,2.55359012071789
46.0,6.0,25.04680633544922,37.400001525878906,1.148,6.0,0.358,2.49809150807632
47,12,93.40641784667969,24.748737335205078,0.0,1,NaN,2.356194490192345
48.0,6.0,39.44233703613281,52.38840866088867,0.021,9.0,0.221,2.372586446438864
49.0,14.0,24.69434356689453,33.51311492919922,0.756,9.0,0.626,2.7187387320261562
50.0,6.0,26.597946166992188,42.18998718261719,0.552,5.0,0.713,2.594803737009357
51.0,19.0,25.00305938720703,56.91735076904297,-0.053,2.0,0.33,2.6344941583153525
52.0,20.0,19.28989028930664,26.140121459960938,0.529,3.0,0.292,2.9229236922766946
53.0,21.0,30.798564910888672,39.824344635009766,0.442,2.0,0.319,2.459276201504524
54.0,22.0,31.063207626342773,55.890052795410156,1.052,4.0,0.955,2.3737365991346424
55,22,26.671791076660156,31.063207626342773,0.0,1,NaN,2.553589987559836
56,19,26.0,37.657073974609375,0.0,1,NaN,2.6476513059438074
57,22,22.837507247924805,34.99460983276367,0.0,1,NaN,2.48054946571305
58,23,23.558786392211914,41.86586380004883,0.0,1,NaN,2.4526682996287925
