TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,1.1071487694436986,1.0,123.20001983642578,92.89999389648438,25.938386917114258,7.602630615234375,0.0,,,,
2.0,1.0,1.1760051989018607,2.0,124.60355377197266,93.74852752685547,26.000001907348633,7.000000953674316,0.0,,,,
3.0,2.0,1.2036224457220914,3.0,127.2319564819336,93.60309600830078,27.28240966796875,6.892397880554199,0.0,42.0,3.0,-0.006,-3.529
4.0,2.0,1.2220252883287024,3.0,102.94160461425781,95.33941650390625,27.254009246826172,7.005732536315918,0.0,42.0,3.0,0.378,0.884
5.0,2.0,1.2120256510676728,3.0,108.04794311523438,96.29452514648438,29.143245697021484,6.9054274559021,0.0,42.0,3.0,,
6.0,3.0,1.1071487694436986,3.0,115.0,103.50000762939453,14.310833930969238,6.7082037925720215,2.0,,,,
6.0,42.0,1.5707963267948966,3.0,108.5,86.0,14.0,7.0,2.0,43.0,7.0,0.062,0.063
7.0,4.0,1.1071487694436986,4.0,116.90000915527344,101.79999542236328,14.758047103881836,7.155416965484619,0.0,,,,
7.0,42.0,1.3258177307567967,3.0,110.6764907836914,83.70588684082031,14.309601783752441,6.790997505187988,2.0,43.0,7.0,0.338,-0.231
8.0,5.0,1.0516501568021286,5.0,116.16152954101562,102.90768432617188,16.124515533447266,7.31804895401001,0.0,,,-0.074,1.031
8.0,42.0,1.5707963267948966,3.0,109.0,84.0,16.0,8.0,2.0,43.0,7.0,0.268,1.071
9.0,5.0,1.0516501568021286,5.0,123.12307739257812,102.71537780761719,15.752409934997559,7.194014072418213,0.0,,,0.385,0.255
9.0,42.0,1.4601391871829597,3.0,116.05487823486328,83.49391174316406,17.337753295898438,7.730207920074463,2.0,43.0,7.0,0.132,0.294
10.0,5.0,0.7853981633974483,5.0,124.75000762939453,102.75,17.677669525146484,8.485280990600586,0.0,,,0.668,-0.77
10.0,42.0,1.5707963267948966,3.0,117.5,84.0,18.0,9.0,2.0,43.0,7.0,0.777,-0.543
11.0,5.0,0.4636475906407117,5.0,122.60001373291016,99.29999542236328,21.0190372467041,8.944271087646484,0.0,,,0.196,-0.068
11.0,42.0,1.92956700252212,3.0,116.33561706542969,80.9383544921875,21.886693954467773,7.841756820678711,2.0,43.0,7.0,0.253,0.165
12.0,5.0,3.141592653589793,5.0,122.0,99.5,22.0,9.0,0.0,,,0.4,-0.063
12.0,42.0,1.9195673319715771,3.0,116.95985412597656,81.48540496826172,23.153093338012695,8.116397857666016,2.0,43.0,7.0,0.113,0.294
13.0,5.0,0.0,5.0,122.0,99.0,24.0,8.0,0.0,,,0.291,0.245
13.0,42.0,1.892546832972606,3.0,118.5999984741211,81.70000457763672,23.71708106994629,7.905693054199219,2.0,43.0,7.0,0.426,0.134
14.0,5.0,2.9996955691267906,5.0,122.5999984741211,100.20000457763672,25.45584487915039,8.7681245803833,0.0,,,0.198,0.233
14.0,42.0,1.9655874546879324,3.0,118.89349365234375,82.45562744140625,25.84615707397461,8.153847694396973,2.0,43.0,7.0,0.362,0.351
15.0,5.0,2.9996955691267906,5.0,124.09998321533203,100.19999694824219,26.4457950592041,8.9095458984375,0.0,,,,
15.0,42.0,2.003204139032111,3.0,121.25365447998047,82.11707305908203,27.657840728759766,8.381163597106934,2.0,43.0,7.0,1.462,-0.297
16.0,6.0,2.819842047543543,6.0,122.5999984741211,97.80000305175781,31.62277603149414,10.119288444519043,0.0,44.0,14.0,0.294,0.082
16.0,42.0,2.1730836562798213,3.0,119.98806762695312,81.33553314208984,34.97027587890625,7.879899978637695,2.0,43.0,7.0,0.563,0.138
17.0,6.0,2.677945096238595,6.0,123.60001373291016,97.19999694824219,33.09380340576172,9.838699340820312,0.0,44.0,14.0,0.37,0.503
17.0,42.0,2.196281320692038,3.0,120.08416748046875,82.42190551757812,37.786659240722656,8.377018928527832,2.0,43.0,7.0,0.6,0.441
18.0,6.0,2.55359012071789,6.0,126.07691192626953,98.11539459228516,34.94611358642578,8.59785270690918,0.0,44.0,14.0,0.491,0.15
18.0,42.0,2.228684933781414,3.0,121.21344757080078,84.6649398803711,40.78714370727539,7.912848949432373,2.0,43.0,7.0,0.683,0.085
19.0,6.0,2.49809150807632,6.0,127.50000762939453,97.49999237060547,37.400001525878906,9.0,0.0,44.0,14.0,0.539,-0.07
19.0,42.0,2.220666821529458,3.0,121.72820281982422,84.67343139648438,44.202919006347656,8.15269947052002,2.0,43.0,7.0,0.686,0.08
20.0,6.0,2.4526682996287925,6.0,126.78866577148438,97.85050964355469,40.09496307373047,9.036123275756836,0.0,44.0,14.0,1.739,-0.57
20.0,42.0,2.240435266564034,3.0,121.4098129272461,85.82444763183594,47.63077926635742,8.39582347869873,2.0,43.0,7.0,,
21.0,6.0,2.356194490192345,6.0,125.0,95.50000762939453,48.790367126464844,9.192387580871582,0.0,44.0,14.0,0.835,-0.112
21.0,7.0,2.356194490192345,3.0,109.00001525878906,98.00000762939453,28.284271240234375,7.0710673332214355,42.0,,,0.435,-0.167
