CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,,80.05933821806734,111.36722111168197,-26.938,2.0,0.193,-3.129075534868038
2,,94.23768545701216,,,1,NaN,-1.5747432931545526
3,3.0,152.4054142138156,,,1,NaN,-1.537631167104278
4.0,4.0,92.01492758534944,121.79883094259381,-12.025,2.0,0.166,-1.5930621859954823
5.0,5.0,163.12026283228127,146.3838574333282,0.903,2.0,-0.077,-1.5407869635806566
6.0,6.0,33.937724952495465,38.0179516489884,0.442,3.0,0.051,-1.186006332375374
7,,83.38582081800604,,,1,NaN,-1.558055464591392
8.0,8.0,74.89377423146831,91.45662788161758,5.511,2.0,0.122,-1.5521674870662516
9.0,9.0,28.85366357132803,35.36538833255559,0.381,6.0,0.046,-0.6225551620552525
10.0,10.0,51.30455620407385,58.453590630703566,0.033,4.0,0.038,-2.9736208363293
11,11.0,34.268709023822375,,,1,NaN,-2.887078539968349
12.0,12.0,30.215962854100493,38.640914656728995,-0.145,5.0,0.064,-1.410321085086554
13,13.0,108.71688059315372,,,1,NaN,-1.5508929560003737
14.0,14.0,28.61336706095011,44.338546459020904,0.452,34.0,0.016,-2.0250804891479715
15.0,15.0,28.746027887542212,39.91147318146689,0.32,7.0,0.062,-1.6760162268124463
16.0,16.0,34.27332281943103,32.91948333884966,0.109,37.0,-0.001,-1.5471294278830872
17,17.0,155.53628870348797,,,1,NaN,-1.560980891749856
18.0,,92.42239993136458,85.8301462855288,-6.198,2.0,-0.051,-1.556651125876704
19,,93.46286184164332,,,1,NaN,-1.5188165174660095
20.0,20.0,214.07446415141155,219.4078970027689,-7.132,2.0,0.016,-1.5661544619206156
21.0,21.0,18.14436922410452,33.73565895821638,0.291,13.0,0.061,-2.1412694035776196
22.0,22.0,29.98634832359273,28.644552154998838,0.11,35.0,-0.002,-1.9715043921315298
23.0,23.0,86.72822741947735,136.69991108220484,-0.598,3.0,0.151,-1.5503747127631182
24,,42.754552161338616,,,1,NaN,-1.4871122582696668
25.0,,165.2954958165316,108.18420507466641,3.346,2.0,-0.391,-3.0992377938263505
26.0,26.0,80.92436493397332,93.22232024250403,0.019,26.0,-0.012,-2.534967889830085
27.0,3.0,92.31432364674738,86.29002206743783,0.12,2.0,-0.047,-1.5263301426300115
28.0,3.0,65.90316958947982,106.21883529077199,-4.114,3.0,0.222,-1.521873104553145
29,332.0,72.11780780793755,,,1,NaN,-1.5329242268175887
30,332.0,25.956397631490216,,,1,NaN,-1.4526673052763484
31.0,11.0,17.59668079856158,26.21350738154914,0.574,7.0,0.064,-0.4972608895005442
32.0,11.0,18.062939602272728,26.212221235193407,0.084,11.0,0.048,-2.521088506531225
33.0,13.0,64.32957252700109,143.4756934726839,-4.766,3.0,0.304,-1.5391142765671244
34,17.0,39.55107473050944,,,1,NaN,-1.5318065988756224
35,13.0,36.25204329989967,,,1,NaN,-1.582131640193052
36,17.0,147.6630270409006,,,1,NaN,-1.5414807628895533
37.0,,6.906710879824218,7.376561464310628,0.106,2.0,0.043,-1.8419106372796632
38,,20.96704191902801,,,1,NaN,-1.5677400397459365
39,4.0,68.03345946339363,,,1,NaN,-1.5697232107930004
40,4.0,132.41148282391237,,,1,NaN,-1.5762881094866978
41,5.0,72.15035803134931,,,1,NaN,-1.5367792679514076
42,8.0,137.13073114854743,,,1,NaN,-1.5495127648264275
43,5.0,56.78250385025169,,,1,NaN,-1.5790513896541347
44,8.0,28.90988038070321,,,1,NaN,-1.6623873951212362
45.0,17.0,91.06080627933156,69.58104741071867,-2.209,2.0,-0.213,-1.5395649185240563
46.0,17.0,80.15617941448576,96.975474286519,-3.363,2.0,0.117,-1.5483705469241
