CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,-0.0200480799191408,353,44,0.7466308603969,300.522727272727,0.0352206165964638
2,0.00779807106917119,28,3,12.7173266687233,28,-0.00673980467996984
3,0.00167210841761973,10,38,-2.04196105144424,10.7894736842105,-0.275768934288206
4,0.26616923207259,9,2,-45.5086910445477,14.5,-0.0235595763591291
5,0,9,1,NaN,NaN,NaN
6,-0.0586695930138508,23,12,-6.55534019955937,14.9166666666667,0.498935633304483
7,0,10,1,NaN,NaN,NaN
8,0,5,1,NaN,NaN,NaN
9,0,9,1,NaN,NaN,NaN
10,0,8,1,NaN,NaN,NaN
11,0.033849845602826,56,14,-4.81527106265584,68.2142857142857,-1.48494433770247
12,0,29,2,34.8794587571731,29,1.53531911170667
13,0.17687608368739,10,2,-36.6345827166886,13.5,1.23524865872729
14,0,8,1,NaN,NaN,NaN
15,0.305430243958052,6,2,-33.9802972748716,10.5,-0.685587262719315
16,-0.0113985098639001,20,3,-18.5269233232645,19.6666666666667,-1.27568374119372
17,0.23564683423076,36,2,61.0686505663731,54.5,-1.49946306688324
18,-0.0108888181966199,12,33,-1.34290756865579,10.5757575757576,1.29369785445403
19,0.0317700599347749,30,2,-16.115865403149,31.5,-1.14610930456486
20,-0.178577679824761,78,9,-3.42100586105404,66.8888888888889,-1.22585560554615
21,0,8,3,-16.646006169922,7.66666666666667,-0.497124856000292
22,0.147883865833484,7,4,-11.6352928153741,18.75,-0.567990363984685
23,0.00984963209077422,17,11,14.9883171152901,17.8181818181818,1.37857137773852
24,0,40,1,NaN,NaN,NaN
25,-0.0290037923298766,24,2,90.2728214614688,23,1.46516698299583
26,0.156667876415245,5,2,-13.1514974467457,6.5,-0.363938625935261
27,0.0149207501347852,10,21,-1.8692582716631,18.3333333333333,-0.166761523864163
28,0.124359063985649,8,3,-5.25625950979421,12,1.06854930483529
29,-0.0719828083117791,52,20,-1.52729511341159,49.35,-0.933527312150758
30,0,5,1,NaN,NaN,NaN
31,0.0397351705741663,26,4,5.08030760819902,29.75,-0.0643894186212323
32,-0.00952640230665806,18,4,-3.58544236589151,17,-0.953933874757384
33,0.0546005506149963,20,13,1.92340378241466,35.3076923076923,-0.00792666461807907
34,0,31,1,NaN,NaN,NaN
35,0,8,1,NaN,NaN,NaN
36,0.0466567269752041,22,24,-0.148823406945703,62.9583333333333,0.370282891118417
37,0.0414588639293186,11,7,-0.695424936554207,17.1428571428571,-0.540526843157148
38,-0.0350214076309826,13,7,27.968982740613,26.4285714285714,-0.219474061124647
39,0.0525135077733159,27,4,28.307466973556,32.25,-1.43147909922177
40,0.0170716855392549,26,32,1.44828044650662,39.5625,1.10056158615482
41,0,11,1,NaN,NaN,NaN
42,-0.00161041871518066,35,12,19.2556477693762,31.3333333333333,1.49380421563144
43,0,10,1,NaN,NaN,NaN
44,0.0869732599166258,16,6,1.93072199077603,25.3333333333333,-1.35778661392116
45,0.00537821009479759,15,8,3.06380337217694,14.625,0.689057419801217
46,0.0576437548239075,25,6,16.6495431222981,33.5,1.46173313152792
47,0,6,1,NaN,NaN,NaN
48,0.39520788855258,11,2,12.0159554975057,23.5,-0.0296727364069771
49,0.100502906983517,8,5,-49.0743533132904,14.2,0.553191501018344
50,-0.00912834373510728,69,9,6.33219882661167,58.5555555555556,-1.55792987694761
51,-0.000974758883646398,29,24,2.8782130772486,29.0416666666667,-1.53401452394903
52,0.006736069090715,16,6,43.9224356944931,21.1666666666667,-1.45397164655369
53,0,8,1,NaN,NaN,NaN
54,0.0495874558476022,28,3,103.173242458336,35,-0.51017922366905
55,0,15,4,14.6632964237235,16,-0.470740629185968
56,-0.206346402802075,13,2,26.9754360602889,10,-1.47964154074833
57,-0.0792610986530517,50,3,28.017073249345,45,1.5462368455862
58,0.213646926034361,13,3,20.4010827391478,20.6666666666667,-0.263420060991515
59,0.176234111997643,8,5,14.6566299031566,32.2,0.303024099168949
60,-0.0715741109264697,69,3,112.898785154329,59,-1.53790513149915
61,0.0513835599424195,36,2,57.103446190456,39,-0.016758097243773
62,0,18,4,23.5000884657085,16.75,-0.0433096932357932
63,0.16803803786664,54,4,27.3069450895363,87,-0.748542698829092
64,0.0747716081380473,20,3,44.8034724829216,26.6666666666667,0.410846287402644
65,0.0925454581039004,10,6,23.0665284268478,13.3333333333333,0.333455189642343
66,0.0373858040690237,20,6,21.294854748323,37.6666666666667,-1.4382338208665
67,-0.0154795643565452,15,22,6.27437487786061,12.4090909090909,-0.843780761500753
68,0,29,1,NaN,NaN,NaN
69,0,26,35,8.38127495836141,26.0857142857143,0.813952711415961
70,0.0553015584684933,17,12,25.3091768121012,29.0833333333333,0.98104161920896
71,0.275559524394823,7,2,66.1775076857337,11.5,-0.281673854317929
72,0,22,2,79.1418792782661,22,-1.40931520013689
73,0,7,1,NaN,NaN,NaN
74,0,18,1,NaN,NaN,NaN
75,0.0204632130835673,22,9,17.0754469929655,19,-0.756606735059059
76,0.171893343609824,41,4,7.722705180766,65.25,1.41502732448396
77,-0.142634196927199,19,3,135.004077938232,15.6666666666667,-0.491259986118666
78,-0.00810318030195353,12,15,28.3445358895393,11.4,-0.243253533738128
79,-0.0500972060317822,353,45,7.89039602921493,313.888888888889,0.0262784488079039
80,-0.0164684382563826,14,3,18.5510769743847,15.3333333333333,0.508924175911208
81,0,15,1,NaN,NaN,NaN
82,0.26754951207243,18,3,38.1119767652826,70,-0.534140335512783
83,0,21,1,NaN,NaN,NaN
84,0.0792610986530517,7,3,-29.0203823214602,21.3333333333333,-0.458529051922933
85,0,6,1,NaN,NaN,NaN
86,0,4,1,NaN,NaN,NaN
87,0,5,1,NaN,NaN,NaN
88,0,8,1,NaN,NaN,NaN
89,0,8,1,NaN,NaN,NaN
90,0,8,1,NaN,NaN,NaN
91,-0.0290037923298766,12,2,-23.3851088167603,11.5,-0.921868445376908
92,-0.154032706791099,36,3,-7.59256243688144,24.6666666666667,0.432027483351253
93,0,9,1,NaN,NaN,NaN
94,0,13,1,NaN,NaN,NaN
