CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0.0,1.0,23.0,23.0,0.249,28.0,0.008,3.141592653589793
1.0,2.0,23.322336196899414,23.322336196899414,0.101,33.0,0.007,2.589937609065564
2.0,3.0,22.360679626464844,22.360679626464844,0.001,33.0,0.009,0.4636475906407117
3.0,4.0,23.0,23.0,0.377,31.0,0.008,0.6435010789344459
4.0,5.0,21.63330841064453,21.63330841064453,-0.145,30.0,0.008,0.5880025994509304
5.0,6.0,21.466251373291016,21.466251373291016,-0.033,32.0,0.008,1.1071487694436986
6.0,1.0,22.76839828491211,22.76839828491211,-0.226,26.0,0.009,2.819842047543543
7.0,5.0,23.33452033996582,23.33452033996582,-0.114,21.0,0.011,0.7853981633974483
8.0,4.0,20.50609588623047,20.50609588623047,-0.009,23.0,0.01,0.7853981633974483
9.0,6.0,21.920310974121094,21.920310974121094,0.175,21.0,0.009,0.7853981633974483
10.0,2.0,20.172332763671875,20.172332763671875,-0.305,30.0,0.01,2.8753405936060856
11.0,3.0,23.600004196166992,23.600004196166992,0.226,20.0,0.01,0.6435010789344459
12.0,5.0,16.855907440185547,16.855907440185547,-0.101,22.0,0.011,0.6202494855101548
13.0,3.0,18.859806060791016,18.859806060791016,-0.005,18.0,0.01,0.5880025994509304
14.0,6.0,17.565488815307617,17.565488815307617,0.18,20.0,0.011,1.1525720444702534
15.0,1.0,19.72152328491211,19.72152328491211,0.304,19.0,0.01,2.6224464835970247
16.0,1.0,25.27433967590332,25.27433967590332,0.018,18.0,0.012,2.863292985466785
17.0,4.0,20.50609588623047,20.50609588623047,0.32,19.0,0.01,0.7853981633974483
18.0,6.0,21.466251373291016,21.466251373291016,-0.354,18.0,0.01,1.1071487694436986
19.0,2.0,20.124608993530273,20.124608993530273,0.276,17.0,0.009,2.677945096238595
20.0,4.0,20.613937377929688,20.613937377929688,0.638,17.0,0.011,0.8760580924371709
21.0,3.0,23.309829711914062,23.309829711914062,0.438,15.0,0.012,0.11710874722119476
22.0,2.0,23.040882110595703,23.040882110595703,-0.297,10.0,0.011,2.896614057551693
23.0,3.0,18.857622146606445,18.857622146606445,-1.064,3.0,0.009,0.21109333327625876
24.0,5.0,31.529630661010742,31.529630661010742,-0.267,2.0,-0.002,2.896614057551693
25.0,3.0,19.091880798339844,19.091880798339844,0.006,2.0,-0.003,0.7853981633974483
26.0,3.0,19.40000343322754,19.40000343322754,-0.592,2.0,0.002,0.6435010789344459
27.0,5.0,22.540390014648438,22.540390014648438,-0.354,2.0,-0.001,0.6610431878767433
28,1,22.200349807739258,22.200349807739258,0.0,1,NaN,2.988943322541705
29,3,19.711000442504883,19.711000442504883,0.0,1,NaN,0.5667292020843502
30.0,1.0,20.124610900878906,23.0,0.191,26.0,0.01,3.141592653589793
31.0,1.0,22.35251808166504,24.0,0.502,19.0,0.009,3.141592653589793
32.0,2.0,24.721256256103516,23.02005958557129,0.037,23.0,0.01,2.55359012071789
33.0,2.0,23.25510597229004,23.830766677856445,0.26,17.0,0.01,2.5213431015006114
34.0,3.0,24.149534225463867,23.25510597229004,-0.318,24.0,0.012,0.4636475906407117
35.0,3.0,24.589778900146484,23.752288818359375,-0.091,13.0,0.011,0.4266274876702246
36.0,3.0,17.803810119628906,24.149532318115234,-1.479,3.0,0.003,0.4636475906407117
37.0,4.0,23.853668212890625,23.297405242919922,-0.458,25.0,0.011,0.5880025994509304
38.0,4.0,28.315696716308594,24.352798461914062,0.246,17.0,0.009,0.5404194674908075
39.0,5.0,18.859806060791016,22.188007354736328,-0.104,41.0,0.014,0.5880025328719031
40.0,5.0,37.6553840637207,22.450284957885742,-0.68,2.0,0.004,0.5191461034137409
41.0,6.0,21.476116180419922,21.913463592529297,0.035,23.0,0.011,1.1071487694436986
42.0,6.0,21.920310974121094,22.360679626464844,0.022,18.0,0.009,1.1071487694436986
43.0,1.0,18.0,22.76839828491211,-0.383,19.0,0.01,2.819842047543543
44.0,5.0,26.248584747314453,22.62741470336914,0.08,20.0,0.012,0.7853981633974483
45.0,5.0,24.585464477539062,24.913646697998047,-0.263,2.0,0.005,0.844154021789267
46.0,4.0,21.466251373291016,21.996397018432617,0.251,19.0,0.009,0.8329812620680576
47.0,6.0,20.589765548706055,21.920310974121094,0.067,20.0,0.009,0.7853981633974483
48.0,2.0,21.516094207763672,20.858062744140625,-0.901,10.0,0.011,2.896614057551693
49.0,3.0,22.075834274291992,24.412004470825195,-0.025,18.0,0.012,0.6202494855101548
50.0,3.0,22.00705337524414,24.188560485839844,-0.302,2.0,-0.0,0.6287962352384916
51.0,3.0,16.6419677734375,19.969207763671875,-0.344,2.0,0.002,0.5880025994509304
52,1,22.840526580810547,26.19384765625,0.0,1,NaN,2.896614057551693
53,3,18.769041061401367,24.419818878173828,0.0,1,NaN,0.11710874722119476
