Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,9,1,IdentifyPrimaryObjects,9,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,9,2,IdentifyPrimaryObjects,9,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,10,1,IdentifyPrimaryObjects,10,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,10,2,IdentifyPrimaryObjects,10,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,11,1,IdentifyPrimaryObjects,11,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,11,2,IdentifyPrimaryObjects,11,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,12,1,IdentifyPrimaryObjects,12,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,12,2,IdentifyPrimaryObjects,12,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,13,1,IdentifyPrimaryObjects,13,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,13,2,IdentifyPrimaryObjects,13,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,14,1,IdentifyPrimaryObjects,14,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,14,2,IdentifyPrimaryObjects,14,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,14,2,IdentifyPrimaryObjects,14,3
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,14,3,IdentifyPrimaryObjects,14,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,15,1,IdentifyPrimaryObjects,15,2
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,15,1,IdentifyPrimaryObjects,15,3
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,15,2,IdentifyPrimaryObjects,15,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,15,2,IdentifyPrimaryObjects,15,3
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,15,2,IdentifyPrimaryObjects,15,4
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,15,3,IdentifyPrimaryObjects,15,1
MeasureObjectNeighbors,10,Neighbors,IdentifyPrimaryObjects,15,3,IdentifyPrimaryObjects,15,2
