TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1,1,1,0.883576121097074,198.113493762328,48.3171954101818,13,5.80085499517743,0,0,0,0.0,-1.05
1,2,2,0.423265360546356,146.044123705077,85.2946300807626,42,8.545766588798,0,4,5,0.046,-1.289
1,3,3,0.668613238803408,227.797709756004,108.082391827193,12,5.39390747211275,0,0,0,0.0,-1.518
2,1,1,0.845501507360912,197.610018072768,43.5192041439047,13,6.37665144714911,0,0,0,0.0,-0.545
2,2,2,0.410816911824603,146.38967920087,80.7716025559193,45,8.86766071949203,0,4,5,0.029,-0.657
2,3,3,0.633676375849009,227.491016241099,103.336872376192,12,5.82255298641838,0,0,0,0.0,-0.197
3,1,1,0.856784135907254,196.694694146732,43.869565355701,13,5.95204980377432,0,0,0,0.0,-0.82
3,2,2,0.414270920492193,144.9,81.42,47,8.63511541672887,0,4,5,0.054,-1.295
3,3,3,0.622458636573807,226.9,103.92,12,5.97089971121416,0,0,0,-0.058,-1.696
4,1,1,0.813236544992372,196.786742515179,37.3335753188476,13,6.06626461197248,0,0,0,0.0,-0.502
4,2,2,0.404114639145987,146.15,74.99,51,8.67499993252958,0,4,5,0.026,-0.377
4,3,3,0.595340883434723,227.063978691289,97.270395512016,11,5.80164519164802,0,0,0,0.0,-0.671
5,1,1,0.832983374447053,196.253693637198,36.0863648715669,13,5.96830267054156,0,0,0,0.0,-0.174
5,2,2,0.404956697814748,145.96,74.12,53,8.60287557368604,0,4,5,0.06,-1.021
5,3,3,0.625346839732586,226.46,96.12,11,5.89667563840633,0,0,0,0.0,-1.085
6,1,1,0.888350033968537,196.491983909105,33.2353466556139,13,5.87575467536351,0,0,0,0.0,0.044
6,2,2,0.404507994578422,145.576783254668,71.4603519273595,58,8.86247462687741,0,4,5,0.034,0.532
6,3,3,0.654581740768491,226.075586254781,92.8166513226015,11,5.52544675122021,0,0,0,0.058,0.828
7,1,1,0.8357750287999,196.483790286967,33.6743932419606,13,6.28044347421558,0,0,0,0.0,-1.185
7,2,2,0.403707227762639,145.926609617938,72.5537793765528,61,8.81043890686715,0,4,5,,
7,3,3,0.687159801413663,226.759353333958,94.4136974598994,12,5.57884190107232,0,0,0,0.0,-1.756
8,1,1,0.835491186396888,195.182967160889,30.6300004391274,13,6.29102349479088,0,0,0,0.0,-0.502
8,3,3,0.718655002463461,225.430813550498,90.7063459598089,12,6.02328288853686,0,0,0,0.0,-0.676
8,4,2,0.310003961677756,129.76,62.33,33,8.68643131077504,2,9,10,0.02,-0.996
8,5,2,0.467436691944219,160.206363122472,75.0552997179258,36,8.47776932168134,2,12,13,0.018,0.073
9,1,1,0.906462028255599,194.374405039907,30.9228714504362,13,6.55495704862193,0,0,0,0.0,-0.527
9,3,3,0.627724692391472,224.176347638308,91.1046829505588,12,6.05416521817265,0,0,0,-0.058,-0.403
9,4,2,0.300973782132784,127.992475868038,62.5517748219978,34,8.65809288047653,2,9,10,0.091,0.671
9,5,2,0.467798350458238,159.916281611721,75.9254611342116,37,8.73756985106016,2,12,13,0.116,-0.789
9,6,4,0.0240350658945434,154.47,1.7,12,2.70182876456891,0,0,0,,
10,1,1,0.945371115805304,193.591921846562,30.8073638970286,13,6.15077434686205,0,0,0,0.0,0.361
10,3,3,0.73428567123562,223.58381667133,90.9561262551209,11,6.00211390031335,0,0,0,0.058,0.589
10,4,2,0.160138747890045,129.216669825204,62.3338749940126,39,8.62888538561165,2,9,10,0.049,0.744
10,5,2,0.361222900316641,158.320127717152,76.5168020084439,44,8.15583717463622,2,12,13,0.03,-0.742
10,7,5,-1.53001930221782,256.330765725077,74.9208312676735,17,1.62516511368532,0,0,0,0.0,0.013
11,1,1,0.889925753780136,194.0067526333,31.6362223527786,13,6.15808072291073,0,0,0,0.0,-1.415
11,3,3,0.660372283968993,224.104881961591,92.0167054554612,12,5.98591528551957,0,0,0,-0.058,-1.751
11,4,2,0.143509494450119,130.072122507583,63.1282114705599,42,8.30867747483813,2,9,10,0.075,0.112
11,5,2,0.3344882772949,156.702428775976,77.2931323630661,46,8.1917362247237,2,12,13,0.056,-2.869
11,7,5,-1.5145536283125,256.266213051636,75.2115812036897,17,1.70969234050536,0,0,0,-0.965,-2.205
11,8,6,-1.37189647348951,259.957097865935,64.7335506592891,8,3.93385035937594,0,0,0,0.079,-1.808
12,1,1,0.860308716793755,192.203898260825,29.4509780274091,13,6.16021552085034,0,0,0,0.0,-0.13
12,3,3,0.700809187421709,222.207581811532,89.7121603220444,11,5.48786011740233,0,0,0,0.058,-0.033
12,4,2,0.14565476729794,130.884859705201,61.8194110848508,47,8.17871576876432,2,9,10,,
12,5,2,0.27884968301799,153.080499895151,74.9072546020239,50,8.3698662759963,2,12,13,0.039,-0.439
12,7,5,1.40564764938027,255.03,67.33,4,3.26758801592266,0,0,0,,
12,8,6,1.52287969797235,257.528278326963,63.2581525577936,9,3.61106194421101,0,0,0,-0.079,0.661
13,1,1,0.896055384571344,191.897218071501,30.1519131190557,13,5.75624506761494,0,0,0,0.049,0.19
13,3,3,0.678993043314538,221.785995138341,90.6191027458844,12,5.49961214282496,0,0,0,0.0,-0.538
13,5,2,0.274860459446421,151.852644177002,75.9032432384159,53,8.20792238465268,2,12,13,,
13,8,6,-1.4418640528944,258.703674579123,62.6240263150047,8,4.29097655119394,0,0,0,0.079,-0.398
13,9,2,0.264050698587681,119.6,60.73,25,8.17697737334761,4,20,21,0.051,0.339
13,10,2,0.157218618170827,143.178285868939,63.2361667055327,26,7.38483718210373,4,16,17,0.073,2.291
14,1,1,0.911087863261473,192.126443257189,30.5250854719217,14,5.84703602155668,0,0,0,-0.049,-1.391
14,3,3,0.780797066282198,221.112900703559,90.1332534554917,12,5.33284702392315,0,0,0,-0.058,-0.542
14,8,6,-1.5650075631506,258.325746844201,61.6444885831312,9,3.383789684473,0,0,0,-0.392,-0.932
14,9,2,0.192192150769824,120.224494429595,60.6207939343774,27,8.01769220947901,4,20,21,0.024,-1.074
