Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,1,IdentifyPrimaryObjects,2,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,1,2,IdentifyPrimaryObjects,2,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,1,IdentifyPrimaryObjects,4,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,3,2,IdentifyPrimaryObjects,4,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,1,IdentifyPrimaryObjects,5,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,4,2,IdentifyPrimaryObjects,5,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,1,IdentifyPrimaryObjects,6,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,5,2,IdentifyPrimaryObjects,6,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,1,IdentifyPrimaryObjects,7,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,6,2,IdentifyPrimaryObjects,7,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,7,1,IdentifyPrimaryObjects,8,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,7,2,IdentifyPrimaryObjects,8,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,8,1,IdentifyPrimaryObjects,9,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,8,2,IdentifyPrimaryObjects,9,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,9,1,IdentifyPrimaryObjects,10,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,9,2,IdentifyPrimaryObjects,10,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,10,1,IdentifyPrimaryObjects,11,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,10,2,IdentifyPrimaryObjects,11,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,11,1,IdentifyPrimaryObjects,12,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,11,2,IdentifyPrimaryObjects,12,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,12,1,IdentifyPrimaryObjects,13,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,12,2,IdentifyPrimaryObjects,13,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,13,1,IdentifyPrimaryObjects,14,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,13,2,IdentifyPrimaryObjects,14,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,14,1,IdentifyPrimaryObjects,15,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,14,2,IdentifyPrimaryObjects,15,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,15,1,IdentifyPrimaryObjects,16,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,15,1,IdentifyPrimaryObjects,16,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,15,2,IdentifyPrimaryObjects,16,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,16,1,IdentifyPrimaryObjects,17,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,16,2,IdentifyPrimaryObjects,17,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,16,3,IdentifyPrimaryObjects,17,3
TrackObjects,8,Parent,IdentifyPrimaryObjects,17,1,IdentifyPrimaryObjects,18,1
TrackObjects,8,Parent,IdentifyPrimaryObjects,17,2,IdentifyPrimaryObjects,18,2
TrackObjects,8,Parent,IdentifyPrimaryObjects,17,3,IdentifyPrimaryObjects,18,3
