CellId,birthLength,AverageLength,AverageVelocity,AverageOrientation,LifeHistory,GrowthRate
1.0,30.973072052002,45.251323938369765,-1.232,,16.0,0.033
2.0,30.0603504180908,49.17050622638903,-0.936,,19.0,0.034
3.0,33.5616188049316,60.03657150268555,-0.646,,19.0,0.025
4.0,40.0209884643555,41.3801031112671,-0.079,,4.0,0.011
5.0,38.0063056945801,47.70612208048502,-0.848,,6.0,0.033
6.0,49.7794189453125,51.6132034301758,-0.118,,5.0,0.007
7.0,16.0711441040039,27.324810468233544,0.49,,13.0,0.043
8.0,30.0222148895264,45.20932344289926,-0.754,,13.0,0.039
9.0,12.4528169631958,12.4528169631958,0.0,,1.0,
10.0,45.2824783325195,48.88771533966062,0.157,,4.0,0.029
11.0,25.7024116516113,26.49225759506225,0.105,,4.0,0.04
12.0,28.7465190887451,33.99634437561033,-0.303,,10.0,0.01
13.0,27.4268760681152,26.333878083662544,-0.461,,11.0,0.013
14.0,29.6351737976074,29.6351737976074,0.0,,1.0,
15.0,8.54153251647949,8.54153251647949,0.0,,1.0,
16.0,21.7750129699707,24.0148878097534,0.61,,2.0,0.062
17.0,16.5695896148682,16.5695896148682,0.0,,1.0,
18.0,12.169075012207,12.169075012207,0.0,,1.0,
19.0,18.6946086883545,18.6946086883545,0.0,,1.0,
20.0,11.4197540283203,11.4197540283203,0.0,,1.0,
21.0,47.6748657226562,48.79524739583329,-0.684,,3.0,0.011
22.0,15.5348634719849,15.5348634719849,0.0,,1.0,
23.0,25.3489665985107,24.49704456329345,-0.622,,4.0,-0.028
24.0,12.0945987701416,12.0945987701416,0.0,,6.0,0.0
25.0,38.2154083251953,41.48650455474855,-2.07,,4.0,0.02
26.0,34.1070556640625,35.86036777496335,-0.726,,4.0,0.02
27.0,23.7586822509766,23.3727893829346,-0.336,,2.0,-0.011
28.0,11.4624443054199,11.4624443054199,0.0,,1.0,
29.0,32.0718650817871,32.0718650817871,0.0,,1.0,
30.0,22.4632530212402,24.33268165588375,-0.123,,2.0,0.051
31.0,24.2337455749512,26.8565244674683,1.315,,2.0,0.065
32.0,,,,,2.0,
33.0,6.05101871490479,6.05101871490479,0.0,,1.0,
34.0,20.1893558502197,20.1893558502197,0.0,,1.0,
35.0,22.6573333740234,21.446480751037598,0.637,,2.0,-0.038
36.0,7.67937469482422,7.67937469482422,0.0,,1.0,
37.0,10.3496465682983,10.3496465682983,0.0,,1.0,
38.0,12.455265045166,12.455265045166,0.0,,1.0,
