CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.00224242961083325,10,39,-0.890221509008913,13.9487179487179,-1.06453768235423
2,0.0140154447431221,32,12,-0.97568851904455,41.0833333333333,-0.135512116955354
3,0,13,39,0.44468761859317,13.7948717948718,-0.330649204240555
4,0.0177804288913803,31,15,-1.63414702235464,44.5333333333333,-0.4202015533683
5,0,6,4,-6.30929522108794,6,-0.165617787050305
6,0.0675775180180274,4,2,-15.9478526965277,5,0.0810485523980772
7,0,5,3,-6.50499167177955,5.33333333333333,0.590558445965962
8,0,6,1,NaN,NaN,NaN
9,0.0202156247074099,29,23,-0.548259299073168,75.304347826087,0.0109216954351508
10,0.0249165782745023,32,7,0.230348653437526,43,0.214532064845068
11,0,6,2,-9.08372776738736,6,-0.132397399695519
12,0.0232204462845477,36,5,-4.11851028680728,42.2,-0.425607560341967
13,0.02151822615087,42,5,-2.32772964823028,48.4,-0.559013264217923
14,-0.0303869261323258,6,2,-9.21492978273964,5.5,1.20657512259898
15,0,7,1,NaN,NaN,NaN
16,0.0234946341506194,30,13,-0.238561969832965,47.7692307692308,0.467160113533907
17,0.0212302487412356,32,5,0.250872057565412,37,-0.10107219360937
18,0,5,1,NaN,NaN,NaN
19,0.0197510544095448,29,5,-4.675749029585,34,-0.479834180840343
20,0.0283187460941515,27,9,-2.40297561793046,41.2222222222222,-0.338193291795809
21,0.0239954848057817,29,7,-1.20147565119139,38.1428571428571,-0.226303508188276
22,0.0211395899493314,34,7,-0.979849853724916,43.1428571428571,-0.527041671845754
23,0.0228141953120671,24,15,0.206138149522771,42,-0.418417081474996
24,0.0240257562218189,23,9,0.135942247023257,32.4444444444444,-0.00600541434929229
25,0.021623180599637,23,10,-2.05501158049153,32.2,-0.371451236695406
26,0.0260052852516525,22,10,-1.75482280645928,33,-0.4928022726692
27,0,1,1,NaN,NaN,NaN
28,0,1,1,NaN,NaN,NaN
29,0,5,1,NaN,NaN,NaN
30,0,1,1,NaN,NaN,NaN
31,0.024663956739755,28,7,-2.92278710114696,36.4285714285714,-0.397169656887604
32,0.0242349577411875,29,10,-1.20502379205578,43.5,-0.282528661647952
33,0.0230962806544054,27,8,-1.70950854787976,37,-0.516358432065585
34,0.0139211737219305,33,4,-0.611804580987643,36.25,-0.209195717409338
35,0.0224314824414142,30,5,-2.97499740847437,34.8,-0.511516859236637
36,0.0148067647697877,36,4,-2.2257969140667,39.25,-0.542425977092754
37,0.0185285758858936,25,8,-0.447301599907238,30.75,0.666873912016888
38,0.0203480319964138,27,8,-1.26128246895265,35.125,-0.200766504106054
39,0.0198093206964614,23,8,-0.774481752406517,29.125,-0.296768527538099
40,0.0191471803907683,24,8,-0.286557088416978,30.625,0.304389209267876
41,0.0144503475831331,36,3,0.833334352524895,39,0.768289170825494
42,0.0244456508322882,44,4,0.954272656925979,51,0.539930601062877
43,0.0209607906189704,24,6,-1.49581744542842,29.5,-0.201312826577341
44,0.0170824833193312,25,6,-0.388609236233454,30.6666666666667,0.232872243310688
45,0.0180790222463682,26,6,-1.83971505395013,31,-0.681618062414179
46,0.0176918739510297,24,6,-1.07534251608295,28.6666666666667,-0.189057300632966
47,0.01706222494248,24,5,-3.63354633812898,27.4,-0.513884514751349
48,0.0167542952187271,21,5,-3.28862629151806,23.8,-0.436690321605522
49,0.0173007463656723,27,5,-4.75170693574018,30.8,-0.345988151270471
50,0.0204989799831974,25,5,-4.0676327111944,29.6,-0.277569638359749
51,0.010216860174361,23,4,1.13752739594705,24.25,0.673721449380201
52,0.0185952959428508,24,4,1.48593800058983,26.75,0.744514546574788
53,0.0227744445833068,70,4,-1.08375021785361,80.5,0.698700876533716
54,0.0196435277934225,79,4,-2.2831098586638,89.5,-0.430303222894567
55,0.0156710192919116,29,4,-5.54822779896188,32.5,-0.48661041508325
56,0.0198675852870832,26,4,-4.55832179903158,29.25,-0.78465969810823
57,0.0119250703033894,26,4,-6.33660074821287,27.75,-0.237587670424962
58,0.0151934630661629,25,4,-5.3832105074868,27.5,-0.472462257535117
59,0.0192103048843194,27,4,-2.93336086839786,30.25,-0.799340862942102
60,0.0192103048843194,27,4,-1.16274630023709,30.25,-0.13414933193883
61,0.018561564962574,33,3,2.52192839213235,36.3333333333333,0.712722459803499
62,0.0262654197849145,30,3,0.42962887613741,34.6666666666667,0.481296951426299
63,0,6,2,-9.86338086325992,6,1.45029830155335
64,0.00926164185913514,35,2,-9.90729314813169,36,-0.537386688474297
65,0.00952640230665806,34,2,-6.47839735725131,35,-0.0815421957647677
66,0,1,1,NaN,NaN,NaN
67,0,1,1,NaN,NaN,NaN
