ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,179,448,120,56,92,40,106.06703910614524,47.324022346368714,2.031442519792524,203,0.9738228223239882,15.09668435477122,1,0.39955357142857145,0.4922610363113461,32.17545758064721,29.154759474226502,3.605551275463989,1.9126319167795598,2.0,6.896129622736575,7.313751924209378,62.20205508806179,67.59797974644667,0.8817733990147784,106.06703910614524,47.324022346368714,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
2,1,176,448,117,52,89,36,103.31818181818181,43.32954545454545,2.1383060576923283,201,0.9766616764859761,14.96964127403822,1,0.39285714285714285,0.46765990135163604,32.988744920436815,29.546573405388315,3.605551275463989,1.8638976464471193,2.0,6.501940430194526,7.085439462447432,62.15796168072951,68.76955262170047,0.8756218905472637,103.31818181818181,43.32954545454545,0,0.0,0.0,0,0.0,0.0,0.0,0,1,4.848923801102642,4.848923801102642,nan,4.848923801102642,1,2,1.0,1.0,1,-2.748857287963432,-3.994476891823261
3,1,194,510,114,49,84,32,99.35051546391753,40.01030927835052,2.257387739503694,227,0.9796630949046075,15.716503163191918,1,0.3803921568627451,0.4429899137397896,36.19930053994546,31.78049716414141,3.605551275463989,1.8861744303517813,2.0,6.708203932499369,7.263371430259694,62.7619178249173,74.18376618407356,0.8546255506607929,99.35051546391753,40.01030927835052,0,0.0,0.0,0,0.0,0.0,0.0,0,1,9.929858441987175,5.172978357979278,nan,10.02190215908192,1,3,0.9908157437945716,2.0,1,-3.9676663542642814,-3.3192361761949343
4,1,207,558,113,48,82,30,97.04347826086956,38.81642512077295,2.2800206221296473,241,0.9805572078265643,16.23454913941803,1,0.3709677419354839,0.43859252424916784,37.60276079870377,33.12099032335839,3.605551275463989,1.9140087542889876,2.0,6.966328281794487,7.378919028870055,62.88974574716656,77.01219330881976,0.8589211618257261,97.04347826086956,38.81642512077295,0,0.0,0.0,0,0.0,0.0,0.0,0,1,12.401768457819117,2.5976489443267927,nan,12.619551103408712,1,4,0.9827424411688646,3.0,1,-2.307037203047969,-1.1938841575775712
5,1,225,660,110,51,77,31,93.57777777777778,40.12888888888889,2.50049915591935,277,0.982447749782565,16.925687506432688,1,0.3409090909090909,0.3999201509957453,41.164375254300445,35.77708763999664,3.605551275463989,1.9149516876620243,2.0,7.155417527999327,7.67871951434141,63.61556762579436,84.08326112068524,0.8122743682310469,93.57777777777778,40.12888888888889,0,0.0,0.0,0,0.0,0.0,0.0,0,1,14.413590600513135,3.7058927374007586,nan,16.32544384080947,1,5,0.8828911937133871,4.0,1,-3.46570048309178,1.31246376811594
6,1,232,680,110,53,76,33,93.11206896551724,41.922413793103445,2.5274806940840557,285,0.984002276397513,17.186959427966244,1,0.3411764705882353,0.3956508955105567,42.780437966199884,37.12142238654117,3.605551275463989,1.9229606281833342,2.0,7.155417527999327,7.621586868725652,63.42019349155048,85.84062043356593,0.8140350877192982,93.11206896551724,41.922413793103445,0,0.0,0.0,0,0.0,0.0,0.0,0,1,14.03597614372694,1.8530019643419062,nan,18.178445805151377,1,6,0.7721219016286557,5.0,1,-0.4657088122605444,1.7935249042145571
7,1,248,777,111,54,74,33,92.02016129032258,42.358870967741936,2.7699961030707025,309,0.9861582087426447,17.769732893161912,1,0.31917631917631917,0.3610113382078197,45.873069436907215,40.311288741492746,3.605551275463989,1.908495811305788,2.0,7.155417527999327,7.6060796319109105,62.96315219122996,92.91168824543142,0.8025889967637541,92.02016129032258,42.358870967741936,0,0.0,0.0,0,0.0,0.0,0.0,0,1,14.898573911127547,1.1759069846048307,nan,19.354352789756206,1,7,0.7697789780401753,6.0,1,-1.091907675194662,0.4364571746384911
8,1,273,874,111,57,73,34,92.04029304029304,43.967032967032964,2.671870358162762,345,0.9852737062389807,18.643883600599406,1,0.3123569794050343,0.3742696560650579,47.61046082185728,41.593268686170845,4.123105625617661,1.9985781951762596,2.0,8.049844718999243,8.140654256891846,62.707756550120415,95.74011537017762,0.7913043478260869,92.04029304029304,43.967032967032964,0,0.0,0.0,0,0.0,0.0,0.0,0,1,14.422863200102586,1.6082880038477525,nan,20.96264079360396,1,8,0.6880270163529795,7.0,1,0.020131749970460078,1.6081619992910277
9,1,298,966,112,56,70,33,91.34563758389261,42.758389261744966,2.8415073786783958,389,0.9863483362374911,19.47884453275087,1,0.3084886128364389,0.3519258853605746,52.008211880571885,45.617978911828175,4.123105625617661,2.01139333440884,2.0,8.497058314499201,8.564310797693219,63.58994591541646,103.15432893255071,0.7660668380462725,91.34563758389261,42.758389261744966,0,0.0,0.0,0,0.0,0.0,0.0,0,1,15.41313297946894,1.3940465592795612,nan,22.356687352883522,1,9,0.6894193552105555,8.0,1,-0.6946554564004259,-1.2086437052879972
10,1,312,1075,113,54,70,29,91.5224358974359,39.87179487179487,2.9418437096126553,405,0.9870539593626649,19.931149940667517,1,0.29023255813953486,0.33992288466326015,54.19775570391429,46.95742752749558,4.0,2.0189847227119686,2.0,8.497058314499201,8.692698493524624,63.49886096022179,107.39696961967,0.7703703703703704,91.5224358974359,39.87179487179487,0,0.0,0.0,0,0.0,0.0,0.0,0,1,16.342618420301918,2.892003598850307,nan,25.248690951733828,1,10,0.6472659692157098,9.0,1,0.17679831354328712,-2.8865943899500976
