TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-2.656426989588466,1,106.06703910614524,47.32402234636872,0.009,-2.74,False,32.17545758064721,7.313751924209378,0
2,1,-2.6556574144520946,1,103.3181818181818,43.32954545454545,0.036,-3.288,False,32.988744920436815,7.085439462447432,0
3,1,-2.6661984377058214,1,99.35051546391752,40.01030927835052,0.016,-1.724,False,36.19930053994546,7.263371430259694,0
4,1,-2.6684294558250543,1,97.04347826086956,38.81642512077295,0.04,-1.8,False,37.60276079870377,7.378919028870055,0
5,1,-2.68109743739012,1,93.57777777777778,40.12888888888889,0.018,0.197,False,41.164375254300445,7.67871951434141,0
6,1,-2.6776875154743314,1,93.11206896551724,41.922413793103445,0.034,-0.542,False,42.78043796619989,7.621586868725652,0
7,1,-2.6697106399661417,1,92.02016129032258,42.358870967741936,0.019,0.467,False,45.873069436907215,7.6060796319109105,0
8,1,-2.6652531451335384,1,92.04029304029304,43.96703296703296,0.049,-0.763,False,47.61046082185728,8.140654256891846,0
9,1,-2.680650254184033,1,91.3456375838926,42.758389261744966,0.024,-0.685,False,52.008211880571885,8.564310797693219,0
10,1,-2.6790605218168553,1,91.5224358974359,39.87179487179487,0.054,-0.206,False,54.19775570391429,8.692698493524624,0
11,1,-2.6908041378391236,1,90.62275449101796,41.13473053892216,0.025,-0.935,False,59.10272687527604,8.706159774544753,0
12,1,-2.686993984169159,1,90.11309523809524,38.82142857142857,,,True,61.33226772145802,8.608964746813601,0
13,2,-3.048036848192692,1,79.18023255813954,31.156976744186046,0.02,0.584,False,33.443910889351166,6.943970321813174,1
13,3,-2.7926943944043123,1,100.61878453038672,44.19889502762431,0.029,-1.039,False,33.47584111173082,8.024201577357141,1
14,2,-3.0051782406189815,1,79.97674418604652,31.523255813953487,0.063,1.661,False,35.26497897299597,6.440514766047477,1
14,3,-2.836926482986497,1,98.89795918367346,44.234693877551024,0.062,-1.531,False,36.05002241993418,7.401118715512559,1
15,2,-2.9682309055691682,1,82.84020618556701,31.01546391752577,0.02,0.466,False,40.96043742034017,6.345327800129599,1
15,3,-2.8677422899111087,1,96.94009216589862,42.986175115207374,0.019,-0.185,False,41.61751004988779,7.084465903443889,1
16,2,-2.9621963324796248,1,83.49253731343283,31.26865671641791,0.061,0.711,False,42.72144132909586,6.356831283062591,1
16,3,-2.8760755566822014,1,96.55203619909504,43.1764705882353,0.067,-1.858,False,43.30607911084008,6.967690092385284,1
17,2,-2.9323420644843425,1,84.35159817351598,32.013698630136986,0.021,0.081,False,48.17118172668993,6.255164622975403,1
17,3,-2.881948279010417,1,93.4320987654321,43.30452674897119,0.02,-0.709,False,49.3240398688263,6.779390676569817,1
18,2,-2.920135040706081,1,83.98214285714286,33.30357142857143,0.055,1.267,False,50.06637776330727,6.212287142378597,1
18,3,-2.886171051082899,1,91.80246913580248,44.26337448559671,0.058,-1.324,False,51.10390889185872,6.470411078457821,1
19,2,-2.9055988445917347,1,84.96995708154506,35.90557939914163,0.021,1.351,False,55.0205785796711,5.953637570333341,1
19,3,-2.8833870806433786,1,88.87307692307692,45.69230769230769,0.036,0.235,False,56.325506778538525,6.450054519193876,1
20,2,-2.908161171058252,1,85.79638009049773,39.06334841628959,0.125,-0.314,False,56.90765172631757,5.431157511876538,1
20,3,-2.8794427225635792,1,87.68888888888888,48.65555555555556,0.072,-1.017,False,59.544283539588,6.613810950428969,1
21,2,-2.8820562773188865,1,85.18333333333334,39.27,0.043,1.09,False,68.14222530496514,6.353971412399446,1
21,3,-2.8748627162222067,1,86.16262975778547,48.259515570934255,0.029,0.544,False,65.994717518455,6.500410361965183,1
22,2,-2.8749118732096495,1,86.04901960784314,41.27124183006536,,,True,72.02546400468027,6.28146506431952,1
22,3,-2.8773984957097127,1,85.88,50.39333333333333,,,True,68.59304068250613,6.525513426820574,1
23,4,-2.884129440203247,1,72.01456310679612,39.228155339805824,0.029,0.378,False,46.8260930800031,6.430748181982381,2
23,5,-2.8973959275418415,1,70.68181818181819,48.23863636363637,0.008,-0.172,False,38.29843118090984,6.464525229008333,3
23,6,-2.792702712084086,1,106.7902097902098,49.02797202797203,0.013,0.137,False,31.042914255723304,5.991701338348577,2
23,7,-2.7970266200592704,1,104.0897435897436,57.30769230769231,0.007,0.225,False,34.79311138389313,6.03416351730561,3
24,4,-2.945394467512648,1,72.16901408450704,40.12206572769953,0.08,1.615,False,49.425678187371446,7.534168194822985,2
24,6,-2.9108157716892515,1,106.1338028169014,50.90845070422535,0.044,1.557,False,32.200652818466345,5.794018124180628,2
24,5,-2.944339846297142,1,69.96363636363637,48.82424242424243,0.043,-1.985,False,39.03382842831122,6.495871361788645,3
24,7,-2.8974732513394184,1,103.6948051948052,58.70779220779221,0.073,-1.937,False,35.458332384040546,5.6848684068601045,3
25,4,-2.9889846205306183,1,75.33333333333333,39.357723577235774,0.029,-0.985,False,56.58278129592064,8.46000913700284,2
25,5,-2.9319359667245433,1,67.34946236559139,47.36559139784946,0.006,-2.672,False,42.90075140105613,7.913016408511012,3
25,6,-2.9166003933028715,1,108.88590604026844,50.5503355704698,0.033,-0.632,False,36.177158408960125,5.805398079867991,2
25,7,-3.0038347836649875,1,100.6701030927835,58.144329896907216,0.021,-1.843,False,42.05827406662085,6.427723773958151,3
26,4,-2.9863880183315175,1,75.33201581027669,36.059288537549406,0.116,1.973,False,59.19938796188049,8.349091719193403,2
26,5,-2.8955794490962323,1,65.1076923076923,43.54871794871795,0.019,-1.965,False,43.45858166393104,7.62787997213073,3
26,6,-2.9033806790418426,1,109.08024691358024,47.81481481481482,0.08,1.285,False,39.13908581725397,6.160305777547059,2
26,7,-3.015739141060755,1,99.4030612244898,54.765306122448976,0.071,-1.3,False,43.9405815356984,6.365545651330146,3
27,4,-3.0028891366465724,1,78.66336633663366,35.92079207920792,,,True,69.59766694868523,8.952039219659587,2
27,5,-2.86098917425021,1,62.1609756097561,42.64390243902439,0.1,1.099,False,45.15010910606922,7.951054756657056,3
27,6,-2.876435599988964,1,110.95108695652172,48.34782608695652,-0.001,1.912,False,46.35272465305584,7.364341000537992,2
27,7,-3.0356954930867124,1,97.31944444444444,54.5,0.019,0.519,False,50.297067220168216,6.456270139299383,3
28,8,-2.7467563900220124,1,62.85064935064935,35.75974025974026,0.055,-0.022,False,33.8671354194974,7.462218482291885,4
28,9,-3.0852735387245356,1,95.2751677852349,39.328859060402685,0.06,2.494,False,34.76389421971783,5.69642627454074,4
28,5,-2.8983673836603217,1,63.083333333333336,44.20614035087719,0.028,-3.088,False,54.18893541993203,9.471833711389824,3
28,6,-2.833231332424173,1,113.0995024875622,50.582089552238806,0.098,0.801,False,46.24329733634754,8.013525663688613,2
28,7,-3.0482481673066775,1,97.23651452282158,56.219917012448136,0.079,-0.683,False,51.98064901602133,7.00051330248177,3
29,8,-2.7998751551641505,1,64.08426966292134,33.42696629213483,0.007,1.232,False,38.78771204074039,8.668024837673794,4
29,9,-2.989377536280209,1,100.1547619047619,37.125,0.011,1.551,False,40.16110563100965,5.6631636175625015,4
29,5,-2.8185301942844045,1,60.13223140495868,40.31818181818182,,,True,56.71748926724147,11.351791833655655,3
29,7,-3.0412777844710295,1,97.52509652509652,53.62162162162162,,,True,59.111916552530985,6.663869888324391,3
29,6,-2.787290597022983,1,114.86637931034484,49.547413793103445,-0.308,7.766,False,55.09715572473678,9.968003836538482,2
30,10,-2.534423899526996,1,49.12413793103448,39.64137931034482,0.056,0.926,False,31.651175288784174,6.646402072407222,5
30,8,-2.813267203161406,1,64.44565217391305,36.625,0.054,0.883,False,39.41530027309332,8.730624371969235,4
30,9,-2.896292800198535,1,101.65517241379312,39.72413793103448,0.08,3.059,False,41.13266795575167,5.727095570273946,4
30,11,-0.19904541823543775,1,77.3211009174312,46.85321100917431,0.055,2.953,False,31.311648498799485,4.665802140480846,5
30,12,-0.04094608260372492,1,99.19,49.07,0.038,-1.153,False,25.55608281952937,5.090248610957601,7
30,13,-3.0826778806748383,1,80.22222222222223,56.11111111111112,0.043,-1.022,False,27.804040902419136,6.050976932883041,7
30,14,-2.9767081688158386,1,109.29078014184395,58.255319148936174,0.053,0.55,False,30.86058584754432,5.941322057664804,7
30,6,-2.4855995886197304,1,124.64957264957263,56.23076923076923,0.043,-0.093,False,27.3352088204748,7.107496537831555,2
31,10,-2.503673949745938,1,50.08441558441559,40.66233766233766,-0.0,-0.225,False,36.70080213051194,6.249872430888276,5
31,8,-2.876280999335084,1,65.7295918367347,37.045918367346935,0.035,1.331,False,44.29523748584734,10.213721538575138,4
31,9,-2.8054404771864085,1,106.41176470588236,40.13725490196079,0.034,1.912,False,48.33839941111309,5.711410613096038,4
31,11,-0.19771641999635636,1,82.69811320754717,46.4245283018868,0.039,1.289,False,36.27187779876025,4.1855174448450265,5
31,12,-0.10882186417268061,1,96.61904761904762,50.31428571428572,0.015,0.741,False,28.938945203649197,4.741588965704482,7
31,13,-2.9407694072391406,1,77.28676470588235,57.55882352941177,0.038,0.892,False,31.67892613141464,5.709986309847383,7
