CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.00907079167106333,39.2927258539055,29,0.0101523592131035,76.8956428410164,0.62726039634091
2,0.00212635486699811,45.1988001525722,5,0.605647247144705,44.891228035873,1.35422291712533
3,NaN,35.544519797468,1,NaN,NaN,NaN
4,0.0173084659532573,48.5079451248909,3,0.836221609121995,52.9773426135862,1.22722854734297
5,NaN,91.1268450993235,1,NaN,NaN,NaN
6,0.0262469078660336,35.3492857130523,3,0.158997285206899,40.3648417346768,0.827532203170294
7,0.0154786227715492,34.7387008829679,2,0.710374354584,36.4291030925671,1.54732289048057
8,0.00453949255001988,93.6873728627639,2,1.17477223077444,94.9807866234658,0.626111973445071
9,0.00998487820949741,44.641894774431,8,0.00597197791220043,47.5731623339138,-0.46257808201683
10,0.0400437451390151,38.0366770929357,5,0.316462134975349,50.8082587559506,0.626281682692062
11,NaN,104.904708791114,1,NaN,NaN,NaN
12,0.0133565417106315,35.0877617682026,5,0.46120007195622,38.6200020141861,1.30655664399996
13,0.0202078607284887,24.4803364515423,8,-0.224796559284384,31.9884916790779,0.731778316823244
14,0.0166111285373867,28.2749488110236,8,0.328670445968314,34.8737405674324,1.01820663897579
15,0.0274051376563635,75.3974990361428,4,-0.849351479300168,81.4911129248954,0.605202619958811
16,0.0124960351801504,43.9758916154301,7,0.243632202022732,47.810441745883,0.848832234094578
17,-0.00465705825201537,74.7028324079017,3,0.349929232536485,74.0250990079215,0.630781745671356
18,-0.0140552334992348,116.792825759952,2,0.381768953214509,112.070109661395,0.451518754221865
19,0.0104234557577346,35.7786870454939,3,0.204226571539951,38.0367760571173,0.518173198080934
20,0.0137972859602814,29.3970296146445,3,0.712920806355374,31.9052557149851,0.776098924942983
21,NaN,32.0194491451758,1,NaN,NaN,NaN
22,NaN,86.7159641110063,1,NaN,NaN,NaN
