TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1,1,1,0.522658555313452,98.7581736189402,26.9808342728298,39.2927258539055,7.55712531879992,0,0,0,-0.009,-1.979
2,1,1,0.520283601475426,96.5846338535414,23.530612244898,38.4736036395013,7.17787457970124,0,0,0,0.026,-0.692
3,1,1,0.516787941359304,92.7653409090909,32.7363636363636,40.8282125022133,7.26400274424591,0,0,0,0.027,0.056
4,1,1,0.520003895975376,90.603813559322,38.53125,43.2398517647177,7.40506376114804,0,0,0,0.038,0.653
5,1,1,0.525537107868673,88.1936251189343,45.9286393910561,46.6791063639729,7.63074338071905,0,0,0,0.029,0.296
6,1,1,0.528838857267485,87.3503490401396,48.4367364746946,49.2450439619284,8.0099052191424,0,0,0,0.017,-0.033
7,1,1,0.528596402690102,85.9182825484765,50.8356417359187,50.7978371142307,7.32453816869534,0,0,0,0.028,-1.584
8,1,1,0.540400014657659,85.6321243523316,46.5267702936097,53.3351027094943,7.55074213417136,0,0,0,0.057,1.509
9,1,1,0.550404421800214,84.6963855421687,52.6361445783132,58.4853111771723,7.54855592148764,0,0,0,0.032,-0.338
10,1,1,0.552791774043279,84.7797527047913,51.5336166924266,61.3848351221786,7.51182023101402,0,0,0,0.077,0.029
11,1,1,0.567249534616533,84.5811001410437,51.9425246826516,68.3366297495247,7.63312006240916,0,0,0,0.043,0.61
12,1,1,0.568360418172874,84.2605298913043,54.1708559782609,72.1678751778124,7.62883246795698,0,0,0,0.045,-0.816
13,1,1,0.569820027005839,83.6979293544458,52.7752740560292,76.2413414215491,7.67769320495687,0,0,0,0.064,1.031
14,1,1,0.577983214486732,83.4828555368184,55.9418212478921,81.9576279633567,7.96317755783175,0,0,0,0.047,0.777
15,1,1,0.595666332658549,83.5407213496219,57.9261198371146,86.2000185262257,7.60459729894607,0,0,0,0.038,0.556
16,1,1,0.603671749014577,82.993899204244,60.1403183023873,89.6537088566862,7.97712400290858,0,0,0,0.049,-0.627
17,1,1,0.620554837604835,83.1583820662768,58.2887426900585,94.1029246524653,8.31775494884276,0,0,0,0.01,-0.326
18,1,1,0.628135633712993,82.3731343283582,58.554500226142,95.0443962643595,9.00775634380962,0,0,0,0.028,2.462
19,1,1,0.64854224847912,80.7080536912752,66.7846427161469,97.6074021422296,10.2012126381571,0,0,0,0.014,0.442
20,1,1,0.656047186635649,79.4288439526898,69.3143838229683,98.8428772131265,10.6688320010704,0,0,0,0.006,-1.563
21,1,1,0.68981000690565,79.2400702987698,65.9216168717047,99.4091933873547,12.7129045680196,0,0,0,-0.008,-1.371
22,1,1,0.706117923087659,78.1953921913472,63.9556806190644,98.6603357181825,13.8539883618901,0,0,0,0.061,1.044
23,1,1,0.756094616721508,78.2304278922345,66.3600633914422,104.188635417007,17.1105907395343,0,0,0,0.049,-0.654
24,1,1,0.781230938372174,77.8003518029903,65.3490178833187,108.583685397786,18.866778067004,0,0,0,-0.202,10.032
25,1,1,0.747903114228399,89.3708379070618,74.9694474935968,90.4361762337197,15.5812117625438,0,0,0,0.022,0.097
25,2,2,1.39819662827286,45.3726829268293,35.3448780487805,45.1988001525722,7.82147045686438,0,4,0,0.009,0.855
26,1,1,0.768711368411167,89.3744983582634,75.1920831813207,92.4586956956384,16.0948227268044,0,0,0,0.105,2.443
26,2,2,1.39830459946543,45.6405325443787,37.0680473372781,46.0168675431464,8.03666006664022,0,4,0,-0.029,3.816
27,1,1,0.82597780829385,88.3737704918033,81.8596721311475,101.88147193135,18.4851992174031,0,0,0,0.045,-0.298
