Time Step,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,1,1,1,1,1,1
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,1,1,1,1,1,1
10,1,1,1,1,1,1
11,1,1,2,2,1,2
12,1,1,2,2,1,2
13,2,2,2,2,1,2
14,2,2,2,2,2,2
15,2,2,2,2,2,2
16,2,2,3,2,2,3
17,3,3,3,3,3,3
18,3,3,3,2,3,3
19,3,3,3,3,3,3
20,3,4,3,3,3,3
21,3,4,4,2,2,5
22,4,4,4,3,2,4
23,4,4,4,3,2,6
24,4,4,5,4,2,7
25,7,7,7,6,2,7
26,7,7,7,6,2,7
27,8,8,8,8,3,8
28,8,8,8,8,2,8
29,8,8,8,8,3,9
30,8,8,9,8,1,10
31,9,9,11,9,1,11
32,9,9,11,9,1,12
33,11,11,13,11,1,15
34,12,12,14,12,1,16
35,14,14,14,14,1,16
36,14,14,14,14,1,17
37,16,16,15,16,1,16
38,16,16,20,16,1,21
39,22,19,24,21,1,23
40,24,23,25,21,1,28
