CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0.0,1.0,13.0,13.0,0.424,30.0,0.024,1.5707963267948966
1.0,2.0,18.024980545043945,18.024980545043945,-0.028,32.0,0.017,0.3217505727567366
2.0,3.0,26.0,26.0,-0.051,11.0,0.015,3.141592653589793
3.0,4.0,18.368688583374023,18.368688583374023,-0.26,38.0,0.017,0.3487710051766805
4.0,5.0,16.0,16.0,-0.061,54.0,0.018,3.141592653589793
5.0,6.0,27.294126510620117,27.294126510620117,0.158,22.0,0.013,0.5028432299056845
6.0,7.0,45.86018753051758,45.86018753051758,0.242,16.0,0.012,0.11710874722119476
7.0,8.0,32.641754150390625,32.641754150390625,0.206,3.0,0.006,0.49934676571051956
8.0,9.0,20.801258087158203,20.801258087158203,0.238,43.0,0.013,0.5880025328719031
9.0,10.0,21.21320343017578,21.21320343017578,0.124,54.0,0.014,0.7853981633974483
10.0,11.0,8.0,8.0,-0.042,28.0,0.0,3.141592653589793
11.0,12.0,17.0,17.0,0.212,97.0,-0.001,3.141592653589793
12.0,13.0,32.64659118652344,32.64659118652344,0.283,2.0,0.0,0.4636475906407117
13.0,14.0,18.412687301635742,18.412687301635742,-0.062,39.0,0.012,2.9764439091234722
14.0,15.0,18.0,18.0,0.117,38.0,-0.001,3.141592653589793
15.0,16.0,25.0,25.0,0.248,10.0,0.012,3.141592653589793
16.0,17.0,26.126379013061523,26.126379013061523,-0.067,26.0,0.014,3.0860941075272503
17.0,18.0,16.3186092376709,16.3186092376709,0.463,92.0,0.008,3.041923982951632
18.0,19.0,17.0,17.0,-0.05,38.0,0.017,3.141592653589793
19.0,20.0,22.337617874145508,22.337617874145508,0.08,112.0,-0.002,1.9890206756985669
20.0,21.0,20.96186637878418,20.96186637878418,0.189,40.0,0.014,2.089942463498151
21.0,22.0,27.195587158203125,27.195587158203125,0.076,17.0,0.014,2.819842047543543
22.0,23.0,27.357906341552734,27.357906341552734,0.182,19.0,0.012,1.343997400464059
23.0,24.0,24.173994064331055,24.173994064331055,0.216,20.0,0.014,2.1224513047400984
24.0,25.0,24.08319091796875,24.08319091796875,0.086,24.0,0.014,0.7266423715846568
25.0,26.0,22.7857666015625,22.7857666015625,0.077,28.0,0.014,1.343997400464059
26.0,27.0,29.983888626098633,29.983888626098633,0.104,38.0,0.009,0.9600703719218924
27.0,28.0,39.32039260864258,39.32039260864258,-0.158,19.0,0.014,0.06885648355362185
28.0,29.0,18.37776756286621,18.37776756286621,-0.077,36.0,0.017,2.72336837126515
29.0,30.0,24.959407806396484,24.959407806396484,0.292,28.0,0.011,1.343997400464059
30.0,31.0,19.230182647705078,19.230182647705078,0.325,31.0,0.017,2.677945096238595
31.0,32.0,22.0,22.0,0.162,30.0,0.014,1.5707963267948966
32.0,33.0,36.248878479003906,36.248878479003906,0.321,3.0,0.008,1.9936502483585334
33.0,34.0,22.553356170654297,22.553356170654297,0.139,112.0,-0.002,0.19739556394651794
34.0,35.0,19.677398681640625,19.677398681640625,0.331,33.0,0.018,0.4636475906407117
35.0,36.0,21.458009719848633,21.458009719848633,0.001,30.0,0.016,3.0172376780690877
36.0,37.0,23.34465789794922,23.34465789794922,0.141,30.0,0.011,1.4056475823285757
37.0,38.0,21.510196685791016,21.510196685791016,0.139,32.0,0.015,2.44685435265304
38.0,39.0,20.50609588623047,20.50609588623047,0.191,32.0,0.015,2.356194490192345
39.0,40.0,24.959407806396484,24.959407806396484,0.007,112.0,0.0,1.343997400464059
40.0,41.0,24.129459381103516,24.129459381103516,0.238,24.0,0.016,0.05549850445065074
41.0,42.0,29.0,29.0,-0.077,112.0,-0.0,3.141592653589793
42.0,43.0,26.419395446777344,26.419395446777344,0.179,21.0,0.014,2.089942463498151
43.0,44.0,20.591259002685547,20.591259002685547,0.102,38.0,0.013,0.507098528563954
44.0,45.0,21.189191818237305,21.189191818237305,0.12,112.0,0.003,0.3430239368338031
45.0,46.0,26.22933006286621,26.22933006286621,-0.011,63.0,0.012,2.2367655637399593
46.0,47.0,39.38999557495117,39.38999557495117,0.549,6.0,0.008,1.0924439257477443
47.0,48.0,33.611297607421875,33.611297607421875,0.609,8.0,0.006,0.5144513498860946
48.0,49.0,32.64659118652344,32.64659118652344,0.263,11.0,0.012,0.4636475906407117
49.0,50.0,20.595279693603516,20.595279693603516,-0.191,32.0,0.016,0.7266422384266024
50.0,51.0,33.23401641845703,33.23401641845703,-0.085,19.0,0.013,0.7853981633974483
51.0,52.0,16.26345443725586,16.26345443725586,0.48,88.0,-0.002,0.7853981633974483
52.0,53.0,21.0190372467041,21.0190372467041,-0.063,33.0,0.016,1.1071487694436986
53.0,54.0,33.46991729736328,33.46991729736328,-0.013,112.0,-0.002,2.896614057551693
54.0,55.0,19.160314559936523,19.160314559936523,0.305,32.0,0.015,0.24497867926188402
55.0,56.0,21.468538284301758,21.468538284301758,0.151,37.0,0.011,2.642245954458301
56.0,57.0,24.16568946838379,24.16568946838379,0.299,22.0,0.016,0.4324077456581871
57.0,58.0,26.92568016052246,26.92568016052246,0.14,19.0,0.011,2.8753405936060856
58.0,59.0,19.230182647705078,19.230182647705078,0.169,38.0,0.012,2.677945096238595
59.0,60.0,28.610628128051758,28.610628128051758,0.194,11.0,0.005,2.7509856180853807
60.0,61.0,20.055095672607422,20.055095672607422,0.073,41.0,0.014,1.9513027246539383
61.0,62.0,22.188007354736328,22.188007354736328,-0.162,23.0,0.016,0.5880025328719031
62.0,63.0,15.495159149169922,15.495159149169922,0.049,38.0,0.016,0.32175053946722293
63.0,64.0,18.0,18.0,-0.027,35.0,0.019,3.141592653589793
64.0,65.0,29.0,29.0,0.129,21.0,0.013,3.141592653589793
65,66,37.67716979980469,37.67716979980469,0.0,1,NaN,2.792821615123599
66.0,67.0,20.5992431640625,20.5992431640625,0.289,43.0,0.013,0.35877067572722365
67.0,68.0,16.368541717529297,16.368541717529297,0.301,42.0,0.014,0.8519663382679872
68.0,69.0,17.708751678466797,17.708751678466797,0.156,90.0,0.002,0.3217505727567366
69.0,70.0,25.999773025512695,25.999773025512695,0.06,32.0,0.013,0.39060706879392604
