TimeStep,NumberOfCells
1,121
2,122
3,123
4,125
5,124
6,125
7,129
8,129
9,131
10,133
11,135
12,138
13,138
14,138
15,139
16,143
17,144
18,146
19,146
20,149
21,150
22,153
23,155
24,156
25,161
26,161
27,163
28,164
29,165
30,169
31,174
32,178
33,189
34,194
35,194
36,197
37,202
38,202
39,209
40,214
41,218
42,222
43,226
44,234
45,243
46,247
47,248
48,252
49,257
50,262
51,268
52,281
53,287
54,294
55,312
56,322
57,328
58,337
59,342
60,347
61,352
62,365
63,377
64,387
65,399
66,420
67,431
68,439
69,448
70,460
71,479
72,496
73,510
74,533
75,545
76,557
77,595
78,613
79,632
80,649
81,667
82,685
83,707
84,726
85,738
86,757
87,776
88,816
89,847
90,858
91,899
92,928
93,949
94,977
95,1008
96,1047
97,1074
98,1106
99,1213
100,1249
101,1289
102,1324
103,1358
104,1382
105,1402
106,1442
107,1477
108,1508
109,1549
110,1659
111,1700
112,1736
