Cell_lable,NumberOfDivision
1,0
2,1
3,1
4,9
5,1
6,17
7,12
8,16
9,1
10,0
11,16
12,2
13,5
14,1
15,3
16,1
17,3
18,2
19,2
20,1
21,5
22,1
23,5
24,0
25,5
26,1
27,4
28,10
29,6
30,1
31,4
32,5
33,1
34,2
35,4
36,7
37,2
38,1
39,5
40,1
41,2
42,1
43,2
44,2
45,0
46,1
47,2
48,10
49,1
50,1
51,0
52,0
53,7
54,3
55,5
56,10
57,1
58,2
59,2
60,5
61,2
62,4
63,1
64,2
65,8
66,1
67,1
68,6
69,1
70,3
71,2
72,1
73,1
74,2
75,12
76,7
77,0
78,10
79,2
80,13
81,1
82,1
83,1
84,5
85,1
86,0
87,3
88,0
89,1
90,4
91,5
92,2
93,2
94,1
95,6
96,13
97,4
98,3
99,3
100,6
101,2
102,9
103,7
104,1
105,1
106,1
107,1
108,2
109,3
110,2
111,0
112,2
113,4
114,8
115,2
116,9
117,2
118,5
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,2
127,16
128,1
129,3
130,2
131,1
132,1
133,0
134,6
135,1
136,9
137,0
138,5
139,2
140,4
141,7
142,0
143,16
144,1
145,6
146,8
147,1
148,1
149,2
150,1
151,1
152,6
153,3
154,0
155,7
156,1
157,6
158,2
159,6
160,1
161,8
162,1
163,1
164,1
165,1
166,1
167,1
168,11
169,4
170,2
171,4
172,5
173,1
174,1
175,5
176,6
177,1
178,9
179,3
180,1
181,8
182,1
183,1
184,1
185,1
186,1
187,7
188,5
189,3
190,7
191,1
192,2
193,1
194,5
195,1
196,18
197,1
198,2
199,2
200,1
201,1
202,6
203,4
204,1
205,6
206,1
207,1
208,2
209,1
210,3
211,1
212,9
213,1
214,2
215,4
216,2
217,8
218,4
219,3
220,1
221,12
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,2
232,2
233,1
234,1
235,1
236,1
237,1
238,9
239,3
240,4
241,8
242,1
243,1
244,2
245,1
246,1
247,7
248,4
249,2
250,4
251,1
252,2
253,9
254,1
255,1
256,3
257,1
258,0
259,3
260,0
261,2
262,1
263,1
264,1
265,1
266,0
267,4
268,1
269,11
270,1
271,1
272,1
273,0
274,2
275,0
276,2
277,5
278,2
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,6
289,2
290,1
291,5
292,1
293,0
294,3
295,2
296,4
297,8
298,4
299,1
300,4
301,1
302,2
303,1
304,4
305,1
306,1
307,2
308,7
309,5
310,7
311,3
312,6
313,6
314,1
315,0
316,5
317,1
318,3
319,1
320,6
321,5
322,1
323,2
324,1
325,0
326,5
327,0
328,1
329,2
330,3
331,1
332,2
333,1
334,6
335,1
336,2
337,2
338,1
339,5
340,3
341,7
342,5
343,3
344,6
345,2
346,1
347,1
348,2
349,2
350,1
351,1
352,1
353,2
354,4
355,1
356,5
357,0
358,1
359,1
360,2
361,6
362,1
363,3
364,4
365,1
366,1
367,2
368,4
369,8
370,10
371,3
372,1
373,1
374,3
375,1
376,1
377,1
378,1
379,7
380,4
381,1
382,1
383,1
384,9
385,5
386,1
387,3
388,1
389,3
390,1
391,3
392,3
393,3
394,1
395,1
396,1
397,2
398,1
399,4
400,1
401,2
402,3
403,1
404,1
405,2
406,6
407,2
408,1
409,2
410,2
411,1
412,0
413,3
414,4
415,1
416,1
417,1
