CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity,AverageLength
1,-0.00163076787668163,45.2052064222593,97,0.135639838340777,45.856994091471
2,0.00678402962073122,22.1712307884,101,0.214633457741904,40.5610495792929
3,0.0078935589030904,19.6706913324715,81,-0.0327409639159375,36.7319020469947
4,0.00507566685223823,22.6766341233092,93,0.633040648123618,32.3121405340281
5,0.00381822625411736,20.0991585236737,87,0.0796844398601656,32.4416416247636
6,0.0022639387923711,27.1949839170354,101,-0.0548253624574012,34.2233350200422
7,0.0154158709734484,27.9458370706333,51,-0.0894708689835197,53.8829039254196
8,0.00297076873280497,37.7488575000971,80,0.00249327051570276,41.4533228484231
9,0.00580313772507547,24.9722459213058,105,0.0217778100919948,27.6457537939595
10,0.00287308473002558,24.0278737537985,95,-0.18408259066844,33.1372673885272
11,0.0107264914113643,20.7798992355711,73,-0.127617067350125,37.1229712723592
12,0.00221099332875312,31.1888882961416,107,-0.0323070085238771,35.3641385944612
13,0.00186379941996133,31.0814405334047,101,0.348637745305391,34.800395712333
14,0.00380784543446908,24.7450220548032,104,-0.0461713692160205,36.2297965739195
15,0.00350186292006683,23.3420847238104,98,0.115456922177048,29.9900613775681
16,-1.65870898802853e-05,41.6965102738556,97,0.0653122142616471,38.7468248511935
17,0.000830856894808809,37.3289591968745,97,0.365477909109593,39.8387361062681
18,0.00645696377852801,26.8393576631462,85,0.20755201439953,36.7965278306691
19,0.00521601098769225,22.2323491050528,85,0.0372556232509592,32.2013895343663
20,0.00443973671399925,43.95777412272,77,0.0772511355542045,43.5393488502637
21,0.00336300510851607,18.7173238176741,98,0.105001959447856,29.5070410988336
22,0.00309849710544718,28.1698649745604,92,0.000570289661238243,38.28751954442
23,0.00851534630363251,17.8974719784419,90,0.0715705993673021,31.1377361031464
24,0.00331151228439453,23.9568069801722,110,0.127155829478349,32.3503063355624
25,0.00651976491252096,20.0972034113489,87,0.466467253853456,33.3979796622709
26,0.00347994539534769,25.7983472868396,95,-0.024563988366385,37.2687342921338
27,0.00680640525034471,19.2718997764735,88,0.315472265651149,33.8001359553885
28,0.00117113171500129,50.0274273247713,61,0.214390893800425,39.0027269892661
29,0.00836343612459759,24.2459052713185,70,0.150394579420046,37.344321294726
30,0.00485464035103623,22.621327483307,97,0.0265595543123889,33.5589346528104
31,0.00489037378791836,21.2220070236959,92,0.269445407285255,33.1245496893301
32,-0.000818064511149029,19.2287804336705,97,-0.0711268870789806,32.1554573985577
33,0.00673511608873722,20.843051220083,84,-0.299969061142774,33.2617443697953
34,0.00651691641145742,20.4827980659276,81,-0.113946094112962,32.3314948398781
35,0.00271188187313361,24.9737520526993,91,0.167869142360806,35.7744883742647
36,0.00391479166032802,23.1293647786506,86,0.061308776006437,31.0116660705268
37,0.00466898760237526,31.1001642451877,65,-0.260899997708409,38.1941569545385
38,0.00772685711097775,25.9625281360443,47,0.229890001605502,34.2039674084734
39,0.00895315806572658,22.4163974356602,67,-0.25653339615019,35.0254113626078
40,0.0080455957584062,24.0785756981405,75,-0.0971116255505523,38.6195456264931
41,0.00699739598459119,25.2703207143173,66,-0.113250855544481,35.5869498213495
42,0.0246609158695656,13.8558153844978,36,0.332170094399685,31.6643520004407
43,0.0115664147176629,23.5009604570602,52,-0.35258903162923,38.8114353184428
44,0.00893837307585645,21.3570962873601,65,-0.0396873780290627,35.4128653117158
45,0.0122045442722884,21.5681063861438,50,0.730245675728645,33.6549172406682
46,0.010513978433896,18.0967328602273,52,0.201234823990102,25.9206534428725
47,0.00458049255156956,25.8619835104305,66,0.524953208850769,33.104324819842
48,0.00614610910047779,25.6743443075939,64,0.015464079970022,29.7493899811209
49,0.00420082494014856,26.2662939288986,76,-0.231507100897537,34.7181367521125
50,0.00547828913661231,28.4683810748494,63,0.285648294448076,36.1844528744362
51,0.00718707874804839,28.4846705909226,54,0.0798535618088293,37.4369559256891
52,0.00453284280647499,24.5375165549153,64,-0.0257055193370329,24.5609559346129
53,0.0113834283844081,20.3546015499999,53,-0.162572227459493,37.1355561630784
54,0.00557296046861326,19.5616827133583,65,0.413314384070517,34.6086597739212
55,0.00889833454589596,25.8973597910537,56,0.11754848695118,36.3795868351446
56,0.0134233343135342,26.3811609692776,28,-0.153503997509054,32.8429847601196
57,0.00792656078956561,15.2362303006693,62,0.682021934566802,29.0220650584168
58,0.00719640285388873,28.1178945500903,61,0.105840666559818,40.9911369332711
59,0.00848165491408532,22.8869978082077,62,0.212083609630031,32.6280350478419
60,0.00875522343134397,19.6577122350814,66,-0.295677446716359,28.2643983208212
61,0.00591227628864108,33.9474074354079,59,-0.389937906273767,43.3044627522467
62,0.0110825662663907,18.7359895564083,46,0.856726271497424,26.5067418346722
63,0.00970983559310364,24.325357356669,46,0.130258262550437,31.5458574831095
64,0.00821577125838239,26.9764753068418,59,-0.288154562534533,38.6874226913683
65,0.0102788798022427,27.6680559140225,45,0.169414439178013,38.8516992932147
66,0.0129206138934679,25.167171895082,57,-0.227383542952887,37.568421429166
67,0.00957195526934026,19.7107964365281,63,0.481169207153713,28.3260869299075
68,0.0101689724186687,32.8442011342626,37,-0.325969879325733,45.4895181912706
69,0.00125199369995402,30.2620705751917,33,-0.153381211133764,33.2705678801081
70,0.0100803700558877,24.5690547488271,46,0.559947404037924,29.1596059825366
