Cell_lable,NumberOfDivision
1,1
2,1
3,1
4,1
5,2
6,1
7,1
8,2
9,1
10,1
11,2
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,1
20,1
21,2
22,2
23,1
24,1
25,2
26,3
27,1
28,2
29,2
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,2
42,1
43,3
44,1
45,1
46,1
47,1
48,2
49,1
50,1
51,2
52,2
53,2
54,3
55,2
56,2
57,1
58,1
59,1
60,2
61,1
62,1
63,2
64,2
65,2
66,1
67,1
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,2
78,2
79,3
80,3
81,2
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,4
91,1
92,1
93,1
94,2
95,2
96,2
97,1
98,1
99,1
100,2
101,1
102,1
103,1
104,1
105,1
106,1
107,2
108,2
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,2
117,2
118,1
119,2
120,2
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,3
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,2
138,1
139,1
140,2
141,2
142,3
143,1
144,1
145,1
146,1
147,1
148,2
149,2
150,2
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,1
161,1
162,1
163,1
164,1
165,1
166,2
167,1
168,1
169,2
170,1
171,1
172,1
173,1
174,1
175,1
176,2
177,1
178,1
179,1
180,1
181,3
182,1
183,1
184,2
185,1
186,1
187,2
188,2
189,1
190,1
191,2
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,2
206,1
207,1
208,1
209,1
210,2
211,2
212,1
213,1
214,4
215,1
216,1
217,1
218,1
219,1
220,3
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,2
246,1
247,1
248,1
249,1
250,2
251,3
252,1
253,1
254,1
255,2
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,2
269,1
270,2
271,1
272,1
273,1
274,1
275,1
276,1
277,2
278,2
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,2
287,1
288,1
289,1
290,1
291,1
292,2
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,2
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,2
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,2
351,1
352,1
353,1
354,1
355,1
356,1
357,2
358,2
359,1
360,1
361,1
362,1
363,3
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,2
379,1
380,1
381,1
382,1
383,1
384,2
385,2
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,2
396,1
397,1
398,1
399,2
400,1
401,1
402,1
403,1
404,1
405,1
406,2
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
