TimeStep,CellNumber,Orientation
1,1,73.5070248971356
1,2,80.408641838768
1,3,-89.7177105646809
2,1,77.4274152484455
2,2,74.9232186761652
2,3,-89.73759357479
3,1,88.1363117498725
3,2,67.2813611678093
3,3,75.4180631163594
4,1,-87.6384795860565
4,2,60.0345132294661
4,3,69.9260163872526
5,1,-78.4244663710513
5,2,59.7354884145809
5,3,63.958277816918
6,2,59.4364635996957
6,4,-79.6160919409081
6,5,-73.6265341452067
6,6,65.8166247386633
6,7,62.2572641345447
7,4,-71.2310837652297
7,5,-78.7698901104777
7,6,60.8142137833488
7,7,88.2118703217505
7,8,53.7402034543728
8,6,57.3417139457324
8,8,-68.8184112917909
8,9,78.1858739750342
8,10,89.6656068443623
9,6,53.869214108116
9,8,50.7059533498776
9,9,86.1429218034709
9,10,-88.8087805238171
10,6,-64.5519849654599
10,9,-85.9000303680923
10,10,-87.2831678919965
10,11,-75.9721122628769
10,12,-81.1912310959599
10,13,55.752681203456
10,14,-86.9805813405798
11,6,-68.129098741707
11,9,89.493498471113
11,10,-85.1311383185046
11,11,-81.6976040660107
11,12,-75.2309723900914
11,13,57.5575785092364
11,14,-88.0947735882961
12,6,-67.8651583360187
12,9,86.8904958234579
12,10,-89.4961069588661
12,11,-87.4634226492007
12,12,-64.5870590945101
12,13,65.6361567489021
12,14,83.0718876379356
12,15,63.3658514713169
13,6,-68.1283885912399
13,9,75.608743114028
13,10,87.9390037452785
13,11,78.8296881860085
13,12,-68.631353345816
13,14,78.707271535906
13,15,68.3171763218091
13,16,61.1416070684705
13,17,74.5932418582459
13,18,-58.1280352049033
13,19,-78.3400597744816
14,9,81.479371949386
14,11,77.3860434284473
14,12,-75.1702837714424
14,14,84.5078615519112
14,15,53.1569334780112
14,16,66.3288211020517
14,17,71.9905786575019
14,18,-44.1967995048511
14,19,84.1703974302492
14,20,-71.0620479425053
14,21,-76.9823533640101
14,22,73.3719508467341
14,23,88.2579811375272
15,9,83.9030622207351
15,12,-77.6094900645999
15,14,86.7804769562749
15,15,59.3179353418513
15,16,57.9026739557379
15,17,80.5696150577953
15,18,-29.8662588704356
15,19,79.5849143745116
15,20,-77.1297999451256
15,21,-71.4436894167667
15,22,71.3718592438019
15,23,-81.8331366102769
15,24,-84.3459974514961
15,25,-38.0574195507533
15,26,59.0015941439299
16,9,-89.7038455340532
16,12,-76.8396859445796
16,14,89.5963432066161
16,16,39.7492888797448
16,17,85.8774102447294
16,19,70.8993969611184
16,20,-79.0399403505453
16,21,-73.7323236980931
16,22,77.3992639689628
16,23,-76.4536519106651
16,24,-67.8448818615644
16,25,-52.7433050073823
16,26,39.2079579175027
16,27,-30.3340985543495
16,28,-74.5135772476284
17,9,-85.0656582830967
17,17,87.4645691997179
17,20,-86.601266264424
17,21,-76.5298873320922
17,22,78.3690110731531
17,23,-70.6786958812245
17,24,-59.030798786703
17,26,30.6710378923012
17,27,-24.1540698629449
17,28,-74.7752812893779
17,29,29.9795002252064
17,30,-59.5421745878667
17,31,-85.1585678705033
17,32,-77.545605374991
17,33,76.7955386731994
17,34,-62.4379342155552
17,35,78.0550316566519
18,9,-77.9389656491558
18,20,-79.1327077264488
18,21,-86.7001030652524
18,22,75.0904322664721
18,23,-70.3188077449311
18,24,-58.8520735157231
18,26,19.6519672377204
18,27,-15.7772037414649
18,28,-77.5164958770127
18,29,23.1631582936299
18,30,-55.2392235643407
18,31,-78.9162105605967
18,32,-76.5951465288835
18,33,64.5653713807811
18,34,-74.9951190706237
18,35,74.2006141943349
18,36,-89.9471717426915
18,37,-76.0814540150518
19,9,-69.2268829144165
19,20,-85.7321634497933
19,21,-90
19,23,-65.9341273991153
19,26,15.8934425337981
19,27,-12.3048754323749
19,28,-76.4328120786438
19,29,18.8311377173732
19,31,-85.5693845377843
19,32,-80.0999436165054
19,33,62.6978076917285
19,34,-67.7000318793302
19,36,76.0971284864487
19,37,-62.3456682266943
