CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,39.0949058532715,40.1618347167969,1.648,2.0,0.018
2.0,42.5806312561035,42.0806303024292,0.848,4.0,-0.003
3.0,43.7071800231934,56.724737930297856,-0.064,30.0,0.007
4.0,23.8867855072021,32.169527244567874,0.122,30.0,0.013
5.0,41.1747741699219,44.41277796427408,0.056,15.0,0.002
6.0,46.0842399597168,49.71465628487724,0.416,7.0,0.009
7.0,24.8463153839111,35.2819704728968,0.098,34.0,0.012
8.0,26.7473430633545,58.602018659077,-0.041,63.0,0.011
9.0,21.6530017852783,22.063868045806903,0.77,4.0,0.006
10.0,34.4230651855469,43.55605595906574,-0.072,15.0,0.02
11.0,36.0710258483887,42.296261742001484,0.175,21.0,0.009
12.0,26.3060722351074,35.72130359302867,0.094,22.0,0.019
13.0,22.7672653198242,22.54564484988942,0.082,85.0,-0.0
14.0,23.8769950866699,31.724080085754395,-0.049,18.0,0.019
15.0,26.9421005249023,34.591697692871094,-0.164,30.0,0.015
16.0,29.2805862426758,23.246754169464126,0.066,8.0,-0.051
17.0,51.8849334716797,54.73388511256168,0.077,19.0,0.006
18.0,31.837121963501,36.58029810587565,-0.118,18.0,0.011
19.0,39.7052001953125,42.423190116882324,0.753,4.0,0.018
20.0,43.5794715881348,43.5794715881348,0.0,1.0,0.0
21.0,43.0654602050781,42.3268062046596,0.555,7.0,-0.015
22.0,40.3826141357422,48.863294982910155,0.288,15.0,0.01
23.0,35.9068603515625,37.31007385253908,0.418,5.0,0.013
24.0,26.6188678741455,27.675682599727924,0.027,104.0,-0.0
25.0,21.0957908630371,34.484909820556645,-0.06,40.0,0.012
26.0,22.5435829162598,32.98415011451358,0.143,42.0,0.009
27.0,30.1599178314209,38.49809669494629,0.153,25.0,0.014
28.0,31.3693962097168,31.332028682415306,-0.002,104.0,-0.001
29.0,22.1282520294189,33.68659819326093,0.09,31.0,0.017
30.0,26.414234161377,33.3489256359282,0.09,42.0,0.008
31.0,36.0930137634277,35.86699930826823,0.05,6.0,-0.027
32.0,39.8844337463379,38.57840255590585,-0.018,104.0,-0.001
33.0,36.3404541015625,34.6787979301365,-0.034,87.0,-0.001
34.0,29.895580291748,35.30165217472958,0.07,13.0,0.021
35.0,35.2817344665527,43.62824927435981,0.013,18.0,0.014
36.0,25.4257469177246,24.983750320616224,0.037,84.0,0.0
37.0,29.9412250518799,41.4444918796934,0.188,29.0,0.012
38.0,26.6922645568848,41.055750431158614,0.071,39.0,0.01
39.0,35.3644218444824,45.84971566633744,-0.012,22.0,0.017
40.0,26.0902881622314,31.954516691320084,0.113,17.0,0.019
41.0,33.7746238708496,48.77045906914605,0.033,45.0,0.008
42.0,20.766565322876,33.884469055547946,0.162,41.0,0.014
43.0,33.9932594299316,37.434123629615414,0.175,21.0,0.003
44.0,42.9513092041016,66.21655199004383,0.085,41.0,0.012
45.0,37.755054473877,41.253325653076196,0.479,10.0,0.009
46.0,24.5478935241699,35.87907874584198,0.356,32.0,0.015
47.0,23.3431510925293,34.51869987718987,-0.095,33.0,0.017
48.0,14.5539922714233,14.5539922714233,0.0,1.0,0.0
49.0,15.3692684173584,15.3692684173584,0.0,1.0,0.0
50.0,26.5298023223877,36.5506477355957,0.123,30.0,0.015
51.0,26.1113452911377,37.56913397047255,0.406,27.0,0.019
52.0,43.6442451477051,43.0946502685547,0.061,2.0,-0.009
53.0,38.1242141723633,45.34026184082031,0.179,15.0,0.017
54.0,60.3255424499512,62.35171985626223,0.557,4.0,0.007
55.0,23.2354221343994,33.52089182535807,-0.039,27.0,0.017
56.0,24.4648132324219,36.875456704033745,0.085,36.0,0.013
57.0,27.1590461730957,24.581461715698257,-1.647,5.0,-0.018
58.0,35.0264015197754,38.287254810333266,0.243,8.0,0.011
59.0,48.816291809082,52.63993496365017,0.173,9.0,0.005
60.0,24.1145992279053,35.40852179894081,0.124,39.0,0.012
61.0,58.2471733093262,54.705936431884766,0.336,3.0,-0.021
62.0,32.0178375244141,37.24822156569536,0.234,17.0,0.01
63.0,29.0371971130371,34.10024541967055,-0.074,17.0,0.013
64.0,21.5006828308105,34.80951007207236,0.256,36.0,0.019
65.0,28.9022216796875,35.49296578906832,0.316,21.0,0.013
66.0,27.5687770843506,33.18368487887912,0.146,18.0,0.014
67.0,26.0318298339844,34.653478554316926,0.098,28.0,0.012
68.0,23.52587890625,35.10738956227022,-0.038,34.0,0.015
69.0,27.3750839233398,30.717287650475125,0.203,13.0,0.01
70.0,15.0708999633789,15.0708999633789,0.0,1.0,0.0
71.0,8.36605167388916,8.36605167388916,0.0,1.0,0.0
72.0,19.2338104248047,19.2338104248047,0.0,1.0,0.0
73.0,18.5668182373047,18.5668182373047,0.0,1.0,0.0
74.0,27.104642868042,38.48626392766049,0.033,38.0,0.011
