StepNumber,NumberOfCells
1,69
2,69
3,70
4,70
5,71
6,72
7,71
8,69
9,69
10,71
11,69
12,67
13,67
14,67
15,66
16,63
17,61
18,60
19,60
20,60
21,59
22,55
23,55
24,55
25,56
26,55
27,55
28,53
29,53
30,51
31,51
32,48
33,48
34,48
35,48
36,48
37,48
38,47
39,45
40,45
41,44
42,41
43,40
44,39
45,38
46,38
47,38
48,38
49,37
50,35
51,35
52,35
53,34
54,33
55,32
56,32
57,32
58,30
59,30
60,29
61,28
62,28
63,28
64,26
65,26
66,26
67,25
68,24
69,24
70,23
71,21
72,22
73,21
74,20
75,20
76,20
77,19
78,19
79,19
80,18
81,18
82,18
83,18
84,18
85,17
86,17
87,16
88,16
89,16
90,15
91,14
92,14
93,14
94,12
95,12
96,12
97,12
98,10
99,8
100,8
101,8
102,8
103,7
104,7
105,7
106,6
107,6
108,6
109,6
110,5
111,5
112,5
