CellId,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
1.0,24.5123729705811,18.520810077064912,-0.048,19.0,-0.009
2.0,47.0448150634766,47.20746994018555,0.132,2.0,0.002
3.0,48.5844535827637,35.33356634775797,-0.337,9.0,-0.098
4.0,24.3360443115234,28.15166972932362,0.081,21.0,0.012
5.0,22.7610492706299,20.005820846557622,0.377,5.0,-0.089
6.0,20.2554607391357,18.5543985366821,-1.013,3.0,-0.078
7.0,43.6357917785645,46.21320585771041,0.111,11.0,0.005
8.0,20.6115818023682,19.339916865030933,-0.795,3.0,-0.075
9.0,20.6567935943604,18.360841989517226,0.133,4.0,-0.079
10.0,22.6793022155762,20.346734809875503,-0.62,5.0,-0.094
11.0,23.6138343811035,24.89427241412075,-0.384,22.0,-0.019
12.0,19.730598449707,26.09944452558245,-0.503,21.0,-0.005
13.0,26.8413028717041,23.109968185424822,-0.115,5.0,-0.11
14.0,23.0773239135742,20.2247543334961,-0.429,5.0,-0.103
15.0,29.4294033050537,24.896035194396962,-0.124,6.0,-0.084
16.0,38.6644058227539,45.37234166463216,-0.026,15.0,0.013
17.0,38.2216911315918,44.08094194200302,0.131,18.0,0.01
18.0,29.7477512359619,24.581996781485426,-0.356,21.0,-0.032
19.0,18.2449970245361,16.95015869140624,0.11,5.0,-0.058
20.0,24.7787914276123,19.931164423624686,-0.735,6.0,-0.104
21.0,26.4714412689209,32.05461079733713,0.115,14.0,0.018
22.0,24.643835067749,20.460814476013148,-1.427,2.0,-0.138
23.0,10.4759931564331,10.4759931564331,0.0,1.0,0.0
24.0,12.9983501434326,12.488691806793199,0.359,2.0,-0.027
25.0,32.9433364868164,26.50378728795934,-0.212,27.0,-0.023
26.0,31.252613067627,31.734874089558932,0.379,3.0,0.01
27.0,19.2563571929932,21.12383706229073,-0.347,7.0,0.022
28.0,53.2646446228027,51.08544921875,-0.832,2.0,-0.028
29.0,34.7141189575195,20.612751960754398,-1.714,10.0,-0.042
30.0,44.1449737548828,44.1449737548828,0.0,1.0,0.0
31.0,23.0035190582275,20.93409938812254,-0.062,5.0,-0.076
32.0,22.401237487793,18.61130256652832,-0.086,5.0,-0.091
33.0,20.8217353820801,32.234915267589486,0.054,43.0,0.014
34.0,20.6179008483887,19.804826736450195,0.059,43.0,-0.006
35.0,44.5330352783203,46.12223892211914,0.556,5.0,0.012
36.0,18.685245513916,16.498167991638173,-0.782,7.0,-0.013
37.0,28.6261692047119,29.620083996227812,0.01,112.0,-0.0
38.0,22.2598838806152,23.677075075548753,-0.053,43.0,-0.013
39.0,22.705135345459,31.682894735625283,-0.167,33.0,0.013
40.0,42.671760559082,30.79922676086427,-2.039,6.0,-0.142
41.0,38.0862159729004,38.0862159729004,0.0,1.0,0.0
42.0,34.5690231323242,23.241693267822274,-0.23,25.0,-0.011
43.0,34.293514251709,29.34485931396486,-0.241,5.0,-0.075
44.0,21.4220180511475,21.230432510376,-0.579,6.0,-0.02
45.0,15.1823034286499,30.265622367858878,-0.076,25.0,0.025
46.0,21.8980617523193,18.76380863189696,0.216,5.0,-0.094
47.0,23.6759872436523,18.55601112659161,-0.665,13.0,-0.029
48.0,39.1504364013672,39.163936233520516,-0.046,10.0,-0.006
49.0,53.5746383666992,37.930407206217446,-0.307,9.0,-0.101
50.0,31.4166851043701,23.383697394168745,-0.287,33.0,-0.005
51.0,37.3869018554688,45.26226925849916,0.071,16.0,0.015
52.0,32.4637985229492,27.37645435333252,-0.142,6.0,-0.069
53.0,20.4517097473145,20.31439685821533,-0.029,24.0,-0.001
54.0,28.0750198364258,28.9965311686198,0.174,3.0,0.009
55.0,18.236307144165,17.707415863319678,-0.221,27.0,-0.007
56.0,17.4203128814697,18.10805708567301,-0.481,30.0,-0.0
57.0,38.2990074157715,29.061290423075366,-0.379,30.0,-0.004
58.0,16.9430923461914,16.545951106331565,0.028,44.0,-0.002
59.0,24.6296710968018,21.989656301645148,-0.698,13.0,0.011
60.0,28.5942058563232,24.65866870880126,0.114,5.0,-0.089
61.0,14.3375625610352,15.0271911621094,-0.588,4.0,0.009
62.0,35.3717842102051,38.84880371932145,-0.047,91.0,0.0
63.0,21.2830867767334,20.910504235161667,0.323,9.0,0.0
64.0,35.8457450866699,34.12876586914062,-0.772,5.0,-0.013
65.0,21.735969543457,19.01509952545164,-0.372,5.0,-0.076
66.0,22.1466960906982,19.513945579528777,-0.808,5.0,-0.091
67.0,35.392017364502,39.46342922392347,0.192,21.0,0.004
68.0,21.6920833587646,18.367338663911173,-0.307,73.0,0.005
69.0,44.7922744750977,44.7922744750977,0.0,1.0,0.0
70.0,37.966007232666,31.1770921434675,-0.902,7.0,-0.098
71.0,26.2205276489258,30.439567229327032,0.019,68.0,0.003
72.0,22.2362518310547,31.281985349433366,0.043,43.0,0.009
73.0,25.4362850189209,30.551468589089133,0.104,33.0,0.008
74.0,19.7082843780518,19.550203800201427,0.675,4.0,-0.004
75.0,24.8676357269287,24.8676357269287,0.0,1.0,0.0
76.0,27.3956699371338,26.038134384155263,-0.734,5.0,-0.038
77.0,27.584400177002,23.39660882949832,-0.675,6.0,-0.091
78.0,20.089391708374,16.17929690224784,-1.876,7.0,-0.04
79.0,25.4594879150391,31.57860241765561,-0.148,23.0,0.011
80.0,27.51243019104,20.501142024993893,-0.081,26.0,-0.019
81.0,41.8529357910156,36.46077791849773,-1.568,6.0,-0.061
82.0,61.136604309082,61.136604309082,0.0,1.0,0.0
83.0,20.0441551208496,16.864595413208,-1.436,4.0,-0.065
84.0,39.7437515258789,39.829835255940765,-0.378,3.0,-0.006
85.0,17.4770278930664,13.65821113586426,-1.117,5.0,-0.07
86.0,52.8578033447266,52.2088489532471,0.064,2.0,-0.008
87.0,25.7469272613525,36.38858419145857,0.108,35.0,0.013
88.0,27.7808055877686,29.937549254473513,0.109,17.0,0.01
89.0,24.6213512420654,28.211505651474,0.058,28.0,-0.015
90.0,30.6419143676758,36.063630160163434,-0.136,17.0,0.013
91.0,33.4646263122559,36.58318165370396,0.118,14.0,0.003
92.0,26.0510711669922,28.99471744738127,-0.015,19.0,0.009
93.0,22.4493465423584,20.32573917388916,0.067,25.0,-0.009
94.0,30.2146987915039,32.78072030203683,0.144,21.0,-0.002
95.0,29.1924457550049,20.940309143066408,-2.262,5.0,-0.156
96.0,27.6466484069824,33.68452310562134,0.076,24.0,0.012
97.0,30.0829124450684,23.335963249206557,-1.052,9.0,-0.071
98.0,21.9403057098389,19.2463915348053,-0.512,4.0,-0.087
99.0,18.4628143310547,24.400001774663515,-0.137,23.0,0.012
100.0,21.4407329559326,30.810318282156288,0.208,33.0,0.016
101.0,24.834716796875,20.1033902168274,-0.259,4.0,-0.124
102.0,20.5567874908447,18.38445885976157,-0.475,3.0,-0.074
103.0,20.915548324585,19.2534227371216,-0.435,3.0,-0.065
104.0,17.0455856323242,18.242360115051248,0.121,4.0,0.025
105.0,11.3380937576294,11.205279986063632,0.631,3.0,-0.017
106.0,27.0740013122559,34.713299407958985,-0.226,25.0,0.015
107.0,28.3952941894531,34.56374881578529,-0.308,23.0,0.008
108.0,17.5521297454834,15.37393951416016,-0.307,5.0,-0.049
109.0,26.3710498809814,26.3710498809814,0.0,1.0,0.0
110.0,22.2930183410645,19.628842035929367,0.343,3.0,-0.094
111.0,24.428129196167,21.79648780822755,-0.607,2.0,-0.081
112.0,14.4361619949341,14.3564429283142,-0.638,4.0,0.017
113.0,12.9616041183472,11.753342628479,-1.594,2.0,-0.069
114.0,14.8244132995605,17.936262644254228,-0.337,13.0,0.016
115.0,3.58329725265503,3.58329725265503,0.0,1.0,0.0
