StepNumber,NumberOfCells
1,97
2,101
3,100
4,102
5,95
6,80
7,69
8,64
9,63
10,60
11,61
12,62
13,61
14,58
15,59
16,60
17,61
18,63
19,63
20,63
21,62
22,61
23,59
24,58
25,61
26,64
27,57
28,54
29,53
30,52
31,54
32,52
33,52
34,53
35,54
36,55
37,56
38,53
39,53
40,51
41,50
42,49
43,47
44,51
45,48
46,44
47,39
48,38
49,33
50,29
51,29
52,30
53,30
54,32
55,31
56,31
57,31
58,32
59,30
60,28
61,29
62,28
63,27
64,29
65,27
66,28
67,27
68,28
69,31
70,27
71,27
72,26
73,26
74,26
75,26
76,26
77,27
78,27
79,23
80,21
81,18
82,18
83,19
84,19
85,19
86,19
87,19
88,20
89,22
90,21
91,24
92,20
93,22
94,18
95,17
96,18
97,16
98,16
99,18
100,16
101,15
102,15
103,15
104,15
105,14
106,12
107,11
108,11
109,10
110,8
111,8
112,8
