StepNumber,NumberOfCells
1,97
2,101
3,100
4,102
5,96
6,81
7,71
8,66
9,65
10,63
11,64
12,65
13,64
14,62
15,64
16,65
17,67
18,70
19,70
20,70
21,69
22,70
23,68
24,67
25,71
26,74
27,67
28,64
29,63
30,62
31,64
32,62
33,63
34,64
35,65
36,66
37,67
38,64
39,64
40,63
41,62
42,62
43,60
44,64
45,65
46,63
47,59
48,60
49,55
50,53
51,53
52,54
53,54
54,56
55,55
56,55
57,56
58,57
59,56
60,54
61,56
62,55
63,54
64,56
65,54
66,55
67,54
68,55
69,59
70,55
71,55
72,54
73,55
74,55
75,55
76,55
77,56
78,57
79,54
80,53
81,50
82,50
83,51
84,51
85,52
86,52
87,52
88,53
89,55
90,54
91,57
92,55
93,58
94,54
95,53
96,54
97,52
98,53
99,56
100,55
101,55
102,55
103,55
104,55
105,54
106,53
107,52
108,52
109,52
110,52
111,53
112,53
