CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,28.7054252624512,31.879102071126308,0.368,30.0,0.002
2.0,30.02001953125,36.984992198455025,0.303,39.0,0.007
3.0,20.3956565856934,27.51529943292791,0.288,55.0,0.007
4.0,18.9587516784668,25.670924205406045,0.144,51.0,0.008
5.0,19.4981060028076,25.93419703921757,0.11,37.0,0.011
6.0,15.8932199478149,23.819786492040603,0.157,59.0,0.01
7.0,26.8382587432861,28.974078674316416,0.061,25.0,0.005
8.0,29.865930557251,32.61321608225504,0.109,12.0,0.011
9.0,30.4071826934814,28.054167823358014,-0.007,176.0,-0.001
10.0,19.9115905761719,26.87451638673481,-0.053,38.0,0.011
11.0,31.0628185272217,33.14511797163222,0.036,18.0,0.007
12.0,27.1336326599121,33.30783490573658,-0.055,34.0,0.005
13.0,29.9429569244385,28.232309103012092,-0.159,16.0,-0.006
14.0,21.4287548065186,27.604489066384055,-0.003,33.0,0.01
15.0,15.4457778930664,15.4457778930664,0.0,1.0,0.0
16.0,15.2226686477661,15.2226686477661,0.0,1.0,0.0
17.0,16.6028175354004,16.6028175354004,0.0,1.0,0.0
18.0,16.2909469604492,23.020143699645995,-0.031,40.0,0.012
19.0,15.8274278640747,15.8274278640747,0.0,1.0,0.0
20.0,15.3039121627808,15.3039121627808,0.0,1.0,0.0
21.0,13.0589971542358,13.0589971542358,0.0,1.0,0.0
22.0,13.9903316497803,13.9903316497803,0.0,1.0,0.0
23.0,19.0614528656006,24.625388752330426,-0.062,22.0,0.015
24.0,20.9869022369385,29.071545820969803,0.076,39.0,0.011
25.0,15.1854705810547,15.1854705810547,0.0,1.0,0.0
26.0,15.7209424972534,15.7209424972534,0.0,1.0,0.0
27.0,20.7399787902832,33.48959836772844,-0.116,51.0,0.012
28.0,21.6900157928467,24.669774511586056,0.064,23.0,0.009
29.0,15.8126430511475,15.8126430511475,0.0,1.0,0.0
30.0,15.0763540267944,15.0763540267944,0.0,1.0,0.0
31.0,16.3063144683838,26.115302439089174,-0.053,54.0,0.012
32.0,16.9998168945313,27.687189851488387,0.129,56.0,0.012
33.0,23.6203765869141,36.67470720464534,0.14,55.0,0.011
34.0,23.8314380645752,37.966700668334965,0.067,50.0,0.012
35.0,15.2372522354126,15.2372522354126,0.0,1.0,0.0
36.0,17.0042877197266,28.70474847157796,0.086,60.0,0.012
37.0,14.0984115600586,14.0984115600586,0.0,1.0,0.0
38.0,13.6886014938354,13.6886014938354,0.0,1.0,0.0
39.0,18.1867275238037,28.26409126281739,0.004,50.0,0.011
40.0,18.5340156555176,28.21351896632802,0.119,44.0,0.012
41.0,20.0054187774658,30.650016021728515,0.032,5.0,0.077
43.0,12.4613742828369,12.4613742828369,0.0,1.0,0.0
44.0,13.299952507019,13.299952507019,0.0,1.0,0.0
45.0,16.4122314453125,16.4122314453125,0.0,1.0,0.0
46.0,17.2087154388428,17.2087154388428,0.0,1.0,0.0
47.0,19.2338085174561,19.2338085174561,0.0,1.0,0.0
48.0,18.9056301116943,25.11342837359454,-0.106,37.0,0.013
