CellId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,46.620361328125,70.68512507847382,1.115,7.0,0.11
2.0,51.1689567565918,62.01575469970703,-2.499,6.0,0.086
3.0,46.8458518981934,46.8458518981934,0.0,1.0,0.0
4.0,84.1273040771484,84.76056671142577,1.049,4.0,0.013
5.0,135.869903564453,135.869903564453,0.0,1.0,0.0
6.0,51.4357719421387,44.00565147399902,-2.387,4.0,-0.028
7.0,15.2861890792847,15.2861890792847,0.0,1.0,0.0
8.0,26.6075267791748,26.6075267791748,0.0,1.0,0.0
9.0,48.2623252868652,49.12808895111085,1.06,4.0,0.031
10.0,64.5752944946289,68.8633918762207,-0.876,4.0,0.036
11.0,23.6482391357422,23.6482391357422,0.0,1.0,0.0
12.0,51.7397537231445,54.0792655944824,0.634,3.0,0.027
13.0,11.1640186309814,11.1640186309814,0.0,1.0,0.0
14.0,38.3125381469727,38.73122596740725,0.599,2.0,0.011
15.0,13.731409072876,13.731409072876,0.0,1.0,0.0
16.0,52.7674980163574,52.009984970092745,1.974,2.0,-0.015
17.0,40.549373626709,40.549373626709,0.0,1.0,0.0
18.0,17.561954498291,17.561954498291,0.0,1.0,0.0
19.0,32.7030296325684,48.04196572303771,-3.776,8.0,0.063
20.0,52.7171363830566,52.7171363830566,0.0,1.0,0.0
21.0,22.641284942627,22.641284942627,0.0,1.0,0.0
22.0,33.5907402038574,48.62386932373048,0.518,5.0,0.091
24.0,27.7704811096191,27.7704811096191,0.0,1.0,0.0
25.0,36.8347969055176,36.8347969055176,0.0,1.0,0.0
26.0,17.1015548706055,17.1015548706055,0.0,1.0,0.0
27.0,25.356050491333,25.356050491333,0.0,1.0,0.0
28.0,10.609658241272,10.609658241272,0.0,1.0,0.0
29.0,23.2629947662354,29.845648574829102,-0.288,5.0,0.061
30.0,15.8870515823364,15.8870515823364,0.0,1.0,0.0
31.0,45.519416809082,45.23792123794556,-2.95,8.0,0.035
33.0,19.0026874542236,19.0026874542236,0.0,1.0,0.0
34.0,39.3251647949219,47.066174189249686,-5.398,6.0,0.1
35.0,17.1557998657227,17.1557998657227,0.0,1.0,0.0
36.0,15.0890655517578,15.0890655517578,0.0,1.0,0.0
37.0,40.2531356811523,52.62630224227905,-0.155,8.0,0.051
38.0,18.3001861572266,50.925225496292114,-1.849,8.0,0.192
39.0,23.3692016601563,26.194961547851573,-2.613,4.0,0.051
40.0,9.7190408706665,9.7190408706665,0.0,1.0,0.0
41.0,36.7556838989258,54.70216827392581,-4.693,5.0,0.115
42.0,48.3617286682129,60.509789276123044,-2.577,5.0,0.085
43.0,33.3981285095215,33.3981285095215,0.0,1.0,0.0
44.0,18.4040966033936,37.45360412597658,-4.357,5.0,0.2
45.0,17.2593727111816,17.2593727111816,0.0,1.0,0.0
46.0,27.1350326538086,31.9777226448059,-3.475,4.0,0.072
47.0,30.423360824585,37.7344298362732,-5.772,4.0,0.095
48.0,31.0924339294434,32.99125337600708,-2.215,4.0,0.027
