StepNumber,NumberOfCells
1,9
2,9
3,9
4,8
5,8
6,8
7,8
8,8
9,8
10,7
11,7
12,8
13,9
14,10
15,11
16,11
17,11
18,11
19,12
20,13
21,13
22,14
23,14
24,15
25,15
26,16
27,16
28,17
29,18
30,16
31,17
32,18
33,18
34,19
35,19
36,19
37,21
38,21
39,22
40,23
41,23
42,25
43,25
44,25
45,26
46,26
47,27
48,28
49,28
50,31
51,32
52,32
53,34
54,35
55,37
56,38
57,40
58,41
59,41
60,42
61,41
62,44
63,43
64,42
65,42
66,45
67,48
68,50
69,46
70,45
71,49
72,48
73,46
74,49
75,48
76,51
77,51
78,50
79,49
80,48
81,46
82,49
83,46
84,47
85,51
86,50
87,50
88,48
89,52
90,52
91,56
92,54
93,54
94,45
95,46
96,46
97,48
98,48
99,48
100,42
101,43
102,45
103,45
104,44
105,45
106,45
107,48
108,51
109,48
110,47
111,46
112,46
113,42
114,41
115,44
116,43
117,38
118,39
119,46
120,38
121,33
122,33
123,27
124,30
125,24
126,26
127,21
128,20
129,16
130,16
131,14
132,14
133,13
134,12
135,12
136,11
137,11
138,11
139,10
140,10
141,12
142,10
143,11
144,11
145,9
146,9
147,9
148,8
149,6
150,5
151,5
152,5
153,4
154,3
155,2
156,3
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,2
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
