CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,29.35817527771,27.13164815595073,0.031,93.0,-0.001
2.0,26.408992767334,34.43261014498197,-0.341,13.0,0.029
3.0,29.444091796875,35.438509464263895,0.119,12.0,0.008
4.0,18.5703220367432,27.765509605407708,-0.294,20.0,0.028
5.0,22.2227230072021,29.23426069532122,-0.049,14.0,0.027
6.0,16.5246753692627,24.35643346686113,-0.047,19.0,0.027
7.0,18.388744354248,26.301611836751302,-0.354,15.0,0.031
8.0,19.4574432373047,27.107514517647893,0.118,14.0,0.032
9.0,36.1420822143555,40.87207467215401,0.032,7.0,0.022
10.0,20.6424884796143,20.915580113728865,0.162,3.0,0.006
11.0,21.3592567443848,32.02026768734581,-0.049,19.0,0.028
12.0,21.7802600860596,29.930303573608395,-0.057,13.0,0.033
13.0,20.7974586486816,28.9743447303772,-0.234,12.0,0.035
14.0,20.0105381011963,28.43705774943035,0.006,15.0,0.032
15.0,20.4359302520752,28.29941380818686,-0.018,15.0,0.027
16.0,16.7010631561279,27.239812660217275,-0.008,20.0,0.031
17.0,15.3075170516968,23.65664248466493,-0.098,20.0,0.03
18.0,16.1229877471924,21.339618301391603,0.011,10.0,0.028
19.0,15.56285572052,21.68861623243852,-0.078,33.0,0.016
20.0,17.8491020202637,26.585954217349776,-0.075,17.0,0.034
21.0,16.1090927124023,23.48948967456817,-0.063,16.0,0.032
22.0,14.507363319397,15.429565565926685,0.2,7.0,-0.004
23.0,16.4096412658691,25.729550242424,0.088,16.0,0.036
24.0,17.0733051300049,25.216416888766812,-0.25,18.0,0.031
25.0,20.7838153839111,29.309465771629696,0.014,21.0,0.023
26.0,15.2727670669556,24.37207635243734,0.05,15.0,0.037
27.0,15.3738603591919,22.75710071836199,-0.475,14.0,0.034
28.0,17.7720546722412,25.805217234293604,-0.072,15.0,0.033
29.0,17.47536277771,27.38595962524414,-0.377,21.0,0.028
30.0,21.0168533325195,26.760430849515476,-0.199,13.0,0.022
31.0,22.0705337524414,32.585698962211616,-0.007,16.0,0.029
32.0,18.1391201019287,25.914698820847736,0.483,13.0,0.035
33.0,17.7905139923096,26.88567339579264,0.078,15.0,0.037
34.0,18.3528079986572,26.487527720133457,0.212,15.0,0.032
35.0,16.8326663970947,25.2496824998122,0.357,13.0,0.041
36.0,16.7941818237305,25.605775356292725,-0.211,16.0,0.031
37.0,16.2019367218018,22.698049545288082,-0.37,14.0,0.036
38.0,18.9108695983887,25.419873293708353,0.104,17.0,0.021
39.0,17.9766387939453,26.788499430606254,-0.061,19.0,0.028
40.0,17.9325942993164,25.713640975952156,0.432,15.0,0.032
41.0,16.7256240844727,25.605581844554226,-0.071,17.0,0.035
42.0,18.8488159179688,28.341759513406195,0.208,17.0,0.033
43.0,19.7806301116943,29.648978339301216,0.275,18.0,0.031
44.0,17.1997890472412,17.1997890472412,0.0,1.0,0.0
45.0,15.4904155731201,22.751522232504445,-0.215,17.0,0.032
46.0,15.0410966873169,22.07827388539034,-0.134,17.0,0.029
47.0,15.10107421875,23.701657800113452,-0.365,17.0,0.033
48.0,17.7048816680908,25.556088279275333,-0.222,17.0,0.03
49.0,16.7979049682617,25.80714012594784,-0.115,17.0,0.034
50.0,14.7813739776611,22.0782435280936,0.338,14.0,0.037
51.0,16.7630443572998,14.698060035705577,-0.136,4.0,-0.037
52.0,18.5593357086182,27.694621159480185,-0.719,13.0,0.036
53.0,17.3707256317139,16.647327899932876,0.641,4.0,-0.01
54.0,16.465669631958,20.088533810206822,0.016,14.0,-0.01
55.0,19.1368789672852,19.1368789672852,0.0,1.0,0.0
56.0,14.7328662872314,22.399080403645833,-0.281,15.0,0.034
57.0,14.1787176132202,23.541889807757215,0.157,17.0,0.037
58.0,14.1479463577271,22.39508022981531,0.06,17.0,0.011
59.0,14.9955940246582,14.116573452949538,-0.437,8.0,-0.02
60.0,21.0994815826416,25.219892501831062,0.369,10.0,0.022
61.0,20.7558650970459,29.53243446350097,0.212,17.0,0.029
62.0,20.1323623657227,20.698859623500287,-0.536,7.0,0.007
63.0,22.7840442657471,29.12280714511872,0.106,16.0,0.024
64.0,17.5731182098389,24.933319678673367,0.323,13.0,0.034
65.0,18.429328918457,28.54681706428527,-0.098,16.0,0.037
66.0,18.1516361236572,23.701664107186453,0.046,14.0,0.01
67.0,18.8242053985596,27.712442016601564,0.017,15.0,0.033
68.0,15.576678276062,23.759573512607147,-0.543,18.0,0.031
69.0,14.985710144043,21.614812374115,0.198,16.0,0.034
70.0,18.2080764770508,24.793765434852023,0.212,13.0,0.036
71.0,22.1574535369873,31.546846389770515,0.119,20.0,0.019
72.0,15.4775257110596,22.1709368387858,-0.51,15.0,0.036
73.0,19.0386390686035,25.736528260367255,-0.745,14.0,0.032
74.0,18.0487098693848,23.37044185400009,-0.092,16.0,0.008
75.0,13.9164171218872,18.96555527773771,0.013,11.0,0.04
76.0,16.1434764862061,25.787690401077278,0.312,16.0,0.033
77.0,16.3592739105225,24.060486094156897,0.211,15.0,0.034
78.0,17.618034362793,25.94357755449083,0.024,18.0,0.029
79.0,16.709566116333,20.458067962101524,-0.138,14.0,-0.005
80.0,17.9639339447021,25.94516588846842,0.356,15.0,0.033
81.0,17.0668354034424,25.18508936564128,0.169,15.0,0.034
82.0,18.9581699371338,26.534241403852185,0.518,14.0,0.033
83.0,19.7653656005859,27.75382954733713,0.048,14.0,0.037
84.0,18.2601566314697,23.91140188489641,0.285,14.0,0.03
85.0,19.4125995635986,24.935217050405637,-0.409,13.0,0.027
86.0,20.3515796661377,28.13183033466339,-0.391,16.0,0.028
87.0,20.6449794769287,27.839726765950505,-0.131,15.0,0.03
88.0,16.503885269165,21.347304417536822,0.318,13.0,0.032
89.0,15.5306873321533,22.391827310834618,-0.246,14.0,0.032
90.0,17.6414222717285,25.185696538289402,-0.31,15.0,0.032
91.0,16.4742946624756,25.475567881266272,-0.46,15.0,0.036
92.0,13.8109273910522,12.448729038238504,-0.945,4.0,0.0
93.0,14.2181186676025,14.63249588012695,0.831,2.0,0.019
94.0,9.75864124298096,9.896020412445079,0.66,2.0,0.009
96.0,15.9836578369141,25.11298217773437,-0.739,20.0,0.029
97.0,14.0972528457642,20.187298138936377,-0.142,12.0,0.037
98.0,15.6977729797363,25.952091097831723,-0.671,48.0,0.011
99.0,13.8318881988525,22.581789289201996,0.222,14.0,0.038
100.0,17.3763656616211,25.285355567932122,-0.69,14.0,0.035
101.0,16.5431175231934,22.390409029447117,-0.387,13.0,0.026
102.0,17.4592323303223,22.51623547871907,-0.349,15.0,0.027
103.0,18.9251861572266,26.766014734903973,-0.851,18.0,0.021
104.0,16.0470714569092,21.053084423667507,-0.668,19.0,-0.006
105.0,12.8550109863281,17.93929255008696,0.02,8.0,0.04
106.0,15.1481170654297,23.278533935546868,-0.519,15.0,0.037
107.0,16.2745800018311,24.901210486888882,-0.163,16.0,0.036
108.0,15.2418031692505,13.577311158180251,-0.194,8.0,-0.02
110.0,18.9285221099854,26.89859068393707,0.068,16.0,0.032
111.0,17.373722076416,25.948496409824934,0.072,14.0,0.038
112.0,17.2538108825684,18.276093721389785,-0.261,8.0,-0.02
113.0,11.3776836395264,23.96957617998123,-0.114,16.0,0.047
114.0,17.8226852416992,17.8226852416992,0.0,1.0,0.0
115.0,18.6295967102051,21.529101439884737,-0.676,14.0,-0.026
116.0,20.5642242431641,28.006186604499817,-0.226,16.0,0.027
117.0,19.4661331176758,28.480123519897464,-0.797,14.0,0.035
