TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,-0.443885750432197,101.166270811116,79.7368189313688,51,8.81829285505787,0,4,5
1,2,2,0.0110200029668087,54.5,130.5,34,8.79033043033119,0,6,7
2,1,1,-0.461341524156048,100.782574891596,74.6577280621438,57,8.8359919184279,0,4,5
2,2,2,0.0266517796734668,55.06,126.21,38,8.81213704923225,0,6,7
3,1,1,-0.466166268438716,100.466113920365,75.0485655104234,59,9.1336662824358,0,4,5
3,2,2,0.0278234842439439,54.07,126.88,40,8.89798292048575,0,6,7
4,1,1,-0.486433607338116,100.911214234646,67.7960085207608,65,9.00112611986729,0,4,5
4,2,2,0.0315878725654082,54.21,119.97,44,8.92824143264469,0,6,7
5,1,1,-0.497118403470673,101.137927570082,65.7610328573201,67,9.02587521322848,0,4,5
5,2,2,0.0246260804610729,53.9723117957404,119.060151603298,46,8.73637729993014,0,6,7
6,1,1,-0.512484867148633,101.790936575275,62.5805921836081,75,9.26586161235486,0,4,5
6,2,2,-0.0211710498567969,52.61,117.39,51,9.44810532586006,0,6,7
7,1,1,-0.519175042697762,102.120278449694,62.6801467616908,79,8.98373978887702,0,4,5
7,2,2,-0.0528852058285915,52.1635697213391,118.560699048299,52,8.8743454016852,0,6,7
8,1,1,-0.543934388502551,101.864099463019,58.9347655747324,89,8.73130129687613,0,4,5
8,2,2,-0.0503759205644405,51.609645383508,115.411268598372,57,9.20697875381266,0,6,7
9,1,1,-0.548845472130389,101.458266322835,58.8822761019811,91,8.73714146001049,0,4,5
9,2,2,-0.0479249135466983,50.9860467149911,116.290574089441,59,8.94377862798998,0,6,7
10,1,1,-0.560636911668499,100.107588575217,59.6703749307522,103,8.80317688360847,0,4,5
10,2,2,-0.0558033410817402,50.7263384246944,116.402334903653,64,9.07182694011211,0,6,7
11,1,1,-0.562637226346818,99.2068375032861,61.3617026161777,108,8.74205297159596,0,4,5
11,2,2,-0.0672344201620779,50.5728162235557,118.172259382313,68,9.00031767908022,0,6,7
12,4,1,-0.60846298293853,121.166331041848,43.7786568072594,65,8.50582543056493,1,8,9
12,5,1,-0.505980584067765,74.5906692205375,73.6906007202509,58,8.69371761180525,1,14,15
12,6,2,0.251436881240406,66.9356020422703,114.924277965752,38,8.1766695556566,2,12,13
12,7,2,-0.514848846597318,30.7565786367815,117.888247611137,41,8.54927158378685,2,10,11
13,4,1,-0.573680866175603,119.494045447797,44.6784997889591,67,8.30087905061201,1,8,9
13,5,1,-0.486261778262023,75.7673944934248,73.6881658872694,62,8.50605078609762,1,14,15
13,6,2,0.337255018852754,63.7918197430018,114.440050794952,41,8.27375463321502,2,12,13
13,7,2,-0.405532695105858,30.8142830480664,118.59002321563,43,8.62110172678257,2,10,11
14,4,1,-0.515228280260439,116.156923898945,45.9590839056727,75,8.02590675068408,1,8,9
14,5,1,-0.437862719812368,78.6708156163487,72.1010177628429,70,8.22262648876585,1,14,15
14,6,2,0.342566909754045,62.154094043047,113.471895529283,46,7.56590633952322,2,12,13
14,7,2,-0.310871454239075,32.7492452290966,118.802775808662,46,8.66462533565231,2,10,11
15,4,1,-0.492525149569136,113.292701842528,45.9864279112786,79,8.01413609878991,1,8,9
15,5,1,-0.422324102967476,78.8964250110948,70.0786428750421,73,8.05176258916274,1,14,15
15,6,2,0.348563123696479,59.7000677776544,111.849226154224,48,7.39654637954585,2,12,13
15,7,2,-0.271419098963445,32.6521065882619,117.727266611473,47,8.67509393645929,2,10,11
16,5,1,-0.394120700517428,81.7716761601957,69.9796653522613,81,8.02680271216277,1,14,15
16,6,2,0.335109051710288,57.27,111.48,52,7.62357393000744,2,12,13
16,8,1,-0.554370643677994,128.168707647848,36.3665639401404,45,7.93103404069636,4,21,22
16,9,1,-0.196937078756346,94.064668707242,55.901496243413,48,7.1225137421366,4,0,0
16,10,2,0.359122340562976,46.4776235295179,115.336170830493,29,7.13367057000134,7,25,26
16,11,2,-0.707445764027021,22.2050770318136,119.450093219564,30,7.74301591835794,7,0,0
17,5,1,-0.385740676333255,81.5464007856896,69.7590572168384,85,8.03365186830409,1,14,15
17,8,1,-0.519218004723504,125.834103736108,37.4418993222558,47,7.57269080786144,4,21,22
17,9,1,-0.1917819400779,94.2955288370333,56.6038626960557,50,7.02059705766796,4,0,0
17,10,2,0.327835561621088,46.5609973103001,116.216629250929,30,7.10404133257989,7,25,26
17,11,2,-0.732368900702629,20.9374797793233,119.983887214291,31,7.33659765306784,7,0,0
17,12,2,0.217869624296146,42.0198949778547,107.093744876634,28,7.03498919897495,6,0,0
17,13,2,0.317977767758325,67.7687420261814,116.508611629559,28,7.58617105656295,6,31,32
18,5,1,-0.370837131144222,85.4300226861508,66.678741358741,94,7.98803807186499,1,14,15
18,8,1,-0.482993032238407,123.777236323578,36.843392878122,51,7.64055170240908,4,21,22
18,9,1,-0.192000865844463,97.4654116871769,53.6808121941742,56,7.21398395149952,4,0,0
18,10,2,0.349677577435629,50.3397416110045,115.861297457339,34,6.99944177115956,7,25,26
18,11,2,-0.72069601869191,21.9157194099827,117.484372806965,34,7.53156099851103,7,0,0
18,12,2,0.216403415627359,40.37,104.69,31,6.93210882806254,6,0,0
18,13,2,0.340051435363295,67.7032322086858,114.161368755626,30,7.47734160978853,6,31,32
19,8,1,-0.469021959775136,123.362012440985,37.3499983617233,53,7.71905789467248,4,21,22
19,9,1,-0.204747251260298,99.2916598484877,53.619556202295,58,6.83978867199633,4,0,0
19,10,2,0.370482146251215,51.4049560111648,116.482891103114,35,7.00465693283875,7,25,26
19,11,2,-0.718005959373563,22.237617421277,118.424498347847,35,7.5912036194851,7,0,0
19,12,2,0.178883868940966,38.7869442316175,104.549012867979,32,7.15358453517878,6,0,0
19,13,2,0.335929155882203,67.9972289459878,114.766875478212,32,7.43711962817581,6,31,32
19,14,1,-0.24096388068698,104.309319384888,60.1155542033491,60,7.4661699339081,5,23,24
19,15,1,-0.62611186542663,60.3619971858957,77.7506241378717,43,7.9263396803788,5,29,30
20,8,1,-0.434244120845018,120.574318956151,39.9168259200937,59,7.56292803161534,4,21,22
20,9,1,-0.609104984334877,83.016980216405,70.8133537208064,91,5.17999748964575,4,0,0
20,10,2,0.379578409477829,56.5147355398738,119.684410464798,40,6.99114600702113,7,25,26
20,11,2,-0.668439724762703,23.1627514290555,118.732934442259,37,7.43037842732115,7,0,0
20,13,2,0.360880798084984,68.2,116.22,34,7.40718092957544,6,31,32
20,14,1,-0.290573339129894,103.077709326394,61.8842109031799,68,7.66160803633921,5,23,24
20,15,1,-0.747549987640008,60.7395322077692,76.9200700837637,47,8.08225833990307,5,29,30
21,8,1,-0.425751557069023,119.503005362832,39.8407285930903,63,7.04727824411767,4,21,22
21,9,1,-0.30398054357826,108.688641227861,51.3383051853163,64,7.07578429033583,4,0,0
21,10,2,0.360348313441022,58.1221129674713,119.253699901329,42,7.05709446463968,7,25,26
21,11,2,-0.669626317934034,24.0509872658573,117.943572984492,39,7.24522178031554,7,0,0
21,13,2,0.350032436603307,68.6203192050435,115.758535861332,37,6.88924945244851,6,31,32
21,14,1,-0.311856396708326,104.436586990658,61.4541171903036,70,7.63364322620352,5,23,24
21,15,1,-0.763218158997999,62.2319919916017,75.7679026972914,48,7.97054484095664,5,29,30
21,20,8,-0.123775834943751,35.9703652003423,105.49938046708,35,7.40702090031586,0,34,35
22,9,1,-0.349358735819089,113.544590701841,50.7091848155393,72,6.99599134545117,4,0,0
22,11,2,-0.583488477779619,27.3999264532521,117.468166224131,43,7.12674862549394,7,0,0
22,13,2,0.289509068706313,67.0027408793795,115.350807928536,40,7.03406959431179,6,31,32
22,15,1,-0.814396855135446,63.632903047161,74.9183823668523,53,8.14531455011295,5,29,30
22,20,8,-0.226681216454065,37.2981377851297,105.893955901158,42,7.10918180735675,0,34,35
22,21,1,-0.46274638344432,135.637803933992,32.2645515312696,29,6.79764446075893,8,0,0
22,22,1,-0.210074074341676,104.557540081526,47.2037492973759,42,7.08939128556874,8,0,0
22,23,1,-0.422691279490707,121.975324526396,56.6979823563246,46,7.25891699974016,14,36,37
22,24,1,-0.55845290250892,84.6184515641005,68.2558975428241,35,7.34992070905147,14,0,0
22,25,2,0.00344654665321917,44.36,117.83,24,6.66495014745254,10,0,0
22,26,2,0.282872075724326,66.86,122.83,24,6.6258391376793,10,0,0
23,9,1,-0.362234607880402,114.661547071625,52.2226609393033,76,6.81129974948459,4,0,0
23,11,2,-0.605097287903064,28.4035391938922,119.390685433324,45,7.2460785593871,7,0,0
23,20,8,-0.233464154172386,37.5516273015285,107.387822987186,44,7.26209244308495,0,34,35
23,21,1,-0.471076451703293,135.894771501254,34.7564567312103,30,7.04409121311014,8,0,0
23,22,1,-0.213132085418362,102.235761074357,49.3086866021807,44,7.03510878840487,8,0,0
23,23,1,-0.436227437073457,123.052523209549,57.7263521045335,48,7.22850436516094,14,36,37
23,24,1,-0.602856885515981,83.712504861737,72.2607021747691,37,7.57624358937295,14,0,0
23,25,2,-0.0152462858731293,43.6223771523923,119.320058111183,26,6.76515715222918,10,0,0
23,26,2,0.291043666053113,67.6510275424707,124.676523922104,25,7.14588315420165,10,0,0
23,29,1,-1.15206024434885,73.3333030292654,65.3631982067772,30,7.19153614446607,15,0,0
23,30,1,-0.397527391591195,55.3235698655298,86.2810105282516,31,7.54427017734543,15,0,0
23,31,2,0.165796543741444,57.13,114.32,20,6.80032899363748,13,0,0
23,32,2,0.401900811871273,76.4344157992874,120.280159559752,23,7.10659773342948,13,0,0
24,9,1,-0.384904771422798,115.005470877349,53.056834192433,86,6.87247430282614,4,0,0
24,11,2,-0.597839632042986,28.1989895689554,120.108740650536,49,7.33407797888121,7,0,0
24,21,1,-0.466734203778087,138.626549087609,34.5119713370384,31,7.0700189281068,8,0,0
24,22,1,-0.245383828226358,101.644977923226,50.7514643365005,51,7.22059162755178,8,0,0
24,23,1,-0.458051184714542,126.072201024236,56.5269159682848,54,7.03352579965782,14,36,37
24,24,1,-0.681104911288879,83.2591351640816,74.7614191380727,42,7.23349888633473,14,0,0
24,25,2,-0.113683018078869,42.0732808468552,120.133227478954,28,6.66872926558112,10,0,0
24,26,2,0.306434511278581,68.1532924013275,124.979169415012,28,7.05295288379874,10,0,0
24,29,1,-1.3167417972957,72.5069955983905,62.1781479693873,34,7.02751861717066,15,0,0
24,30,1,-0.43544839969161,54.2942489950392,87.3724319958038,33,7.72032946549414,15,0,0
24,31,2,0.194246057671326,59.7265134132984,114.63940326025,21,6.97887571756328,13,0,0
24,32,2,0.511480971753828,79.949255102434,122.321275676545,25,7.35467679633719,13,0,0
24,34,8,0.191094588929822,50.13,105.13,24,6.70569128221629,20,0,0
