TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,0.813455262486483,86.0198367622014,124.293171518071,23,7.83100204517056,0,4,5
1,2,2,1.03289688048096,74.6412132414223,125.512333195578,18,7.75404021164771,0,8,9
1,3,3,0.678827452335204,87.2969048376289,137.575214311473,17,7.69932629017219,0,6,7
2,1,1,0.788361452885533,88.412095359025,125.002896323393,24,7.64498374903366,0,4,5
2,2,2,1.15718460814119,76.7512028585758,125.953121961913,20,7.28399060103385,0,8,9
2,3,3,0.75067967632759,90.0689320429283,138.075612703087,18,7.43642140913504,0,6,7
3,1,1,0.776640654336739,90.1429203340515,123.536192414889,27,7.62072105184267,0,4,5
3,2,2,1.39931449054154,77.7793456966182,125.207976145837,22,7.77227878812739,0,8,9
3,3,3,0.821876302370692,90.9837877023793,134.870424078278,20,7.58710003450094,0,6,7
4,1,1,0.783006966159241,91.3072930352698,122.064397794901,28,7.85649121575556,0,4,5
4,2,2,1.4223115522594,77.6765054371258,124.931909625574,22,8.16495554677563,0,8,9
4,3,3,0.828877664364052,90.9535614945432,133.179265036066,22,7.08949422741693,0,6,7
5,1,1,0.828541347765221,93.9195026247952,122.416448802183,30,7.82976709624246,0,4,5
5,2,2,1.44032160063721,80.458499758733,124.840104848362,24,8.0128711978041,0,8,9
5,3,3,0.870903326038533,93.6850888862887,133.854135846015,22,7.65523567895011,0,6,7
6,1,1,0.842466351600038,95.3068564742398,121.612812122951,33,7.75918976017574,0,4,5
6,2,2,1.44448080070647,81.6879672041406,124.405979887043,26,7.94890074772376,0,8,9
6,3,3,0.877402143932271,94.3872271599099,133.469645837907,24,7.51811841150783,0,6,7
7,1,1,0.854975908203663,97.5627224467835,122.278118344259,34,7.54104877171271,0,4,5
7,2,2,1.41210777874065,83.8672706293219,124.535293998159,28,7.92851290990225,0,8,9
7,3,3,0.897906604687785,97.6579760812034,134.073248417912,27,7.51271537918178,0,6,7
8,2,2,1.33601305993905,80.8774352167165,122.202632203954,34,8.22854178919857,0,8,9
8,3,3,0.996227318298597,95.0105733873539,132.013473055433,33,7.64127468639163,0,6,7
8,4,1,0.822907007747634,89.2768275995387,111.283529901107,21,7.18778660598851,1,28,29
8,5,1,0.9804992419463,100.934612321998,127.748303929121,23,7.55946515421388,1,0,0
9,2,2,1.31803918475574,81.2917733880343,122.430074444679,38,7.94994982052992,0,8,9
9,3,3,1.00590807070659,94.9930273630883,132.982982152552,36,7.4476502682173,0,6,7
9,4,1,0.82959405235399,88.8911713269559,110.517587632979,22,7.76617369168584,1,28,29
9,5,1,1.03042181523725,101.831241964327,128.937228588702,24,7.74790970421337,1,0,0
10,2,2,1.26697729571522,81.572014900305,123.651232542799,40,8.14527037675863,0,8,9
10,3,3,1.03171049670528,96.0860566614367,133.370938362913,39,7.50402576956962,0,6,7
10,4,1,0.793732666667067,89.273512231167,109.880594453283,24,7.76393274130662,1,28,29
