CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.3,23,10,1.10941527934359,29,-1.17421071284171
2,0.48,26,5,2.02941706837895,31.6,-1.35763593956513
3,0.36,25,5,2.72615577719032,29.4,-0.849134051814903
4,0.4,24,5,1.43791441288277,28.6,-1.3877586161852
5,0.44,26,5,2.74092037739272,31.4,-1.47287412666967
6,0.472727272727273,23,11,0.827787748258973,31,-1.01691643394803
7,0.4,24,5,3.0128561090266,28.6,-1.51106082821706
8,0.8,23,7,0.412010016834178,33.8571428571429,-0.869543452227874
9,0.36,24,5,0.70719636655845,28.2,-1.02137548248847
10,0.44,21,5,1.69718956185157,26.6,0.277626936467659
11,0.44,23,5,2.75229571363611,28.2,0.867407229715337
12,0.32,22,5,3.76742805342638,26,1.49050466941455
13,0.48,26,5,2.31305478577033,31.4,0.869387732803881
14,0.8,24,6,3.36832851824788,32.5,-0.028305125540459
15,0.111111111111111,23,9,0.322835106342297,25.8888888888889,-1.26937494861868
16,0.4,23,5,0.526932018282779,27.6,-0.583234997272924
17,0.311111111111111,24,9,0.89442203046999,31.1111111111111,-1.38391006383874
18,0.44,21,5,2.30589498274272,26.6,-1.46085879223623
19,0.355555555555556,26,9,1.15123609367659,34.3333333333333,-1.39450760143864
20,0.4,22,9,1.53099654166597,30.3333333333333,-0.817556778879086
21,0.56,28,5,3.03492789195834,34.2,1.38135991385426
22,0.2,25,9,1.44508688723042,30.3333333333333,-1.20530828239603
23,1.06666666666667,20,6,2.88336492792427,29.6666666666667,-0.902944563531425
24,0.32,22,5,4.03759125513508,25.6,1.30597249582653
25,0.55,28,4,2.56295506206608,33,-0.776532178164849
26,0.55,28,4,4.54273742454448,33.25,-1.37138906374445
27,0.52,27,5,3.63850975227847,33,1.38256982272479
28,0.92,28,5,4.16530668410256,36,-0.158640733436012
29,0.533333333333333,30,3,0.166919405354264,34,-0.550449829688776
30,1,27,4,1.80316237856907,34.75,-0.854954435775646
31,0,52,1,NaN,NaN,NaN
32,0.35,22,4,-0.339162054217913,25.25,1.48063649612025
33,0.45,24,4,0.0793067892136015,28.5,-1.48851148187943
34,0.45,23,4,-0.300701836246327,27.25,-0.271306716775896
35,0.35,23,4,0.583800281922974,26.25,-0.663283029003497
36,0.5,28,4,0.415001327445109,32.75,-1.483838207118
37,0.5,25,4,1.00944305941711,29.5,-0.762010891188327
38,1.05,53,4,1.4165394530387,63.25,-0.870442140288609
39,0.45,27,4,1.36678737332014,31,-0.85534682861836
40,0.4,23,4,2.64688264313798,26.75,-1.08059258300951
41,0.5,25,4,2.37130039417228,29.5,-1.00165983863943
42,0.4,22,4,4.36619103840556,25.75,-1.44881317048674
43,0.4,20,4,5.91839853349062,24.5,1.44087594090965
44,0.55,24,4,3.69371415018425,29.5,-0.0103741344515888
45,0.5,26,4,5.24321488631085,30.5,0.00267560783718035
46,0.45,22,4,3.3525421822606,26.25,-0.373877599803518
47,0.55,29,4,4.17928515653083,34.25,1.49155459588758
48,0.466666666666667,31,3,-0.593512772653128,34.3333333333333,-0.224895259941495
49,0.466666666666667,28,3,0.763004719436045,31.3333333333333,-0.681247880340166
50,0.4,26,3,3.01456272467035,29,-1.20773422081247
51,0.4,28,3,5.66638022843313,31,-1.20812435057619
52,0.533333333333333,28,3,6.25183890647254,32,-1.35356438730707
53,0.4,32,3,8.79858878826875,34.6666666666667,1.40851194882157
54,0.266666666666667,22,3,6.52604340537602,24,1.40352520580875
55,0.333333333333333,22,3,8.00575670348996,24.3333333333333,-0.502222367065283
56,0.333333333333333,28,3,4.59144614866464,30.3333333333333,-1.10697831276549
57,0.533333333333333,30,3,7.22328256168629,34,-0.891355846581195
