StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,3
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,8
58,8
59,8
60,8
61,7
62,8
63,7
64,9
65,7
66,8
67,12
68,12
69,12
70,12
71,12
72,17
73,17
74,17
75,17
76,17
77,18
78,21
79,22
80,26
81,24
82,26
83,31
84,32
85,30
86,35
87,38
88,39
89,37
90,38
91,41
92,43
93,47
94,52
95,61
96,60
97,75
98,78
99,76
100,74
101,82
102,88
103,89
104,96
105,102
106,98
107,98
108,107
109,114
110,115
111,125
112,138
113,142
114,147
115,152
116,150
117,159
118,172
119,176
120,183
121,182
122,190
123,218
124,234
125,238
126,245
127,254
128,267
129,265
130,291
131,295
132,297
133,235
134,246
135,299
136,352
137,393
138,441
139,466
140,424
141,478
142,470
143,516
144,517
145,515
146,565
147,574
148,616
149,620
150,666
151,706
152,711
153,758
154,736
155,731
156,753
157,855
158,866
159,836
160,882
161,880
162,912
163,923
164,1110
165,1081
166,1047
167,1001
168,973
169,1144
170,1195
171,1013
172,944
173,997
174,931
175,1308
176,1358
177,1385
178,1270
179,1276
180,1220
181,1191
182,1538
183,1576
184,1569
185,1291
186,1752
187,1681
188,1401
189,1708
190,1644
191,1766
192,1703
193,1770
194,1868
195,1619
196,1936
197,1849
198,1830
199,1753
200,1687
201,1842
202,1909
203,1807
204,1707
205,0
206,2312
207,2218
208,2189
209,2401
210,2332
211,2540
212,2552
213,2592
214,2509
215,2631
216,2469
217,2622
218,2518
219,2525
220,2515
221,2581
222,2494
223,2462
224,2705
225,2676
226,2642
227,2707
228,2752
229,2712
230,2953
231,2709
232,2831
233,2837
234,2991
235,3038
236,2659
237,0
238,3124
239,2792
240,2751
241,0
242,0
243,0
244,0
245,0
246,0
247,3234
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,2649
258,2477
259,0
260,0
261,2533
262,0
263,0
264,0
265,2538
266,0
267,0
268,0
269,3082
270,2567
271,0
272,0
273,0
274,0
275,2705
276,0
277,0
278,0
279,2775
280,2538
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,2522
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,2582
305,2404
306,2454
307,2744
308,0
309,2575
