StepNumber,NumberOfCells
1,170
2,158
3,157
4,161
5,163
6,168
7,168
8,164
9,170
10,166
11,170
12,172
13,173
14,184
15,184
16,189
17,188
18,186
19,189
20,185
21,198
22,200
23,212
24,208
25,218
26,225
27,245
28,256
29,253
30,253
31,260
32,261
33,278
34,305
35,306
36,311
37,329
38,324
39,316
40,336
41,344
42,362
43,359
44,382
45,398
46,420
47,430
48,439
49,454
50,458
51,482
52,476
53,499
54,506
55,559
56,586
57,591
58,609
59,635
60,642
61,630
62,678
63,715
64,693
65,747
66,786
67,815
68,862
69,890
70,909
71,946
72,962
73,1004
74,1037
75,1059
76,1085
77,1041
78,1197
79,1206
80,1208
81,1289
82,1300
83,1345
84,1406
85,1442
86,1448
87,1507
88,1625
89,1725
90,1760
91,1781
92,1875
93,1895
94,1935
95,1988
96,2062
97,2140
98,2196
99,2450
100,2461
101,2445
102,2533
103,2584
104,2660
105,2690
106,2735
107,2802
108,2843
109,2982
110,3132
111,3180
112,3447
