StepNumber,NumberOfCells
1,65
2,67
3,70
4,74
5,75
6,74
7,74
8,70
9,69
10,73
11,75
12,76
13,78
14,77
15,74
16,74
17,75
18,75
19,76
20,72
21,76
22,76
23,75
24,72
25,72
26,70
27,74
28,73
29,73
30,71
31,74
32,70
33,72
34,73
35,73
36,70
37,74
38,78
39,78
40,80
41,79
42,80
43,75
44,78
45,74
46,78
47,82
48,79
49,74
50,72
51,70
52,71
53,76
54,69
55,67
56,61
57,63
58,65
59,76
60,85
61,80
62,76
63,76
64,72
65,75
66,82
67,77
68,81
69,81
70,70
71,69
72,68
73,66
74,63
75,56
76,67
77,66
78,84
79,72
80,66
81,62
82,48
83,52
84,47
85,47
86,46
87,46
88,65
89,87
90,61
91,55
92,68
93,63
94,59
95,63
96,65
97,89
98,94
99,45
100,45
101,38
102,46
103,45
104,75
105,15
106,38
107,13
108,29
109,46
110,63
111,87
112,91
