StepNumber,NumberOfCells
1,125
2,123
3,123
4,124
5,126
6,126
7,128
8,128
9,130
10,131
11,134
12,136
13,136
14,138
15,143
16,145
17,145
18,145
19,149
20,150
21,154
22,156
23,158
24,162
25,163
26,165
27,166
28,168
29,172
30,172
31,174
32,180
33,188
34,192
35,196
36,199
37,205
38,209
39,218
40,221
41,227
42,231
43,241
44,253
45,261
46,266
47,270
48,270
49,275
50,284
51,292
52,304
53,314
54,318
55,343
56,356
57,369
58,385
59,396
60,398
61,410
62,419
63,421
64,438
65,459
66,491
67,495
68,512
69,526
70,553
71,569
72,613
73,641
74,642
75,653
76,673
77,735
78,756
79,769
80,791
81,804
82,829
83,860
84,862
85,872
86,920
87,948
88,1017
89,1046
90,1079
91,1159
92,1202
93,1205
94,1300
95,1324
96,1367
97,1427
98,1492
99,1580
100,1616
101,1655
102,1675
103,1661
104,1694
105,1675
106,1712
107,1705
108,1747
109,1768
110,1940
111,1971
112,1991
