CellNumber,GrowthRate,BirthLength,LifeHistory
1,0.023070677,21,30
2,0.021685456,22,34
3,0.014186003,22,18
4,0.009758033,40,6
5,0.02210951,40,25
6,0.013572506,22,60
7,0.014710288,20,79
8,0.02708539,18,34
9,0.015197181,38,6
10,0.025094026,19,23
11,0.022993731,22,27
12,0.014234214,22,43
13,0.028264259,17,33
14,0.017188886,18,38
15,0.019558053,23,28
16,0.013696065,26,53
17,0.001502817,20,94
18,0.018561565,33,10
19,0.018550927,33,14
20,0.023061299,25,18
21,0.000487092,18,112
22,0.003060448,21,95
23,0.024496441,24,14
24,0.022233763,23,27
25,0.023901264,25,10
26,0.032694308,15,31
27,0.023521523,18,39
28,0.019331879,28,14
29,0.015798116,18,59
30,0.025990162,18,18
31,0.021396588,17,32
32,0.017778289,46,15
33,0.014935078,28,14
34,0.024656741,16,35
35,0.018127767,23,46
36,0.023286922,16,37
37,0.012009103,18,61
38,0.020509708,20,36
39,0.018475542,18,40
40,0.019052805,34,4
41,0.030312311,32,3
42,-0.00038342,24,112
43,0.026807704,18,36
44,0.023772366,20,28
45,0.017686835,21,36
46,0.016072718,28,20
47,0.021146463,19,64
48,0.019994063,19,43
49,0.020330031,20,48
50,0.022359586,18,32
51,-0.000667639,28,112
52,0.022297488,22,30
53,0.024035409,19,33
54,0.019787185,22,23
55,0.022359586,19,32
56,0.023580249,23,20
57,0.022661143,32,13
58,-0.000759277,32,86
59,-0.001127596,34,112
60,0.021187086,28,19
61,0.022314355,32,11
62,-0.004660518,24,88
63,0.02144978,28,21
64,0.013621481,18,83
65,0.017413267,26,35
66,0.020300054,16,60
67,0.024753096,20,30
68,0.044804401,20,21
69,0.004053124,14,89
70,0.019982212,26,25
71,0.02216913,21,20
73,0.01344278,30,39
74,0.017016504,22,39
75,0.004973591,19,112
76,0.023126111,17,38
77,0.019344975,21,33
78,0.008668633,31,15
79,0.020120013,19,38
80,0.024006026,18,61
81,0.020208207,32,4
82,0.02100446,18,34
83,0.022372276,23,31
84,0.021906796,20,48
85,0.018259427,19,36
86,0.020767695,18,53
87,0.022338589,22,31
88,0.021043724,26,26
89,0.020726511,24,28
90,-0.002776197,19,111
91,0.02432503,24,22
92,0.023535902,18,38
93,0.009145511,14,40
94,-0.007852202,9,16
95,0.021374655,33,10
96,0.02330112,24,35
97,-0.000514941,18,112
